Nome: FORMOSO
Codigo Estacao: 83334
Latitude: -14.949727
Longitude: -46.235795
Altitude: 854.6
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;19;254;30,709677;24,068387;19,412903;3;
2008-02-29;14;209,8;30,282759;23,830345;19,358621;4;
2008-03-31;16;215,1;29,993548;23,449032;19,290323;4;
2008-04-30;16;222,2;30,62;23,914667;19,146667;3;
2008-05-31;1;4,3;29,858065;22,436129;16,741935;3;
2008-06-30;0;0;28,64;21,261333;15,226667;4;
2008-07-31;0;0;28,432258;20,350968;13,832258;5;
2008-08-31;0;0;31,206452;22,790323;15,687097;4;
2008-09-30;null;null;null;null;null;null;
2008-10-31;1;,4;34,577419;26,476774;19,593548;4;
2008-11-30;20;333,2;29,553333;23,96;20,38;5;
2008-12-31;19;134,3;29,070968;23,47871;19,677419;5;
2009-01-31;17;147,8;30,56129;24,314839;19,851613;4;
2009-02-28;16;153,8;31,514286;24,552857;19,785714;3;
2009-03-31;11;144,8;32,212903;25,192258;20,329032;4;
2009-04-30;17;93;29,073333;23,2;19,606667;4;
2009-05-31;4;83,8;28,296774;21,843871;16,980645;4;
2009-06-30;1;16,4;28,64;21,474667;15,96;4;
2009-07-31;0;0;30,593548;22,138065;15,206452;3;
2009-08-31;4;9;30,787097;22,95871;16,703226;4;
2009-09-30;null;0;null;null;null;null;
2009-10-31;17;240,1;31,245161;24,849032;20,567742;4;
2009-11-30;13;137,8;31,266667;24,770667;19,813333;4;
2009-12-31;21;212,3;29,703226;23,571613;19,696774;5;
2010-01-31;14;110,2;31,587097;24,685161;19,23871;5;
2010-02-28;8;45,8;32,55;25,352857;20,207143;4;
2010-03-31;18;174;31,032258;24,393548;20,212903;4;
2010-04-30;6;58,6;30,906667;23,749333;18,266667;3;
2010-05-31;3;12,6;31,574194;23,969032;18,341935;3;
2010-06-30;0;0;30;21,408;14,84;5;
2010-07-31;0;0;29,058065;21,149677;14,612903;4;
2010-08-31;0;0;29,941935;21,416774;13,632258;4;
2010-09-30;null;null;null;null;null;null;
2010-10-31;10;59,4;32,677419;25,654194;20,419355;3;
2010-11-30;19;257,7;28,743333;23,026;19,333333;3;
2010-12-31;18;291,6;30,232258;24,228387;19,541935;3;
2011-01-31;20;119;30,393548;23,994839;19,270968;3;
2011-02-28;12;217,6;31,321429;24,357143;19,407143;4;
2011-03-31;19;203,9;29,490323;23,64;19,670968;3;
2011-04-30;6;45,3;30,673333;23,453333;18,386667;4;
2011-05-31;2;7;29,619355;22,185806;16,464516;4;
2011-06-30;0;0;29,693333;21,672;15,333333;5;
2011-07-31;0;0;29,735484;21,323871;14,225806;4;
2011-08-31;0;0;32,56129;23,47871;15,535484;4;
2011-09-30;null;null;null;null;null;null;
2011-10-31;14;120,9;29,748387;23,752903;19,383871;4;
2011-11-30;17;150,3;27,953333;22,608;18,66;4;
2011-12-31;20;276,6;28,909677;23,232258;19,258065;3;
2012-01-31;21;252;28,967742;23,033548;18,948387;3;
2012-02-29;10;45,6;31,062069;24,22069;19,193103;5;
2012-03-31;16;212,7;31,296774;24,336774;19,354839;3;
2012-04-30;5;45,1;32,173333;24,869333;19,146667;4;
2012-05-31;6;14,1;28,606452;22,296774;17,516129;4;
2012-06-30;1;,9;30,213333;22,728;16,693333;3;
2012-07-31;0;0;29,974194;21,901935;15,303226;3;
2012-08-31;0;0;29,548387;21,654194;15,045161;4;
2012-09-30;null;null;null;null;null;null;
2012-10-31;3;32,6;34,187097;26,277419;19,819355;4;
2012-11-30;24;339,7;28,893333;23,572;20,026667;4;
2012-12-31;10;62,7;33,167742;25,944516;20,180645;3;
2013-01-31;20;229,4;28,787097;23,44129;19,735484;5;
2013-02-28;8;140,8;32,521429;25,351429;19,942857;4;
2013-03-31;2;227,8;31,716129;25,174839;20,551613;4;
2013-04-30;null;93,9;29,653333;23,264;18,733333;3;
2013-05-31;null;0;30,322581;23,092903;17,348387;4;
2013-06-30;null;,6;29,76;22,617333;17,04;3;
2013-07-31;null;0;30,219355;22,356129;15,974194;4;
2013-08-31;null;0;31,116129;22,929032;15,812903;5;
2013-09-30;null;null;null;null;null;null;
2013-10-31;null;80,1;32,154839;24,854194;19,541935;3;
2013-11-30;null;107,4;30,506667;24,301333;19,593333;4;
2013-12-31;null;263,4;28,864516;23,512258;19,909677;4;
2014-01-31;null;110,5;31,264516;24,39871;18,974194;4;
2014-02-28;null;167;30,771429;24,374286;19,614286;3;
2014-03-31;null;303,9;30,124138;23,625806;19,490323;4;
2014-04-30;null;109,1;30,703448;24,122667;19,613793;3;
2014-05-31;null;17,6;29,980645;22,936774;17,464516;3;
2014-06-30;null;,2;29,066667;21,585333;15,56;4;
2014-07-31;null;,8;29,174194;21,211613;14,929032;4;
2014-08-31;null;0;31,16129;22,734194;15,406452;4;
2014-09-30;null;null;null;null;null;null;
2014-10-31;null;208;33,225806;25,450323;19,064516;4;
2014-11-30;null;173,2;30,773333;24,489333;20,08;3;
2014-12-31;null;277;29,683871;23,52;19,012903;4;
2015-01-31;null;69,3;33,073333;26,014194;19,870968;3;
2015-02-28;null;132,1;29,810714;24,043571;19,492857;4;
2015-03-31;null;153,8;29,709677;23,931613;19,974194;4;
2015-04-30;null;199,5;29,86;23,874667;19,92;4;
2015-05-31;null;47,8;28,167742;22,171613;17,63871;3;
2015-06-30;null;0;28,246667;21,414;15,85;4;
2015-07-31;null;0;29,045161;21,814194;15,670968;4;
2015-08-31;null;0;30,748387;22,667097;15,76129;4;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;42,8;35,380645;27,313548;20,76129;4;
2015-11-30;null;106,6;33,513333;26,428;21,066667;3;
2015-12-31;null;53;33,277419;26,227097;20,916129;4;
2016-01-31;null;425,1;28,587097;23,602581;20,412903;4;
2016-02-29;null;111,8;32,303448;25,751724;20,331034;3;
2016-03-31;null;111;null;null;20,658065;4;
2016-04-30;null;27,6;null;null;19,706667;4;
2016-05-31;null;0;null;null;18,270968;4;
2016-06-30;null;4,2;null;null;16,366667;4;
2016-07-31;null;0;null;null;15,535484;4;
2016-08-31;null;0;null;null;16,896774;4;
2016-09-30;null;null;null;null;null;null;
2016-10-31;null;61,2;null;null;20,496774;5;
2016-11-30;null;271,2;null;null;20,08;4;
2016-12-31;null;186,8;null;null;19,851613;4;
2017-01-31;null;151,6;null;null;19,832258;5;
2017-02-28;null;217,1;null;null;19,614286;3;
2017-03-31;null;203,2;null;null;19,832258;4;
2017-04-30;null;14,2;null;null;19,78;3;
2017-05-31;null;14;null;null;18,270968;3;
2017-06-30;null;0;null;null;16,52;4;
2017-07-31;null;0;null;null;14;4;
2017-08-31;null;0;null;null;15,23871;4;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;27,4;null;null;19,832258;4;
2017-11-30;null;229,1;null;null;19,806667;3;
2017-12-31;null;291,9;null;null;19,645161;4;
2018-01-31;null;174,5;null;null;19,806452;2;
2018-02-28;null;447,9;null;null;19,292857;3;
2018-03-31;null;144,7;null;null;19,845161;3;
2018-04-30;null;115,3;null;null;18,64;4;
2018-05-31;null;11,4;null;null;16,729032;4;
2018-06-30;null;0;null;null;15,766667;3;
2018-07-31;null;0;null;null;14,529032;4;
2018-08-31;null;25,7;null;null;17,193548;4;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;109,8;null;null;21,2;4;
2018-11-30;null;187,4;null;null;19,613333;3;
2018-12-31;null;86,4;null;null;19,346667;3,08664;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;156,4;null;null;20,385714;4;
2019-03-31;null;283,3;null;null;19,845161;3;
2019-04-30;null;152,8;null;null;19,733333;3;
2019-05-31;null;12,6;null;null;19,254839;3;
2019-06-30;null;0;null;null;16,133333;3;
2019-07-31;null;0;null;null;14,348387;4;
2019-08-31;null;,1;null;null;16,180645;4;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;19,2;null;null;20,090323;4;
2019-11-30;null;134,7;null;null;20,7;4;
2019-12-31;null;119,1;null;null;20,877419;4,11552;

