Nome: ESPINOSA
Codigo Estacao: 83338
Latitude: -14.91222222
Longitude: -42.80861111
Altitude: 565.52
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2019-03-14
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;9;82,8;31,390323;25,632258;21,158065;8;
2008-02-29;11;185,2;31,382759;25,422069;21,155172;8;
2008-03-31;11;112,3;30,56129;24,863871;20,645161;7;
2008-04-30;10;49,9;31,203333;24,719333;20,066667;6;
2008-05-31;0;0;30,867742;23,852903;17,86129;8;
2008-06-30;1;,1;28,86;22,476667;17,083333;10,8;
2008-07-31;1;,6;28,519355;21,480645;15,4;8;
2008-08-31;0;0;30,803226;23,976129;17,906452;8;
2008-09-30;4;11,8;32,563333;25,776;20,05;9;
2008-10-31;0;0;34,725806;27,821935;21,658065;8;
2008-11-30;16;162;30,623333;25,724;22,02;8;
2008-12-31;15;117,3;29,687097;24,73871;21,012903;6;
2009-01-31;11;158,8;30,8;25,175484;20,877419;7;
2009-02-28;3;18,6;33,312;26,533077;21,268;7;
2009-03-31;12;184,8;32,92;26,482;21,57;7;
2009-04-30;12;72,8;29,463333;24,306667;20,873333;5;
2009-05-31;4;13;29,145161;22,834194;17,993548;7;
2009-06-30;1;8,1;29,38;22,781429;17,278571;8;
2009-07-31;1;,2;29,613333;22,862667;16,786667;7;
2009-08-31;null;0;30,834483;24,386897;18,782759;8;
2009-09-30;2;11,1;33,780769;27,243077;21,615385;8;
2009-10-31;10;202,9;32,425926;26,491538;22,411111;8;
2009-11-30;3;14,1;32,448;26,2872;20,996;7;
2009-12-31;9;116,4;31,477778;25,823704;21,740741;7;
2010-01-31;7;42,2;32,992308;26,338462;21,503846;7;
2010-02-28;7;54,9;33,60625;26,71375;21,764706;8;
2010-03-31;16;117,5;31,362963;25,53037;21,792593;7;
2010-04-30;2;22,5;31,138462;25,137692;20,030769;8;
2010-05-31;1;1,5;32,088462;25,7528;20,307692;7;
2010-06-30;null;0;29,766667;23,191429;17,504762;7;
2010-07-31;null;0;29,394444;23,12;17,727778;7;
2010-08-31;null;0;29,823077;23,092;17,376923;8;
2010-09-30;null;0;32,203846;25,2144;18,82;9;
2010-10-31;5;21;34,88;28,2696;22,848;8;
2010-11-30;15;147,6;31,5;25,640769;21,076923;6;
2010-12-31;7;40,8;31,063158;25,45;21,15;7;
2011-01-31;5;36,6;31,015385;25,326154;21,126923;8;
2011-02-28;3;4,9;33,433333;26,9775;22,229167;7;
2011-03-31;5;31,2;31,177778;25,325556;21,127778;7;
2011-04-30;4;40,6;30,384;24,608;20,432;6;
