Nome: CAETITE
Codigo Estacao: 83339
Latitude: -14.07277777
Longitude: -42.48722221
Altitude: 876.29
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;6;82;27,980645;22,816129;18,612903;null;
2008-02-29;7;81;29,003448;23,482222;19,293103;6,8;
2008-03-31;13;127,1;27,548387;22,35871;18,93871;8,3;
2008-04-30;6;58;27,8;22,686667;19,116667;7,1;
2008-05-31;0;0;27,287097;21,701935;17,090323;7,3;
2008-06-30;6;13,2;24,943333;19,780667;15,826667;9,1;
2008-07-31;3;5;24,777419;19;14,409677;8,3;
2008-08-31;2;1,6;26,958065;20,789677;15,390323;8,1;
2008-09-30;6;39,5;28,623333;22,277333;16,56;8,3;
2008-10-31;1;5,4;30,63871;24,109032;17,574194;8,8;
2008-11-30;16;175,1;28,003448;22,981379;19,236667;8;
2008-12-31;17;160,2;27,145161;22,273548;18,96129;9,8;
2009-01-31;10;54,3;28,203226;22,96;19,190323;6,1;
2009-02-28;3;43,4;30,1;23,883571;19,017857;7,5;
2009-03-31;10;185,1;30,032258;24,357419;19,812903;6,8;
2009-04-30;14;80,9;26,186667;22,023333;19,256667;11,3;
2009-05-31;3;4,6;24,754839;20,274194;17,177419;9,5;
2009-06-30;5;10,6;24,896667;19,916;16,39;9,1;
2009-07-31;6;17,3;25,83871;20,130323;15,658065;9;
2009-08-31;2;1,2;26,790323;21,000645;16,167742;9;
2009-09-30;6;13,6;30,466667;23,965333;18,076667;8,2;
2009-10-31;12;209,7;29,374194;23,743226;19,332258;7,5;
2009-11-30;2;44,8;29,65;23,781333;18,676667;6,3;
2009-12-31;10;175,3;28,53871;23,553548;19,596774;8,1;
2010-01-31;3;15,1;30,222581;24,023871;19,158065;8,2;
2010-02-28;6;17,4;30,942857;24,517857;19,814286;7,5;
2010-03-31;13;213,4;28,606452;23,54;20,203226;8;
2010-04-30;9;50,4;27,496667;22,43;18,913333;9,6;
2010-05-31;3;16,6;28,532258;22,809677;18,658065;6,6;
2010-06-30;2;1,5;26,17;20,363333;15,796667;8;
2010-07-31;11;18,4;25,070968;19,712903;15,754839;12,5;
2010-08-31;3;6;25,751613;19,876774;14,777419;9,1;
2010-09-30;0;0;28,173333;21,826667;16,206667;10,6;
2010-10-31;5;71,6;31,325806;24,897419;19,56129;8,3;
2010-11-30;14;146,7;28,683333;23,421333;19,39;8,6;
2010-12-31;15;142;28,064516;23,005161;19,267742;null;
2011-01-31;10;27,7;28,567742;23,083226;19,074194;8;
2011-02-28;8;139,1;30,153571;24,030714;19,246429;9,5;
2011-03-31;14;129,1;27,922581;23,027742;19,687097;6,1;
2011-04-30;10;43,8;27,436667;22,253333;18,763333;8,1;
2011-05-31;4;6,8;26,26129;21,092258;17,248387;8,3;
2011-06-30;1;,4;26,89;20,924667;16,433333;9,1;
2011-07-31;3;17,2;25,880645;19,899355;15,267742;11,6;
2011-08-31;1;1,2;27,803226;21,547742;16,206452;9;
2011-09-30;0;0;27,373333;21,206;15,52;10,8;
2011-10-31;11;48;28,287097;22,80129;18,196774;8,8;
2011-11-30;12;119;25,896667;21,298;17,903333;6,6;
2011-12-31;10;233,4;27,651613;22,574839;18,664516;7,6;
2012-01-31;4;51,4;27,867742;22,785806;18,596774;7,6;
2012-02-29;8;53,2;29,096552;23,113793;18,503448;8;
2012-03-31;5;11,9;30,619355;24,296774;19,067742;null;
2012-04-30;0;0;31,02;24,626667;19,13;null;
2012-05-31;5;11,6;27,370968;21,893548;17,564516;null;
2012-06-30;4;10,5;27,09;21,538667;17,063333;null;
2012-07-31;4;12,1;26,312903;20,378065;15,593548;null;
2012-08-31;9;12,7;25,390323;19,719355;15,116129;null;
2012-09-30;1;3;29,163333;22,658;16,956667;null;
2012-10-31;1;,4;30,667742;24,110323;17,974194;null;
2012-11-30;26;454,9;26,443333;22,219333;19,466667;null;
2012-12-31;4;45,9;30,373333;24,669032;19,345161;null;
2013-01-31;12;202,6;29,322581;23,88;19,780645;null;
2013-02-28;0;0;29,921429;24,135714;19,335714;null;
2013-03-31;5;87,3;31,11;25,128387;20,057143;null;
2013-04-30;2;7,2;null;null;19,13;null;
2013-05-31;3;7,4;28,557895;22,486316;18,006452;8,3;
2013-06-30;5;8;26,866667;21,394667;17,276667;7,5;
2013-07-31;3;11,8;26,548387;20,785806;16,170968;8;
2013-08-31;2;5,4;26,787097;20,789677;15,767742;9,6;
2013-09-30;2;9,1;28,52069;22,595172;17,423333;9,5;
2013-10-31;6;30,1;29,525806;23,42;18,174194;null;
2013-11-30;10;73,3;30,173333;24,047333;18,963333;null;
2013-12-31;21;292,5;27,432258;22,615333;19,11;null;
2014-01-31;null;10,2;28,396774;22,716774;18,609677;null;
2014-02-28;null;32,6;29,060714;23,242857;18,753571;null;
2014-03-31;null;39,6;29,948387;23,906452;19,364516;null;
2014-04-30;null;29,4;29,456667;23,591333;19,223333;null;
2014-05-31;null;14,2;28,116129;22,374839;17,748387;null;
2014-06-30;null;18,6;26,216667;20,856667;16,73;null;
2014-07-31;null;5;25,7;20,24;15,983871;null;
2014-08-31;null;1;27,135484;20,914839;15,470968;null;
2014-09-30;null;1;29,493103;22,856552;17,006667;null;
2014-10-31;null;63,6;29,66129;23,28129;17,829032;null;
2014-11-30;null;158,7;28,413333;22,984;18,75;null;
2014-12-31;null;182,4;27,616129;22,512903;18,603226;null;
2015-01-31;null;1,6;30,067742;23,876774;18,619355;null;
2015-02-28;null;107;null;null;18,857143;null;
2015-03-31;null;42,6;null;null;19,73871;null;
2015-04-30;null;123,8;null;null;19,980769;null;
2015-05-31;null;34,3;null;null;17,590323;null;
