Nome: VITORIA DA CONQUISTA
Codigo Estacao: 83344
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.47
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;6;114,9;27,21;null;null;null;
2008-02-29;9;74;28,517857;null;null;5;
2008-03-31;10;103,1;26,823333;null;null;4,3;
2008-04-30;6;14,8;27,98;null;null;3,5;
2008-05-31;3;1,1;25,970968;null;null;6,7;
2008-06-30;13;22,2;22,927586;null;null;5;
2008-07-31;10;13,8;23;null;null;5,8;
2008-08-31;6;4,4;24,929032;null;null;8,3;
2008-09-30;8;33,2;26,593333;null;null;5;
2008-10-31;4;12,8;28,626667;20,614839;12,72069;5,2;
2008-11-30;11;165,6;28,03;21,83;16,783333;5,2;
2008-12-31;11;94,7;26,383871;21,322581;17,848387;4,5;
2009-01-31;13;161,3;27,635484;21,713548;17,880645;4,5;
2009-02-28;11;36;27,717857;21,699286;17,064286;8,8;
2009-03-31;8;126,8;29,451613;22,789032;18,006452;4,5;
2009-04-30;21;195,1;25,53;20,926;17,883333;4,2;
2009-05-31;12;21,3;23,336667;18,929032;15,743333;5,8;
2009-06-30;9;37;23,55;18,416;14,68;4,7;
2009-07-31;9;10,3;23,916129;18,025806;13,590323;4,3;
2009-08-31;13;18,5;24,132258;18,2;13,719355;5,2;
2009-09-30;5;28,8;27,83;20,49;14,84;5,5;
2009-10-31;14;178;27,251613;22,450968;18,467742;5,8;
2009-11-30;4;9,7;28,33;23,614667;19,053333;5;
2009-12-31;9;56,4;28,973333;null;null;6;
2010-01-31;8;50,1;29,074194;null;null;6,7;
2010-02-28;5;7,4;29,353846;null;null;null;
2010-03-31;16;176;28,609677;null;null;null;
2010-04-30;13;77,5;25,958621;null;null;null;
2010-05-31;7;17,4;26,229032;null;null;null;
2010-06-30;11;20,3;23,696667;null;null;5;
2010-07-31;21;43,9;22,23;null;null;6,3;
2010-08-31;13;20,5;22,948387;null;null;8,6;
2010-09-30;6;12,5;25,576667;null;null;5,5;
2010-10-31;4;41,6;28,796552;21,457391;16,372727;6,3;
2010-11-30;16;237,2;27,516667;21,664;16,936667;9,5;
2010-12-31;12;174,1;27,454839;21,821935;17,764516;null;
2011-01-31;16;32,2;27,009677;21,239355;17,067742;4,7;
2011-02-28;5;32,5;28,353571;21,952857;17,042857;5;
2011-03-31;13;90,5;28,170968;22,110323;18,212903;6,7;
2011-04-30;19;67,7;25,7;20,72;17,413793;4,7;
2011-05-31;11;21,1;23,664516;19,06;15,770968;4,8;
2011-06-30;11;7;23,923333;18,374667;14,673333;5;
2011-07-31;10;25,6;23,63871;17,314839;12,793103;6;
2011-08-31;6;6,5;25,533333;18,838065;null;5;
2011-09-30;9;11,2;24,965517;18,228667;13,803333;6,5;
2011-10-31;10;73;26,203226;20,285806;15,787097;6,2;
2011-11-30;18;109,5;24,123333;19,626667;16,186667;6,5;
2011-12-31;15;115,6;27,093548;21,239355;17,093548;5,3;
2012-01-31;7;17,3;27,358065;21,228387;16,651613;5,2;
2012-02-29;10;29,3;27,737037;21,164444;16,12963;5;
2012-03-31;2;12,2;28,990323;22,059355;16,896774;4,5;
2012-04-30;3;1,7;29,466667;21,832667;16,07;4,7;
2012-05-31;11;30,2;25,06129;19,288387;15,387097;4,3;
2012-06-30;10;22,2;25,406667;19,248667;15,016667;4,7;
2012-07-31;11;18;23,829032;17,830968;13,045161;5;
2012-08-31;18;55,3;22,980645;17,236129;12,9;6,3;
2012-09-30;4;6,7;26,12;19,202;14,003333;5;
2012-10-31;6;48,4;27,296774;20,374839;15,193548;5;
