Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;24;355,5;31,596667;26,416;23,013333;1,8;
2008-02-29;12;68,9;33,206897;26,924828;23,255172;4,9;
2008-03-31;16;141;32,828571;26,795;23,039286;4,1;
2008-04-30;5;39,5;null;null;null;null;
2008-05-31;null;null;null;null;null;null;
2008-06-30;null;null;null;null;null;null;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;null;null;null;null;null;null;
2008-10-31;null;null;null;null;null;null;
2008-11-30;null;null;null;null;null;null;
2008-12-31;null;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;1;26,2;null;null;null;null;
2009-05-31;6;49,7;32,470968;25,515484;21,16129;null;
2009-06-30;3;45,2;29,616667;22,618;17,826667;null;
2009-07-31;2;29,7;32,196774;24,031333;18,603226;null;
2009-08-31;4;89,6;34,332258;25,651613;19,551613;null;
2009-09-30;6;73,3;34,016667;27,080667;21,7;null;
2009-10-31;7;175,6;35,096774;28,715333;24,03871;null;
2009-11-30;19;111;34,376667;28,241333;23,663333;null;
2009-12-31;19;353,9;33;26,895484;21,864516;null;
2010-01-31;22;352,3;32,954839;26,910323;22,03871;null;
2010-02-28;13;359,2;33,457143;27,476429;22,275;null;
2010-03-31;17;352,1;34,496774;27,905161;24,26129;null;
2010-04-30;7;75,9;33,196667;26,582;22,196667;null;
2010-05-31;4;26,7;31,003226;23,657419;18,619355;null;
2010-06-30;1;2,6;33,543333;24,714667;18,51;null;
2010-07-31;2;13,6;31,632258;22,81871;16,077419;null;
2010-08-31;0;0;35,1;24,732645;16,854839;null;
2010-09-30;2;3,6;38,033333;29,361333;22,46;null;
2010-10-31;9;137;35,825806;28,712258;23,664516;null;
2010-11-30;9;140,7;32,973333;27,037333;22,886667;null;
2010-12-31;14;132,8;34,074194;27,642581;23,706452;null;
