Nome: SAO VICENTE
Codigo Estacao: 83363
Latitude: -15.82305554
Longitude: -55.41888888
Altitude: 786.99
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;19;305;27,406452;22,627742;19,003226;4;
2008-02-29;15;198;27,841379;22,711724;19,117241;4;
2008-03-31;13;302;27,922581;22,782581;18,983871;4;
2008-04-30;11;267;27,226667;22,350345;18,36;4;
2008-05-31;5;114;27,277419;21,11871;16,564516;4;
2008-06-30;0;0;26,413333;20,917241;15,996667;4;
2008-07-31;0;0;29,148387;22,479355;17,287097;4;
2008-08-31;1;4;30,941935;23,694839;17,803226;4;
2008-09-30;2;56;29,866667;23,181333;18,275;4,11552;
2008-10-31;6;99,2;30,88;24,207619;19,554545;4,11552;
2008-11-30;9;225;30,333333;23,842;19,380952;4,11552;
2008-12-31;11;279;28,847059;23,333333;19,355556;4,11552;
2009-01-31;3;35;null;null;null;null;
2009-02-28;11;265;28,141176;23,0325;18,9;4,62996;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;1;8,3;null;null;null;null;
2009-06-30;5;16,1;null;null;15,710345;4;
2009-07-31;3;10,5;28,380645;21,461935;16,870968;5;
2009-08-31;5;31,3;29,809677;22,913548;17,616129;5;
2009-09-30;5;8,6;29,51;23,36;18,876667;6,2;
2009-10-31;12;105,4;30,503226;24,414839;20,029032;5,6;
2009-11-30;14;168,5;29,42;24,236;20,64;5,2;
2009-12-31;19;234,3;27,967742;23,292258;20,112903;5;
2010-01-31;22;214;28,174194;23,516129;20,270968;4;
2010-02-28;19;332,9;29,121429;24,051429;20,6;4;
2010-03-31;19;283,9;29,190323;24,199355;20,593548;4;
2010-04-30;5;104,9;28,476667;23,310769;20,44;4;
2010-05-31;5;68,6;26,948387;21,056774;17,219355;2,05776;
2010-06-30;1;3,1;29,153333;22,447333;17,656667;4;
2010-07-31;1;2,2;27,245161;20,427742;15,303226;4;
2010-08-31;0;0;30,332258;23,054839;17,774194;5,8;
2010-09-30;0;0;32,986667;26,539333;21,706667;6,8;
2010-10-31;11;127,3;30,509677;24,815484;20,593548;8,4;
2010-11-30;12;274,1;28,316667;23,240667;19,693333;5;
