Nome: RONCADOR
Codigo Estacao: 83373
Latitude: -15.94638888
Longitude: -47.88416666
Altitude: 1104.94
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2017-09-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;379,7;27,325806;20,849677;15,074194;6;
2008-02-29;19;251,6;27,358621;20,782069;15,572414;9;
2008-03-31;18;254,8;27,074194;20,570968;15,103226;9;
2008-04-30;14;194,6;27,633333;20,374;13,743333;7;
2008-05-31;1;,3;26,267742;18,255484;10,016129;6;
2008-06-30;0;0;25,916667;17,628667;8,98;7;
2008-07-31;null;0;25,623333;16,668;7,8;9;
2008-08-31;1;3;28,480645;19,196774;10,383871;7;
2008-09-30;6;32,4;30,796667;21,905333;14,263333;7;
2008-10-31;8;29,8;31,277419;23,081935;16,909677;9;
2008-11-30;17;196,9;28,506667;21,522;16,776667;7;
2008-12-31;20;270,6;26,925806;21,072258;17,080645;9;
2009-01-31;22;179,8;27,76129;21,557419;16,909677;9;
2009-02-28;18;153,3;28,078571;21,408571;16,482143;7;
2009-03-31;21;171,7;28,487097;21,415484;15,929032;9;
2009-04-30;16;225,2;26,546667;20,360667;15,846667;9;
2009-05-31;6;43,3;25,777419;18,782581;12,767742;7;
2009-06-30;3;4,6;25,246667;17,591333;10,856667;7;
2009-07-31;null;0;27,196296;18,416154;10,766667;6;
2009-08-31;5;29,1;27,722222;19,46;13,076923;8;
2009-09-30;7;36,2;29,103333;21,897241;16,343333;7;
2009-10-31;22;202,9;28,5;21,320645;16,719355;7;
2009-11-30;16;120,4;28,413793;21,568276;16,886207;7;
2009-12-31;21;230,1;26,680645;20,933548;16,887097;9,3;
2010-01-31;19;252,9;28,086957;21,524545;16,5;7;
2010-02-28;9;90,9;29,055556;21,91037;16,611111;7;
2010-03-31;19;201,7;28,616129;21,707097;17,103226;7;
2010-04-30;6;81;27,703333;20,322759;14,74;7;
2010-05-31;2;6,4;28,49;19,722069;12,693333;7;
2010-06-30;1;1,6;26,789655;17,691724;10,031034;7;
2010-07-31;null;0;26,407407;18,117778;11,433333;8;
2010-08-31;0;0;28,168966;18,884138;10,710345;7;
2010-09-30;0;0;31,051724;21,550714;13,724138;7;
2010-10-31;16;224,8;29,746429;22,294286;17,066667;7;
2010-11-30;19;297;26,926667;20,922;16,433333;7;
2010-12-31;23;320,6;27,683333;21,538;17,1;9;
2011-01-31;14;79,3;27,441935;21,114839;16,406452;10;
2011-02-28;11;128,6;28,478261;20,94;15,643478;7;
2011-03-31;24;249,7;27,672414;21,285517;17,103448;7;
2011-04-30;6;59,8;27,575862;20,376552;14,77931;7;
2011-05-31;3;24,6;26,445161;18,72;11,741935;5;
2011-06-30;0;0;26,176667;17,572667;11,09;7;
2011-07-31;null;0;26,947059;17,730588;9,941176;9;
2011-08-31;null;0;30;19,9912;11,516;8;
2011-09-30;2;7;30,396;21,705217;14,654167;7;
2011-10-31;21;245,8;26,725806;20,807742;16,56129;7;
2011-11-30;13;208,3;26,626667;20,975333;16,84;9;
2011-12-31;23;366,8;26,460714;21,073571;17,607143;9;
2012-01-31;18;174,4;25,648;20,605;16,804;7;
2012-02-29;11;175,3;27,595455;20,943636;16,272727;9;
2012-03-31;15;194;27,864286;21,45;16,735714;7;
2012-04-30;12;62,9;28,137931;21,518621;16,593103;7;
2012-05-31;4;61,4;24,979167;18,741667;13,8875;9;
2012-06-30;2;14,1;26,010526;19,005263;13,128571;6;
2012-07-31;null;0;25,826316;18,614737;12,273684;9;
2012-08-31;null;0;26,233333;18,540952;12,561905;9;
2012-09-30;3;54,8;30,146429;22,294286;15,685714;7;
2012-10-31;11;63,1;30,235484;22,538065;16,009677;7;
2012-11-30;20;330,9;26,84;21,42;17,885714;7;
2012-12-31;null;43,3;28,704762;null;17,019048;9;
2013-01-31;null;291,5;26,142308;21,1432;17,52;7;
2013-02-28;null;163,8;28,596429;22,027143;16,503571;9;
2013-03-31;null;176,9;28,163333;21,980667;17,373333;7;
2013-04-30;null;116,4;26,39;20,108;15,136667;6;
2013-05-31;null;29,5;26,9;19,392258;12,845161;6;
2013-06-30;null;11,8;25,813333;19,328276;14,64;7;
2013-07-31;null;0;26,356522;18,31913;12,311538;7;
2013-08-31;null;0;28,125;19,618667;12,626667;7;
2013-09-30;null;49,6;29,595833;21,870833;16,1;9;
2013-10-31;null;125,9;28,123333;21,509333;16,353333;7;
2013-11-30;null;110,8;27,465517;21,465517;17,048276;6;
2013-12-31;null;180,6;27,189286;21,558519;17,851852;7;
2014-01-31;null;34,7;27,873913;21,242857;16,433333;7;
2014-02-28;null;109,5;27,25;21,226667;16,979167;7;
2014-03-31;null;441,1;26,813333;20,993333;17,01;9;
2014-04-30;null;169,8;27,193333;20,975172;16,426667;7;
2014-05-31;null;11,8;26,503571;19,461429;13,567857;7;
2014-06-30;null;6;25,747826;18,448696;13,032143;7;
2014-07-31;null;1,1;25,35;17,839091;12,2;7;
2014-08-31;null;0;28,705556;20,63;14,978261;9;
2014-09-30;null;8,8;30,932143;22,660714;16,556667;7;
2014-10-31;null;156,2;30,326667;22,31;16,312903;9;
2014-11-30;null;314,4;27,716667;21,510667;16,693333;9;
2014-12-31;null;260,3;25,818182;20,520909;15,953846;7;
2015-01-31;null;54,2;29,7875;22,183478;15,403704;7;
2015-02-28;null;69,2;27,5;21,413;16,9375;7;
2015-03-31;null;334,1;26,26;20,515333;16,016129;5;
2015-04-30;null;100,2;27,258621;21,024138;15,806667;7;
2015-05-31;null;28,6;24,990323;18,729032;12,816129;7;
2015-06-30;null;0;25,256;17,8472;11,110714;7;
2015-07-31;null;,8;26,782609;18,460909;11,151724;7;
2015-08-31;null;0;null;null;11,63913;7;
2015-09-30;null;31,3;31,265217;22,56381;14,415385;6;
2015-10-31;null;75,4;32,463333;24,005517;15,92;6;
2015-11-30;null;236,2;30,613333;22,744;16,553333;3,2;
2015-12-31;null;159,5;29,741379;22,501481;16,506897;5;
2016-01-31;null;231,4;26,907692;21,556154;17,466667;5;
2016-02-29;null;180,4;29,782143;22,295556;15,725;5;
2016-03-31;null;180,7;28,333333;21,856296;16,410345;7;
2016-04-30;null;0;29,058621;21,496552;14,144828;5;
2016-05-31;null;14,2;28,252;20,381739;13,281481;5;
2016-06-30;null;0;26,22381;17,868;10,557143;7;
2016-07-31;null;0;27,830435;18,917273;10,619231;7;
2016-08-31;null;7,2;29,082609;20,474545;12,55;5;
2016-09-30;null;6,4;31,421739;22,73913;15,292857;7;
2016-10-31;null;69,3;30,096552;22,571111;15,882759;5;
2016-11-30;null;280;27,162069;21,387586;16,666667;5;
2016-12-31;null;189,2;28,128571;21,476429;15,716667;5;
2017-01-31;null;158,5;28,216667;21,773103;16,524138;5;
2017-02-28;null;237,4;27,107143;20,921429;15,903571;5;
