Nome: PIRENOPOLIS
Codigo Estacao: 83376
Latitude: -15.85472222
Longitude: -48.96611111
Altitude: 766.92
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;300,5;29,577419;23,379355;19,5;6;
2008-02-29;24;397;30,003448;23,094483;19,417241;5;
2008-03-31;25;195,1;29,76129;23,071613;19,206452;7;
2008-04-30;13;166;30,653333;23,338;18,663333;5;
2008-05-31;2;2,6;30,125806;21,416129;15,56129;6;
2008-06-30;0;0;30,133333;20,709333;14,166667;7;
2008-07-31;0;0;30,03871;20,176129;13,148387;7,20216;
2008-08-31;0;0;32,774194;22,994839;15,380645;8;
2008-09-30;7;67,9;34,533333;25,032;17,853333;7;
2008-10-31;9;50,9;33,96129;25,898065;19,690323;8;
2008-11-30;22;234,4;31,066667;24,223333;19,64;5;
2008-12-31;26;378,1;29,351613;23,325806;19,493548;5;
2009-01-31;20;227,9;30,635484;23,887742;19,422581;6;
2009-02-28;24;328,9;30,882143;23,716429;19,035714;5;
2009-03-31;19;280;31,532258;23,92129;19,06129;6;
2009-04-30;19;226,8;29,986667;22,834;18,436667;5;
2009-05-31;4;30,9;29,903226;21,716774;16,335484;7;
2009-06-30;2;11,9;29,46;20,463333;14,61;6;
2009-07-31;0;0;30,903226;21,252903;14,396774;6;
2009-08-31;3;44,5;31,564516;23,078065;16,94;7;
2009-09-30;14;95,3;32,516667;24,586667;18,983333;7;
2009-10-31;21;243,8;31,390323;23,925806;19,409677;6;
2009-11-30;24;257,5;31,35;24,259333;19,86;5;
2009-12-31;24;337,7;28,948387;23,254839;19,729032;4;
2010-01-31;22;236,5;31,074194;24,040645;19,26;4;
2010-02-28;16;223,8;31,817857;24,515;19,446429;6;
2010-03-31;25;210,8;31,270968;24,172258;19,83871;5;
2010-04-30;7;216,9;31,363333;23,282667;18,176667;6;
2010-05-31;1;,4;31,819355;22,14129;15,703226;6;
2010-06-30;1;15,5;31,266667;20,822667;14,126667;7;
2010-07-31;0;0;31,1;22,358065;16,325806;7;
2010-08-31;0;0;32,832258;22,802581;15,416129;8;
2010-09-30;1;9,4;35,023333;26,268;19,023333;9;
2010-10-31;18;188,7;32,848387;25,373548;20,116129;6;
2010-11-30;22;320,5;29,773333;23,472;19,473333;4;
2010-12-31;27;420,5;29,664516;23,732258;19,809677;4;
2011-01-31;26;236;29,187097;23,39871;19,322581;6;
2011-02-28;22;288,2;30,232143;23,535714;19,582143;5;
2011-03-31;29;336,5;29,841935;23,441935;19,767742;5;
2011-04-30;8;34,4;31,443333;23,726667;18,62;6;
2011-05-31;1;21,7;30,748387;22,097419;16,264516;6;
2011-06-30;2;8,4;30,043333;20,461333;14,353333;7;
2011-07-31;0;0;31,33871;21,047742;13,990323;7;
2011-08-31;0;0;34,229032;23,945161;16,274194;8;
2011-09-30;3;6,1;34,9;25,206;17,49;7;
2011-10-31;17;212,2;30,674194;23,73871;19,23871;7;
2011-11-30;20;233,5;29,626667;23,230667;18,756667;6;
2011-12-31;27;264;29,132258;23,275484;19,66129;4;
2012-01-31;27;326,8;28,7;22,684516;19,2;6;
2012-02-29;20;179,5;30,386207;23,249655;18,551724;5;
2012-03-31;17;203,8;31,448387;23,756774;18,687097;5;
2012-04-30;16;163,2;31,743333;24,101333;19,06;5;
2012-05-31;8;23,3;29,954839;22,223226;17,219355;8;
2012-06-30;8;22,1;30,58;21,923333;16,263333;5;
2012-07-31;2;8,6;30,996774;21,215484;14,322581;6;
2012-08-31;0;0;31,074194;22,252903;15,36129;9;
2012-09-30;5;9;34,4;25,426;18,303333;7;
2012-10-31;8;84,4;34,529032;26,023871;19,719355;7;
2012-11-30;22;289,1;29,463333;23,702667;20,026667;6;
2012-12-31;20;202,5;31,293548;24,31871;19,480645;4;
2013-01-31;28;501;28,909677;23,263871;19,890323;4;
2013-02-28;19;231;31,446429;23,925714;19,207143;3,1;
2013-03-31;23;312,1;30,590323;24,113548;19,935484;5;
2013-04-30;10;75,5;30,436667;23,256667;18,756667;5;
2013-05-31;3;51,2;30,887097;22,234194;16,193548;6;
2013-06-30;7;23,9;30,093333;21,767333;16,326667;6;
2013-07-31;null;0;31,003226;21,201935;14,625806;7;
2013-08-31;2;4,4;32,525806;22,849032;15,870968;7;
2013-09-30;5;14,5;33,793333;25,235333;18,553333;8;
2013-10-31;18;144,2;32,016129;24,603871;19,419355;7;
2013-11-30;21;264,6;30,676667;23,904;19,193333;7;
2013-12-31;26;343,9;30,016129;23,903226;20,025806;5;
2014-01-31;2;270,1;30,967742;23,587097;18,387097;5;
2014-02-28;null;252,3;30,714286;23,717857;19,207143;7;
2014-03-31;null;277,1;30,293548;23,621935;19,196774;7;
2014-04-30;null;298,5;30,35;23,504;19,23;5;
2014-05-31;null;4,3;30,941935;22,246452;16,151613;4;
2014-06-30;null;,1;30,103333;21,022667;14,76;6;
2014-07-31;null;2,6;30,135484;21,394839;15,287097;6;
2014-08-31;null;0;32,893548;22,897419;15,322581;7;
2014-09-30;null;64,8;34,3;25,580667;19,236667;6;
2014-10-31;null;45,7;33,906452;25,610323;18,993548;7;
2014-11-30;null;179,2;30,9;24,143333;19,83;4;
2014-12-31;null;317,1;29,341935;23,447097;19,348387;6;
2015-01-31;null;117,8;32,667742;24,650323;18,816129;6;
2015-02-28;null;151,3;30,235714;23,598571;19,242857;5;
2015-03-31;null;283,2;29,754839;23,236129;19,232258;4;
2015-04-30;null;289,4;30,826667;23,664667;19,516667;3;
2015-05-31;null;30,4;29,96129;22,62129;17,729032;6;
2015-06-30;null;0;29,86;21,686;16,036667;7;
2015-07-31;null;1,8;31,009677;21,667097;14,525806;6;
2015-08-31;null;,2;33,041935;23,230968;15,63871;7;
2015-09-30;null;49,1;35,426667;25,895333;18,213333;4;
2015-10-31;null;66,1;35,93871;26,840645;19,451613;8;
2015-11-30;null;277,2;33;25,304;20,017241;7;
2015-12-31;null;244,4;32,6;25,194194;20,106452;4;
2016-01-31;null;455,2;28,780645;23,719355;20,774194;4;
2016-02-29;null;141,7;32,151724;24,717931;19,817857;5;
2016-03-31;null;176,3;31,609677;24,565806;20,287097;5;
2016-04-30;null;6,1;33,07;24,622667;18,223333;5;
2016-05-31;null;5;32,754839;23,533548;17,483871;6;
2016-06-30;null;0;31,28;21,815862;14,943333;5;
