Nome: BRASILIA
Codigo Estacao: 83377
Latitude: -15.78972221
Longitude: -47.92583332
Altitude: 1161.42
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;23;201;26,458065;21,623871;18,16129;8;
2008-02-29;20;227,6;26,617241;21,466897;18,141379;8;
2008-03-31;19;234,6;26,196774;21,18;17,890323;10;
2008-04-30;13;210,2;26,916667;21,680667;17,933333;6;
2008-05-31;0;0;25,877419;20,127742;14,967742;6;
2008-06-30;0;0;25,18;19,507333;14,31;7;
2008-07-31;0;0;24,980645;18,895484;13,474194;9;
2008-08-31;1;2,7;27,716129;21,534839;15,596774;7,20216;
2008-09-30;8;79,9;29,923333;23,142;17,606667;7;
2008-10-31;6;38,7;30,309677;24,096129;18,790323;9;
2008-11-30;20;271;27,233333;21,608;18,05;12;
2008-12-31;24;323,4;25,919355;21,183226;18,36129;10;
2009-01-31;21;205;27,209677;22,101935;18,619355;11;
2009-02-28;16;134,8;27,403571;22,194286;18,45;7;
2009-03-31;18;81;27,93871;22,338065;18,416129;8;
2009-04-30;15;375,9;25,766667;20,910667;17,693333;6;
2009-05-31;7;61,2;25,248387;20,036129;15,870968;7;
2009-06-30;3;9,3;24,99;19,156;14,22;6;
2009-07-31;0;0;26,633333;20,460645;14,53871;7;
2009-08-31;7;72,5;26,919355;20,778065;15,764516;8;
2009-09-30;11;50,5;28,306667;22,814;18,563333;9;
2009-10-31;23;295,8;27,567742;21,696129;18,03871;7;
2009-11-30;18;199,1;27,74;22,27;18,646667;6;
2009-12-31;23;307,8;26,103226;21,282581;18,167742;12;
2010-01-31;17;121;27,574194;22,423226;18,416129;6;
2010-02-28;11;37,2;28,417857;23,121429;18,95;8;
2010-03-31;18;244,7;28,141935;22,435484;18,845161;7;
2010-04-30;7;238,8;27,103333;21,472667;16,996667;6;
2010-05-31;4;27,5;27,883871;21,268387;15,767742;7;
2010-06-30;0;0;26,116667;19,348667;13,493333;8;
2010-07-31;0;0;25,841935;19,594194;14,4;10;
2010-08-31;0;0;27,466667;20,584667;14,173333;9;
