Nome: FORMOSA
Codigo Estacao: 83379
Latitude: -15.54916666
Longitude: -47.33888888
Altitude: 938.68
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;18;228,9;27,993548;23,083871;19,241935;3,3;
2008-02-29;15;162,7;28,2;22,871724;19,027586;4,5;
2008-03-31;18;156,8;27,658065;22,460645;18,732258;3;
2008-04-30;13;165,4;27,973333;22,884667;18,71;3,7;
2008-05-31;0;0;27,532258;21,286452;16,016129;3;
2008-06-30;0;0;26,646667;20,515333;14,813333;3,3;
2008-07-31;0;0;26,170968;19,751613;13,63871;3,8;
2008-08-31;1;11;28,951613;22,438065;15,812903;4,3;
2008-09-30;7;69,6;30,923333;24,057333;17,983333;3,3;
2008-10-31;4;23,1;32,154839;25,633548;19,419355;5;
2008-11-30;23;195,5;28,26;23,085333;19,523333;4;
2008-12-31;19;302,3;26,819355;22,47871;19,319355;3;
2009-01-31;19;235,5;28,13871;23,309677;19,480645;4,5;
2009-02-28;14;164;28,932143;23,375714;19,157143;3;
2009-03-31;12;101,1;29,280645;23,808387;19,477419;3;
2009-04-30;18;279,7;26,983333;21,935333;18,5;3;
2009-05-31;4;8,3;26,535484;21,149677;16,722581;3;
2009-06-30;3;9,5;26,706667;20,422;15,416667;4,5;
2009-07-31;0;0;27,883871;21,495484;15,454839;4,3;
2009-08-31;3;62,7;28,212903;22,033548;16,590323;5;
2009-09-30;6;31,7;30,506667;24,686667;19,516667;5;
2009-10-31;19;219;29,048387;23,28;19,248387;2,7;
2009-11-30;18;153,9;28,827586;23,572;19,46;4;
2009-12-31;24;368,1;27,329032;22,481935;19,070968;5;
2010-01-31;20;175,6;29,070968;23,647097;19,1;4,3;
2010-02-28;8;61,4;30,121429;24,492143;19,95;4;
2010-03-31;20;272,9;28,851613;23,508387;19,748387;5;
2010-04-30;6;59,7;28,586667;22,733333;17,696667;3,1;
2010-05-31;5;9,6;29,290323;22,762581;17,2;2,5;
2010-06-30;1;,1;27,613333;20,518;14,586667;3,3;
2010-07-31;0;0;26,964516;20,725161;14,941935;3,8;
2010-08-31;0;0;28,487097;21,552903;14,506452;4;
2010-09-30;1;,1;31,03;24,296667;17,373333;5;
2010-10-31;14;112,1;30,819355;24,656774;19,748387;4;
2010-11-30;20;192,4;27,3;22,286667;18,576667;4,2;
2010-12-31;18;292,4;28,148387;23,183226;19,045161;4,3;
2011-01-31;21;336,3;27,609677;22,872258;18,909677;6,2;
2011-02-28;16;103,7;29,182143;23,490714;18,875;4;
2011-03-31;20;191,2;28,03871;22,849032;18,970968;3,1;
2011-04-30;10;64,5;28,176667;22,593333;17,69;3,7;
