Nome: ARINOS
Codigo Estacao: 83384
Latitude: -15.915229
Longitude: -46.10712
Altitude: 523
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;12;303,7;32,293548;25,804516;21,748387;2,6;
2008-02-29;12;63,5;32,189655;25,949655;21,944828;7,2;
2008-03-31;16;185,4;31,5;25,212258;21,367742;3,1;
2008-04-30;8;93;32,42;25,589333;20,806667;2,6;
2008-05-31;0;0;31,287097;22,977419;16,632258;3,6;
2008-06-30;0;0;30,706667;22,032;14,966667;8,5;
2008-07-31;0;0;30,319355;20,974839;12,96129;4,6;
2008-08-31;0;0;33,312903;23,973548;15,554839;6,7;
2008-09-30;3;24,3;35,46;26,381333;18,606667;6,2;
2008-10-31;0;0;37,519355;28,869032;21,612903;5,7;
2008-11-30;18;287,4;32,023333;25,958;21,68;6,2;
2008-12-31;17;307,3;31,254839;25,271613;21,406452;4,6;
2009-01-31;14;174,7;32,33871;26,013548;21,574194;2,1;
2009-02-28;9;114;32,978571;26,308571;21,4;3,6;
2009-03-31;12;86,4;33,854839;26,488387;21,245161;3,6;
2009-04-30;12;130,3;30,223333;24,447333;20,613333;5,3;
2009-05-31;1;18,9;29,406452;22,68129;17,23871;4,1;
2009-06-30;3;10,3;29,86;21,937333;16,18;4,1;
2009-07-31;0;0;31,980645;22,646452;15,122581;4,6;
2009-08-31;3;28,7;31,93871;23,662581;16,658065;4,6;
2009-09-30;3;31,5;35,333333;27,28;20,58;4,6;
2009-10-31;15;146,2;33,551613;26,368387;21,812903;5,1;
2009-11-30;8;129,8;33,653333;26,546667;21,346667;4,6;
2009-12-31;23;324,1;31,332258;25,165806;21,077419;3,6;
2010-01-31;8;56,7;33,548387;26,60129;21,432258;4,6;
2010-02-28;5;33,5;34,907143;27,374286;21,757143;6,2;
2010-03-31;17;204;33,074194;26,081935;21,490323;3,6;
2010-04-30;6;78,1;32,26;24,802667;19,2;3,6;
2010-05-31;3;32,5;32,370968;24,475484;18,529032;3,1;
2010-06-30;0;0;30,666667;21,288;13,846667;3,6;
