Nome: JANUARIA
Codigo Estacao: 83386
Latitude: -15.448054
Longitude: -44.366321
Altitude: 480
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;8;83,6;31,787097;25,634194;20,651613;null;
2008-02-29;11;53,9;32,103448;25,410345;20,451724;null;
2008-03-31;10;74,2;31,093548;24,659355;20,296774;null;
2008-04-30;6;105,3;31,333333;24,477333;19,573333;null;
2008-05-31;1;,3;31,283871;22,296129;15,764516;null;
2008-06-30;0;0;30,513333;21,542;14,036667;null;
2008-07-31;0;0;30,067742;20,235484;12,219355;null;
2008-08-31;0;0;32,46129;22,582581;14,412903;null;
2008-09-30;5;12,6;34,346667;25,063333;17,47;null;
2008-10-31;2;,7;36,73871;27,835484;20,554839;null;
2008-11-30;21;177,9;31,426667;25,601333;21,396667;null;
2008-12-31;20;278,9;30,048387;24,549677;20,629032;null;
2009-01-31;11;215,2;31,590323;25,316129;20,896774;null;
2009-02-28;7;83,1;32,217857;25,670714;20,746429;null;
2009-03-31;12;100,1;32,536667;25,695862;20,665517;null;
2009-04-30;17;104,4;29,951724;24,26;20,378571;null;
2009-05-31;5;15,7;29,746667;22,258621;16,472414;null;
2009-06-30;2;12;30,237931;21,808148;15,233333;4,5;
2009-07-31;null;0;null;null;null;null;
2009-08-31;1;6,6;32,175862;23,591034;16,3;5,5;
2009-09-30;3;13,9;35,263333;27,066;20,226667;6,5;
2009-10-31;10;247,6;33,206452;26,686452;21,790323;5,1;
2009-11-30;6;55,6;32,723333;25,722667;20,22;5,3;
2009-12-31;17;302,5;30,387097;24,835484;20,8;4,8;
2010-01-31;6;26,9;32,693548;25,774839;20,332258;5,3;
2010-02-28;9;60,6;34,139286;26,322143;20,392857;5,6;
2010-03-31;15;184,7;30,783871;24,86;21,016129;5;
2010-04-30;4;85,2;30,886667;23,611333;18,023333;4,1;
2010-05-31;4;19,6;31,883871;23,657419;17,832258;4,5;
2010-06-30;1;,1;30,568966;20,884286;13,796552;5,5;
2010-07-31;1;,1;30,412903;21,750769;14,465385;5,6;
2010-08-31;0;0;31,364516;21,468889;12,888889;6;
2010-09-30;1;12,2;33,593333;24,278667;16,706667;8,3;
2010-10-31;7;29,3;35,393548;27,783871;21,603226;6,6;
2010-11-30;23;365,3;30,713333;24,829333;20,656667;7,1;
2010-12-31;16;216,1;31,206452;25,129032;20,703226;7,1;
2011-01-31;10;194,4;30,951613;24,684516;19,835484;5;
2011-02-28;6;119,2;33,139286;25,496429;19,810714;4,8;
2011-03-31;18;386,6;30,1;24,4;20,345161;5;
2011-04-30;5;49,8;30,416667;23,796667;18,673333;4,8;
2011-05-31;4;13,2;30,070968;22,025806;15,832258;5,6;
2011-06-30;0;0;30,536667;21,316667;14,173333;5;
2011-07-31;0;0;30,825806;20,757419;12,596774;5,8;
2011-08-31;0;0;33,212903;22,903226;14,029032;5,5;
2011-09-30;0;0;33,693333;23,304;14,946667;6,3;
