Nome: CACERES
Codigo Estacao: 83405
Latitude: -16.049639
Longitude: -57.680826
Altitude: 118
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2014-07-02
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;16;365,4;32;26,620645;21,470968;5;
2008-02-29;14;295,9;32,765517;26,748966;21,227586;3,3;
2008-03-31;14;252,3;32,33871;25,940645;20,836667;3,3;
2008-04-30;6;86,5;31,75;25,050667;19,016667;3,6;
2008-05-31;1;5;30,23;22,865517;16,48;5,65884;
2008-06-30;0;0;30,076667;22,458;14,673333;3,3;
2008-07-31;0;0;34,083871;23,254194;14,516667;4;
2008-08-31;2;32,4;34,954839;25,769677;16,583871;4;
2008-09-30;2;4,2;34,456667;25,832;17,643333;5;
2008-10-31;5;102,1;35,306452;27,794194;20,580645;5;
2008-11-30;6;56,6;35,456667;28,098;21,626667;3,3;
2008-12-31;10;125,4;34,103226;27,46;21,041935;3,3;
2009-01-31;10;255,3;33,445161;26,916774;20,35;3,3;
2009-02-28;13;149;32,746429;27,214286;21,339286;2;
2009-03-31;14;231,6;32,925806;26,913548;21,332258;2;
2009-04-30;8;64,4;33,083333;26,826;20,086667;3,3;
2009-05-31;2;33,6;32,219355;25,710968;18,683871;4;
2009-06-30;1;2,8;29,9;22,831333;14,143333;6,6;
2009-07-31;2;34,6;31,119355;22,838065;14,8;4;
2009-08-31;2;11;34,07931;25,401379;15,480645;5;
2009-09-30;9;122,2;31,863333;25,474667;18,53;5;
2009-10-31;5;72,5;null;null;20,658065;2,05776;
2009-11-30;9;127,8;35,170588;28,201176;22,03;3,3;
2009-12-31;10;150,6;32,625806;27,196774;21,919355;null;
2010-01-31;13;326;32,329032;27,045806;21,280645;null;
2010-02-28;15;352,7;32,010714;26,937143;21,439286;null;
2010-03-31;8;109,8;33,43871;27,652903;21,864516;null;
2010-04-30;6;50,6;33,07;26,546667;19,096667;null;
2010-05-31;4;76,8;29,945161;23,214839;15,941935;null;
2010-06-30;0;0;32,16;24,072;16,006667;null;
2010-07-31;0;0;30,835484;21,433548;13,454839;null;
2010-08-31;null;0;33,816129;24,390323;16,090323;null;
2010-09-30;1;7,8;36,286667;27,946;21,863333;null;
2010-10-31;9;102,8;34,222581;27,263226;22,158065;null;
2010-11-30;9;146,9;33,803333;26,846667;22,083333;null;
2010-12-31;8;173,1;33,412903;27,432903;23,293548;null;
2011-01-31;19;366,6;32,364516;26,710323;22,980645;null;
2011-02-28;17;262,9;31,375;26,395714;23,125;null;
2011-03-31;13;273,2;31,590323;26,407097;23,313333;null;
2011-04-30;5;53,3;33,976667;27,132667;22,913333;null;
2011-05-31;3;42,2;31,712903;24,170968;18,245161;null;
2011-06-30;1;14,4;31,38;23,347333;17,462069;null;
2011-07-31;0;0;31,683871;23,750968;17,380645;null;
2011-08-31;0;0;33,854839;24,763226;17,690323;null;
2011-09-30;0;0;36,573333;27,363333;19,993333;null;
2011-10-31;4;33,9;34,280645;27,669677;23,141935;null;
2011-11-30;8;101,5;35,743333;28,344667;23,172414;null;
2011-12-31;8;82,2;33,829032;27,776129;23,387097;null;
2012-01-31;2;50,4;null;null;null;null;
2012-02-29;12;159,6;32,772414;26,758621;23,193103;null;
2012-03-31;7;91,6;31,86129;26,428387;22,964516;null;
2012-04-30;8;89,2;31,4;26,361333;22,98;null;
2012-05-31;null;0;null;null;null;null;
2012-06-30;null;null;null;null;null;null;
2012-07-31;null;null;null;null;null;null;
2012-08-31;null;0;35,229032;25,847742;18,533333;null;
2012-09-30;4;80,2;36,103333;27,722667;21,293333;null;
2012-10-31;5;52,5;35,077419;28,327097;24,016129;null;
2012-11-30;10;240,6;32,066667;27,489333;24,453333;null;
2012-12-31;10;222;32,419355;27,447097;23,951613;null;
2013-01-31;13;259,4;32,345;27,415;24,180645;null;
2013-02-28;8;122,6;null;null;23,928571;null;
2013-03-31;null;106,2;32,32381;27,119048;23,522581;null;
2013-04-30;null;94,6;31,113333;26,001333;21,986667;null;
2013-05-31;null;26,8;31,032258;24,969677;20,6;null;
2013-06-30;null;57,9;31,406667;25,485926;20,626667;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;0;32,658065;23,734839;15,948387;null;
2013-09-30;null;37;34,466667;26,865333;21,246667;null;
2013-10-31;null;136,8;33,806452;27,207742;22,706452;null;
2013-11-30;null;99,7;33,81;27,434667;23,243333;null;
2013-12-31;null;171,3;32,632143;27,366429;23,980645;null;
2014-01-31;null;16,6;null;null;null;null;
2014-02-28;null;374,7;30,503571;25,949286;22,896296;null;
2014-03-31;null;240,6;32,658065;26,718;23,290323;null;
2014-04-30;null;75,8;31,903333;26,315333;22,853333;null;
2014-05-31;null;125,4;30,529032;24,258667;20,826667;null;
2014-06-30;null;7,8;31,09;24,085714;19,610714;null;
2014-07-31;null;0;null;null;null;null;

