Nome: GOIANIA
Codigo Estacao: 83423
Latitude: -16.67305554
Longitude: -49.26388888
Altitude: 748.53
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;23;280,8;29,948387;24,156774;20,235484;7;
2008-02-29;23;294,4;30,517241;24,264138;20,306897;3,3;
2008-03-31;24;373,8;30,145161;23,873548;20,009677;3,6;
2008-04-30;13;202,2;30,84;24,569333;19,79;3,1;
2008-05-31;5;53,2;29,916129;22,965806;16,906452;2,6;
2008-06-30;0;0;30,413333;22,380667;15,306667;3;
2008-07-31;0;0;30,435484;21,972258;14,093548;3;
2008-08-31;0;0;33,451613;24,980645;16,845161;3,1;
2008-09-30;6;51,8;34,503333;26,128;18,68;3,3;
2008-10-31;8;109,4;33,732258;26,786452;20,970968;3,60108;
2008-11-30;20;197,5;31,666667;24,998;20,583333;3,8;
2008-12-31;21;246,2;30,193548;24,505806;20,312903;5;
2009-01-31;18;178,6;31,248387;25,166452;20,658065;3,5;
2009-02-28;15;148,2;31,457143;25,100714;20,564286;3,6;
2009-03-31;18;185,6;31,829032;25,069032;20,393548;4,5;
2009-04-30;15;258;30,346667;23,967333;19,103333;3,5;
2009-05-31;4;41,2;30,306452;23,46;17,722581;4;
2009-06-30;5;31,3;29,406667;21,888;15,546667;2,1;
2009-07-31;1;2;31,896774;23,367742;16,03871;2,1;
2009-08-31;3;16,8;32,032258;24,309032;17,790323;3;
2009-09-30;12;71;33,17;25,978;20,263333;3,8;
2009-10-31;16;196,4;32,367742;25,170323;20,332258;3,3;
2009-11-30;19;194,9;31,76;25,387333;21,19;3,3;
2009-12-31;26;443,9;30,070968;24,125806;20,270968;3,1;
2010-01-31;17;98,3;31,622581;25,46129;20,867742;3,5;
2010-02-28;15;208;32,992857;25,905714;20,960714;3,5;
2010-03-31;20;190,4;31,716129;25,18129;20,748387;3,3;
2010-04-30;6;188,4;31,85;25,022;18,91;3,1;
2010-05-31;0;0;31,970968;23,825806;17,129032;2,6;
2010-06-30;1;14,3;31,543333;22,755333;15,343333;3;
2010-07-31;0;0;31,714286;24,00381;16,954839;4;
2010-08-31;0;0;33,435484;24,427097;16,112903;7,6;
2010-09-30;2;16,9;35,853333;27,553333;20,243333;3,1;
2010-10-31;10;107,9;33,732258;26,478667;20,736667;3,3;
2010-11-30;18;281,9;30,846667;24,564667;20,02;4,1;
2010-12-31;21;449,8;31,177419;24,692903;20,396774;4,1;
2011-01-31;20;287,8;30,696774;24,749032;20,422581;3,8;
2011-02-28;17;240,4;31,207143;24,762857;20,382143;3,5;
2011-03-31;25;367,1;30,077419;24,08129;20,4;3,1;
2011-04-30;12;62,3;31,69;25,158667;19,863333;3,5;
2011-05-31;0;0;30,790323;23,826452;17,367742;3,1;
2011-06-30;2;15,3;30,006667;22,17;15,533333;3,8;
2011-07-31;0;0;31,545161;23,084516;15,458065;3,3;
2011-08-31;0;0;34,319355;25,542581;17,225806;3,3;
2011-09-30;1;1,2;35,403333;26,95;19,46;3,6;
2011-10-31;21;300,3;30,76129;24,095484;19,506452;3;
2011-11-30;17;245,4;30,306667;24,495333;19,763333;3,3;
2011-12-31;26;292,8;29,496774;23,846452;20,190323;2,6;
2012-01-31;24;467,4;29,029032;23,338065;19,367742;3;
2012-02-29;18;358;30,855172;24,208966;19,57931;3;
2012-03-31;19;268;31,635484;25,05871;20,035484;3,3;
2012-04-30;19;176,2;31,98;25,085333;20,146667;3;
2012-05-31;4;40;29,567742;23,103226;17,864516;3,1;
2012-06-30;4;18,3;30,613333;23,515333;17,716667;3,3;
2012-07-31;2;3;31,012903;22,809677;15,651613;3,1;
2012-08-31;0;0;31,445161;24,122581;17,425806;3,8;
2012-09-30;5;57,3;34,883333;26,688667;19,46;3,3;
2012-10-31;8;92,8;34,906452;27,420645;21,087097;3,1;
2012-11-30;22;224,5;30,773333;24,935862;20,7;4,1;
2012-12-31;16;188,6;32,283871;26,074194;20,941935;3,1;
2013-01-31;22;353,5;29,603226;24,350323;20,56129;3,3;
2013-02-28;16;125,1;31,669231;25,273077;20,428571;2,6;
2013-03-31;16;234,9;31,703226;25,500645;21,135484;2,6;
2013-04-30;8;44,3;30,713333;24,596667;19,916667;2,1;
2013-05-31;5;44,1;31,225806;24,18129;17,7;3;
2013-06-30;5;7,3;30,476667;23,656;17,753333;3,6;
2013-07-31;null;0;31,06129;22,727097;15,458065;3;
2013-08-31;1;,7;32,677419;24,367097;16,706452;3;
2013-09-30;2;32,9;33,806667;26,374667;19,933333;4,1;
2013-10-31;14;135,2;32,354839;25,864516;20,625806;3,3;
2013-11-30;20;273,6;31,346667;25,038;20,3;3,3;
2013-12-31;22;530,5;30,719355;24,781935;20,477419;4,6;
2014-01-31;1;143,6;31,980645;25,596774;20,23;5,1;
2014-02-28;null;187,8;31,442857;25,146429;20,596429;3;
2014-03-31;null;361,1;30,641935;24,367742;20,23871;3,6;
2014-04-30;null;325,2;31,233333;24,923333;20,19;3,6;
2014-05-31;null;19,7;30,929032;23,853548;17,503226;3,6;
2014-06-30;null;0;30,26;23,01;16,453333;2,5;
2014-07-31;null;15,7;30,267742;22,727742;15,996774;3,1;
2014-08-31;null;0;33,225806;25,063226;17,032258;3;
2014-09-30;null;31,3;35,053333;27,23;20,816667;3,3;
2014-10-31;null;69,2;34,880645;27,699355;21,216129;3,3;
2014-11-30;null;170,5;31,89;25,507333;20,833333;3,8;
2014-12-31;null;337,9;30,151613;24,550323;20,209677;3;
2015-01-31;null;73,6;34,016129;26,856129;20,970968;3;
2015-02-28;null;225,2;30,932143;24,805714;20,239286;3,1;
2015-03-31;null;312,3;30,435484;24,038065;20,112903;3,3;
2015-04-30;null;204,2;31,093333;24,861333;20,566667;3;
