Nome: UNAI
Codigo Estacao: 83428
Latitude: -16.366268
Longitude: -46.889321
Altitude: 595.59
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;14;277,9;31,506452;25,348387;20,629032;4;
2008-02-29;15;151,5;31,693103;25,357241;20,651724;6;
2008-03-31;16;201;30,796774;24,736774;20,325806;4;
2008-04-30;8;107,6;31,506667;25,042667;19,906667;4;
2008-05-31;0;0;29,977419;22,351613;15,806452;4;
2008-06-30;0;0;29,96;21,617333;14,166667;4;
2008-07-31;0;0;29,364516;20,547097;12,209677;5;
2008-08-31;0;0;32,596774;23,729032;14,829032;4;
2008-09-30;4;57,8;34,406667;25,738667;17,6;4;
2008-10-31;1;4,2;36,312903;28,229677;21,216129;4;
2008-11-30;18;263,2;31,653333;25,522667;21,273333;5;
2008-12-31;21;219,5;30,396774;24,860645;21,287097;3;
2009-01-31;16;242;31,451613;25,445806;20,880645;6;
2009-02-28;14;206,8;32,178571;25,795714;20,785714;4;
2009-03-31;10;47,7;32,906452;26,117419;21,080645;5;
2009-04-30;15;145,9;29,813333;23,908;19,086667;4;
2009-05-31;4;17;29,377419;22,72129;17,209677;4;
2009-06-30;5;3,8;29,426667;21,516667;15,01;4;
2009-07-31;0;0;31,467742;22,60129;14,790323;4;
2009-08-31;4;19,4;31,377419;23,527742;16,087097;4;
2009-09-30;6;69;34,153333;26,749333;20,146667;4;
2009-10-31;17;274,5;32,258065;25,440645;20,287097;5;
2009-11-30;10;132,8;32,66;26,162667;21,12;3;
2009-12-31;22;278,6;30,654839;24,716129;20,53871;5;
2010-01-31;15;146,9;32,370968;25,842581;20,641935;5;
2010-02-28;5;48,9;33,442857;26,978571;21,378571;7;
2010-03-31;19;233,4;32,332258;25,664516;21,345161;5;
2010-04-30;6;77,5;31,233333;24,478667;18,426667;4;
2010-05-31;3;20,2;31,403226;23,842581;17,429032;4;
2010-06-30;2;,6;29,52;20,933333;13,566667;4;
2010-07-31;0;0;30,129032;22,129677;14,190323;4;
2010-08-31;0;0;31,351613;22,52129;13,403226;6;
2010-09-30;1;12,8;34,326667;26,092667;17,41;6;
2010-10-31;16;183,6;34,248387;27,002581;21,345161;4;
2010-11-30;21;202,3;30,346667;24,582;20,443333;6;
2010-12-31;22;272,1;31,790323;25,722581;21,280645;3;
2011-01-31;15;187,3;31,712903;25,809032;21,087097;5;
2011-02-28;9;61,1;33,45;26,641429;20,857143;5;
2011-03-31;23;469;30,93871;24,700645;20,558065;5;
2011-04-30;9;59;30,926667;24,466667;18,846667;4;
2011-05-31;1;2,6;30,080645;22,843871;16,454839;3;
2011-06-30;0;0;29,886667;21,749333;14,68;6;
2011-07-31;0;0;30,86129;22,064516;13,887097;5;
2011-08-31;0;0;33,790323;24,406452;15,287097;5;
2011-09-30;0;0;34,686667;26,108;17,446667;6;
2011-10-31;18;135,6;31,56129;24,912258;20,283871;7;
2011-11-30;16;182,3;30,313333;24,569333;20,233333;5;
2011-12-31;25;328,8;30,629032;24,682581;20,66129;3;
2012-01-31;20;194;30,319355;24,470968;20,035484;6;
2012-02-29;9;186,7;31,727586;25,391724;19,941379;4;
2012-03-31;11;91,4;32,590323;25,642581;20,216129;6;
2012-04-30;8;22;33,16;26,173333;20,633333;5;
2012-05-31;5;13,4;29,680645;22,994839;17,493548;6;
2012-06-30;1;,2;31,713333;23,941333;17,32;4;
2012-07-31;0;0;30,86129;22,543226;14,609677;5;
2012-08-31;0;0;30,790323;23,652903;16,280645;6;
2012-09-30;2;19;34,6;26,673333;19,093333;4;
2012-10-31;7;29,4;35,809677;28,149677;20,590323;6;
2012-11-30;20;381,1;31,14;25,324;21,346667;5;
2012-12-31;10;108,2;33,93871;27,345806;21,570968;6;
2013-01-31;21;287,9;30,9;25,270968;21,229032;6;
2013-02-28;10;73,4;32,771429;26,32;20,907143;4;
2013-03-31;1;181,7;32,003226;26,095484;21,441935;4;
2013-04-30;null;78,5;30,293333;24,168;19,493333;4;
2013-05-31;null;21,2;30,667742;23,59871;17,306452;4;
2013-06-30;null;51,6;29,933333;22,957333;17,046667;3;
2013-07-31;null;0;30,758065;22,633548;15,364516;4;
2013-08-31;null;0;31,925806;23,869032;15,709677;4;
2013-09-30;null;67,6;33,593333;26,144;19,226667;6;
2013-10-31;null;139,3;32,029032;25,754839;20,26129;6;
2013-11-30;null;151,4;31,786667;25,650667;20,553333;6;
2013-12-31;null;243,6;31,66129;25,418065;21,364516;3;
2014-01-31;null;46,4;32,374194;26,290968;20,609677;6;
2014-02-28;null;138,3;32,285714;25,965714;20,385714;6;
2014-03-31;null;201,6;31,209677;25,36;20,880645;6;
2014-04-30;null;139,8;31,353333;25,382667;20,58;5;
2014-05-31;null;5,8;30,745161;23,332903;16,906452;3;
2014-06-30;null;0;30,24;22,582667;15,946667;4;
