Nome: SALINAS
Codigo Estacao: 83441
Latitude: -16.154862
Longitude: -42.284921
Altitude: 476.07
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;11;79;31,003226;24,721935;20,125806;3,3;
2008-02-29;12;62,7;31,67931;25,065517;19,975862;4,1;
2008-03-31;10;36,3;32,277419;25,342581;20,212903;5;
2008-04-30;7;76,6;31,823333;24,436;19,346667;4,1;
2008-05-31;0;0;29,877419;21,98;15,516129;4,6;
2008-06-30;2;,5;28,46;21,158667;15,216667;5;
2008-07-31;0;0;27,796774;19,861935;12,306452;4,3;
2008-08-31;0;0;30,858065;22,80129;14,477419;5;
2008-09-30;3;22;32,013333;24,513333;17,64;3,6;
2008-10-31;1;1;34,958065;27,188387;19,570968;5;
2008-11-30;20;351,6;30,836667;25,443333;21,35;4,6;
2008-12-31;20;260,9;29,712903;24,360645;20,648387;4,5;
2009-01-31;14;119,2;31,23871;24,92129;20,76129;5;
2009-02-28;2;4,8;32,564286;25,675714;20,625;5,1;
2009-03-31;8;34,7;33,480645;25,734839;19,925806;4,1;
2009-04-30;17;204,3;28,866667;23,715333;20,5;4,1;
2009-05-31;8;22,8;26,812903;20,685161;17,048387;4,1;
2009-06-30;0;0;27,893333;20,787333;16,373333;4,5;
2009-07-31;0;0;29,458065;20,804516;14,241935;4,6;
2009-08-31;5;6,5;29,770968;22,56129;16,370968;4,1;
2009-09-30;1;2,6;33,46;25,981333;19,006667;5;
2009-10-31;12;186,5;32,119355;25,797419;21,009677;6,3;
2009-11-30;7;56,9;31,963333;24,876;19,31;5,3;
2009-12-31;14;79,5;31,683871;25,214194;20,445161;3,8;
2010-01-31;8;28,3;34,532258;26,387742;19,783871;3,5;
2010-02-28;8;88,8;34,55;26,693571;20,85;4,5;
2010-03-31;19;247,7;31,241935;25,110968;21,248387;4;
2010-04-30;6;75;29,583333;23,402;19,1;3,3;
2010-05-31;5;16,6;29,632258;22,66129;17,964516;4,3;
2010-06-30;3;,7;27,686667;20,002667;13,766667;5;
2010-07-31;6;6;27,770968;21,332903;15,651613;5,1;
2010-08-31;0;0;29,645161;21,270968;13,348387;5,1;
2010-09-30;0;0;32,003333;24,091333;16,375862;7,1;
2010-10-31;7;25,6;33,445161;26,590323;20,851613;8;
2010-11-30;18;303;30,533333;24,632;20,533333;6,6;
2010-12-31;14;241,5;30,719355;24,692258;20,316129;6,1;
2011-01-31;9;52,6;30,996774;24,652258;19,954839;3,8;
2011-02-28;6;28,4;33,071429;25,47;19,596429;3,8;
2011-03-31;15;131,2;31,574194;24,778065;20,525806;4,6;
2011-04-30;13;38,6;30,05;23,597333;19,233333;4,1;
2011-05-31;3;1,5;28,732258;21,84;16,364516;3,6;
2011-06-30;0;0;28,766667;21,014;14,553333;3,5;
2011-07-31;3;3,4;29,458065;20,903226;13,516129;4,8;
2011-08-31;1;,2;31,490323;22,860645;15,006452;4,1;
2011-09-30;0;0;31,566667;23,243333;14,616667;5,8;
2011-10-31;10;95,1;30,293548;24,598065;19,625806;3,8;
2011-11-30;11;138,3;28,293333;23,347333;19,756667;4,6;
2011-12-31;10;216,9;29,883871;24,32129;20,332258;3,5;
2012-01-31;7;65,6;30,170968;24,272903;19,693548;3,5;
2012-02-29;6;48;32,431034;25,555172;19,772414;5,6;
2012-03-31;5;25,2;33,183871;26,027097;20,009677;5;
2012-04-30;1;1;34,126667;26,204;19,35;4;
2012-05-31;12;63,7;29,23871;22,929677;17,929032;5;
2012-06-30;0;0;29,87;22,656667;16,531034;3,5;
2012-07-31;1;,8;29,83871;22,116129;15,245161;8;
2012-08-31;3;1,4;28,906452;22,032258;15,53871;5;
2012-09-30;2;6,2;33,023333;25,34;18,413333;5;
2012-10-31;3;3,3;34,445161;26,860645;20,435484;5,1;
2012-11-30;21;243,2;29,233333;24,558;21,48;3,8;
2012-12-31;4;54,9;33,574194;26,079355;19,706452;4,1;
2013-01-31;16;164,5;32,616129;26,192903;21,390323;3,5;
2013-02-28;2;62,6;33,267857;26,123571;20,389286;3,6;
2013-03-31;null;101,1;33,78;26,987742;21,706667;6,1;
2013-04-30;null;17,2;30,96;25,061333;20,64;3,5;
2013-05-31;null;15,2;31,087097;23,845161;18,077419;4,8;
2013-06-30;null;7,9;29,79;23,287333;17,92;4,1;
2013-07-31;null;0;29,706452;22,625806;16,467742;4,6;
2013-08-31;null;18,4;30,374194;23,234839;16,532258;5,1;
2013-09-30;null;1,4;31,836667;25,326667;19,916667;5,8;
2013-10-31;null;33,6;31,712903;25,48129;20,254839;4,5;
2013-11-30;null;225,9;32,103333;26,079333;21,186667;3,5;
2013-12-31;null;303,5;29,5;24,636774;21,24;3,5;
