Nome: GUARATINGA
Codigo Estacao: 83446
Latitude: -16.58081
Longitude: -39.783182
Altitude: 197.88
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;18;86,5;30,322581;24,730968;21,141935;null;
2008-02-29;13;126;32,262069;25,870714;21,753571;5,6;
2008-03-31;16;106;31,603226;25,82;22,187097;5,8;
2008-04-30;2;3,4;32,533333;26,095333;21,803333;5,5;
2008-05-31;3;3,2;30,183333;23,798065;19,370968;5,8;
2008-06-30;15;59,8;27,13;21,972667;18,5;5,3;
2008-07-31;11;45,1;26,290323;20,755484;16,432258;null;
2008-08-31;16;38,7;27,583871;21,725806;17,432258;6,1;
2008-09-30;7;26,2;28,903333;22,804;18,866667;5,8;
2008-10-31;5;21,7;31,422581;24,503871;20,258065;7;
2008-11-30;17;157,4;29,793333;24,330667;21,353333;5,8;
2008-12-31;16;98,1;30,090323;24,865161;21,558065;5,1;
2009-01-31;13;156,2;31,064516;25,694194;22,270968;6,3;
2009-02-28;9;36,3;32,339286;26,170714;22,128571;6,1;
2009-03-31;13;201,9;32,687097;26,528387;22,758065;5,1;
2009-04-30;21;215;29,196667;24,739333;22,010345;6,3;
2009-05-31;14;85,9;27,622581;22,906452;19,574194;6,5;
2009-06-30;15;107;26,69;22,096;18,88;6,8;
2009-07-31;9;27,8;27,454839;22,116129;18,332258;5,1;
2009-08-31;21;57,1;26,964516;21,931613;18,377419;5,5;
2009-09-30;11;50,5;29,68;23,708667;19,51;6,6;
2009-10-31;18;192,5;29,487097;24,3;21,116129;5,1;
2009-11-30;9;26,5;31,566667;25,498;21,256667;5;
2009-12-31;8;125,8;33,119355;26,387097;22,296774;6,6;
2010-01-31;13;53,9;33,63;26,655484;22,345161;6,6;
2010-02-28;10;58,6;32,55;26,576429;22,453571;5,1;
2010-03-31;20;221,3;31,990323;26,166452;22,636667;5,3;
2010-04-30;14;113,8;29,85;24,986667;21,646667;5,3;
2010-05-31;10;54,1;29,003226;24,021935;20,496774;null;
2010-06-30;10;13,9;26,9;21,7;18,063333;null;
2010-07-31;25;62,3;26,125806;21,570968;18,548387;null;
2010-08-31;12;23,1;26,222581;20,792258;16,816129;null;
2010-09-30;17;54,8;27,74;21,986667;18,006667;null;
2010-10-31;12;64,5;28,777419;23,584516;20,545161;null;
2010-11-30;17;237,7;29,85;24,618667;21,373333;null;
2010-12-31;10;137,3;31,335484;25,755484;22,054839;null;
2011-01-31;19;87;30,919355;25,37871;21,822581;null;
2011-02-28;12;54,3;31,653571;25,703571;21,7;null;
2011-03-31;16;262;31,6;25,777419;22,216129;null;
2011-04-30;27;276,4;29,05;24,457333;21,453333;null;
2011-05-31;11;55;27,503226;22,669032;19,125806;null;
2011-06-30;7;8,2;27,036667;21,924;18,35;null;
2011-07-31;14;51,1;null;null;17,083871;null;
2011-08-31;9;6,8;null;null;17,729032;null;
2011-09-30;4;4;null;null;17,466667;null;
2011-10-31;21;240,9;null;null;20,219355;null;
2011-11-30;18;144,1;null;null;19,923333;null;
2011-12-31;14;204,8;null;null;21,341935;null;
2012-01-31;17;77,1;null;null;21,209677;null;
2012-02-29;16;67;null;null;20,848276;null;
2012-03-31;9;54,6;null;null;21,045161;null;
2012-04-30;10;14,3;null;null;20,846667;null;
2012-05-31;12;65,2;null;null;19,76;null;
2012-06-30;12;47,9;null;null;19,033333;null;
2012-07-31;14;47,2;null;null;17,435484;null;
2012-08-31;25;137,6;null;null;17,574194;null;
2012-09-30;12;64,6;null;null;18,86;null;
2012-10-31;14;63,5;null;null;19,535484;null;
2012-11-30;19;207;28,83;24,307333;21,473333;null;
2012-12-31;4;11,2;32,719355;26,123333;21,653333;null;
2013-01-31;11;110,5;31,483871;25,892903;22,122581;null;
2013-02-28;8;34,8;32,064286;25,885714;21,682143;null;
2013-03-31;11;25;33,080645;26,579355;22,273333;null;
2013-04-30;10;131,6;29,54;24,498667;21,133333;null;
2013-05-31;12;36,2;28,264516;23,452258;19,883871;null;
2013-06-30;16;91,1;27,11;22,68;19,553333;null;
2013-07-31;14;59,5;26,516129;21,885333;18,558065;null;
2013-08-31;12;92,5;26,522581;21,470968;17,793333;null;
2013-09-30;18;86,7;27,003333;22,286;19,14;null;
2013-10-31;18;73,7;27,870968;23,025806;19,625806;null;
2013-11-30;15;280,1;29,376667;24,192667;20,506667;null;
2013-12-31;16;260;29,967742;25,209032;22,109677;null;
2014-01-31;2;69,2;30,280645;25,203226;21,696774;null;
2014-02-28;null;71,9;30,439286;25,067857;20,942857;null;
2014-03-31;null;102;30,093548;25,079355;21,632258;null;
2014-04-30;null;54,4;30,35;25,027333;21,223333;null;
2014-05-31;null;41,4;28,693548;23,394839;19,464516;null;
2014-06-30;null;121;26,826667;22,125333;18,693333;null;
2014-07-31;null;143,1;25,83871;21,381935;18,5;null;
2014-08-31;null;18,3;26,809677;21,490968;17,367742;null;
2014-09-30;null;20,9;28,233333;22,512;18,396667;null;
2014-10-31;null;127,1;28,796774;23,179355;19,503226;null;
2014-11-30;null;116,2;28,666667;23,935333;20,686667;null;
2014-12-31;null;118,8;29,76;24,592667;20,980645;null;
2015-01-31;null;35,6;31,929032;25,760645;21,441935;null;
2015-02-28;null;96,4;31,528571;25,856429;21,796429;null;
2015-03-31;null;75,9;32,043333;26,081935;22,059259;null;
2015-04-30;null;41,8;30,72;25,274667;21,433333;null;
2015-05-31;null;79,3;27,406667;23,125806;19,990323;null;
2015-06-30;null;100,4;26,576667;22,246667;19,331034;null;
2015-07-31;null;74,5;26,309677;21,639355;18,316129;null;
2015-08-31;null;77,6;26,174194;21,343226;17,722581;null;
2015-09-30;null;2,4;30,813333;24,153333;19,343333;null;
2015-10-31;null;17,9;31,654839;25,078065;20,451613;null;
2015-11-30;null;53,1;33,133333;26,579333;22,253333;null;
2015-12-31;null;7,5;35,029032;27,481935;22,377419;null;
2016-01-31;null;340,1;31,060714;25,99;23,1;null;
2016-02-29;null;0;34,2;27,487857;22,548276;null;
2016-03-31;null;44,4;33,519355;27,081935;22,583871;null;
2016-04-30;null;12,7;32,233333;26,093333;21,51;null;
2016-05-31;null;18;30,141935;24,431613;20,141935;null;
2016-06-30;null;13,6;28,13;22,976667;19,163333;null;
2016-07-31;null;112,7;26,512903;21,809032;18,606452;null;
2016-08-31;null;48,4;27,096774;22,218065;18,458065;null;
2016-09-30;null;37,6;28,46;23,050667;19,433333;null;
2016-10-31;null;183,1;29,067742;24,140645;21,054839;null;
2016-11-30;null;236,5;28,76;24,224667;21,13;null;
2016-12-31;null;124,8;30,603226;25,552258;22,045161;null;
2017-01-31;null;22,5;32,183871;26,050968;21,554839;null;
2017-02-28;null;175,7;30,346429;25,331429;21,571429;null;
2017-03-31;null;71,1;31,806452;26,041935;22,003226;null;
2017-04-30;null;82,2;29,733333;24,760667;21,4;null;
2017-05-31;null;86,1;27,390323;22,983226;19,93871;null;
2017-06-30;null;86,7;27,236667;22,436667;19,066667;null;
2017-07-31;null;97,9;24,209677;20,074194;17,229032;null;
2017-08-31;null;41,3;26,054839;20,78;16,877419;null;
2017-09-30;null;71,1;25,756667;21,157333;17,88;null;
2017-10-31;null;4,6;29,693548;23,856774;19,732258;null;
2017-11-30;null;92,2;29,26;24,304667;20,816667;null;
2017-12-31;null;212,6;30,312903;25,150323;22,009677;null;
2018-01-31;null;63,2;31,577419;26,045161;21,86129;null;
2018-02-28;null;154,2;31,407143;25,777857;21,535714;null;
2018-03-31;null;86,5;31,845161;26,143871;22,570968;null;
2018-04-30;null;143,6;28,79;23,993333;20,676667;null;
2018-05-31;null;75,8;27,703226;23,139355;19,690323;null;
2018-06-30;null;58,8;26,61;21,972;18,7;null;
2018-07-31;null;47,4;26,848387;21,30129;17,23871;null;
2018-08-31;null;8,4;28,293548;22,6;18,345161;null;
2018-09-30;null;12,5;29,29;23,326667;19,086667;null;
2018-10-31;null;32,6;30,522581;24,643871;20,822581;null;
2018-11-30;null;215,9;29,19;24,473333;21,38;null;
2018-12-31;null;194,9;30,477419;25,215484;21,448387;null;
2019-01-31;null;28;32,854839;26,334839;21,851613;null;
2019-02-28;null;9,2;35,621429;28,184286;23,142857;null;
2019-03-31;null;64,2;33,522581;27,036774;22,716129;null;
2019-04-30;null;200,1;31,826667;26,097333;22,293333;null;
2019-05-31;null;37,5;30,109677;24,89871;21,048387;null;
2019-06-30;null;81,6;27,756667;22,992667;19,286667;null;
2019-07-31;null;59;26,251613;21,449677;17,829032;null;
2019-08-31;null;106,7;26,56129;21,771613;18,164516;null;
2019-09-30;null;38,3;28,51;23,130667;19,25;null;
2019-10-31;null;70,5;30,054839;24,221935;20,43871;null;
2019-11-30;null;62,2;31,673333;25,49;21,293333;null;
2019-12-31;null;124,1;31,393333;25,544667;21,590323;null;

