Nome: JATAI
Codigo Estacao: 83464
Latitude: -17.9236111
Longitude: -51.71749999
Altitude: 669.84
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;25;303,2;29,56129;23,478065;20,135484;6,2;
2008-02-29;24;317;29,858621;23,205517;19,734483;6,5;
2008-03-31;23;383,8;29,929032;23,127097;19,416129;5,5;
2008-04-30;17;243,7;29,853333;22,802;18,653333;5,2;
2008-05-31;6;61,7;28,164516;19,64;14,148387;3,3;
2008-06-30;2;2,3;28,883333;19,25;13,336667;2,8;
2008-07-31;0;0;30,280645;18,750968;9,783871;3,2;
2008-08-31;1;,6;32,925806;21,834839;13,093548;3,3;
2008-09-30;8;12,3;33,6;23,158;15,083333;8;
2008-10-31;17;150;32,580645;24,614194;19,36129;5,3;
2008-11-30;19;193,7;31,726667;24,373333;19,796667;3,3;
2008-12-31;17;210,9;30,932258;24,403871;19,83871;10,3;
2009-01-31;19;141;30,867742;24,039355;19,883871;6,5;
2009-02-28;19;217,3;30,992857;24,059286;20,117857;3,5;
2009-03-31;21;221,8;31,712903;24,339355;20,177419;3,3;
2009-04-30;8;53,6;30,01;21,974667;17,11;2,8;
2009-05-31;4;16,2;30,429032;20,566452;14,248387;3,7;
2009-06-30;6;29,3;28,186667;18,478667;12,24;3,2;
2009-07-31;1;5,8;30,816129;20,400645;12,912903;4,6;
2009-08-31;3;20,3;31,706452;21,692258;14,2;4,3;
2009-09-30;13;198,2;32,51;23,976;18,76;3,7;
2009-10-31;12;207,4;31,551613;24,18;19,545161;3;
2009-11-30;22;288,6;31,723333;25,172667;21,083333;2,3;
2009-12-31;22;333,2;30,112903;24,00129;20,354839;4,2;
2010-01-31;21;190,4;30,919355;24,480645;20,53871;7,8;
2010-02-28;20;214,5;32,028571;24,737857;20,478571;12,2;
2010-03-31;12;358;32,045161;24,938065;20,43871;4,5;
2010-04-30;7;165,4;30,58;22,463333;16,98;4,5;
2010-05-31;4;6,3;29,090323;19,250323;13,090323;3,2;
2010-06-30;2;2,1;30,56;18,976;10,713333;3,5;
2010-07-31;1;4,1;31,358065;21,044516;12,858065;6,1;
2010-08-31;0;0;32,754839;20,785806;11,112903;7,5;
