Nome: RIO VERDE
Codigo Estacao: 83470
Latitude: -17.78527777
Longitude: -50.96472222
Altitude: 780.04
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;26;285,7;28,525806;22,985161;18,480645;7;
2008-02-29;22;296,6;29,413793;22,942759;17,77931;5;
2008-03-31;21;414,5;29,370968;22,894839;18,241935;5;
2008-04-30;18;231,4;29,146667;23,042;18,633333;4;
2008-05-31;4;24,2;27,993548;21,085161;15,312903;3;
2008-06-30;1;,2;28,786667;21,408667;15,52;7;
2008-07-31;0;0;29,4;21,337419;14,170968;7;
2008-08-31;3;6,9;31,774194;23,810968;16,622581;7;
2008-09-30;4;15,1;32,863333;24,416667;16,786667;7;
2008-10-31;10;109,5;32,06129;24,749032;19,067742;7;
2008-11-30;22;244,5;30,353333;23,818;19,406667;7;
2008-12-31;14;141,3;30,148387;23,898065;19,66129;7;
2009-01-31;21;175,5;30,148387;23,961935;19,53871;7;
2009-02-28;18;254,9;29,771429;23,782143;19,467857;7;
2009-03-31;22;302,8;30,548387;23,989677;19,890323;5;
2009-04-30;10;39,3;28,71;22,721333;18,153333;5;
2009-05-31;3;15,6;29,277419;22,332903;16,480645;5;
2009-06-30;7;34,9;27,126667;20,158667;14,133333;4;
2009-07-31;2;5,7;29,774194;22,421935;15,903226;5;
2009-08-31;3;23;30,467742;22,792903;15,880645;5;
2009-09-30;11;94,9;31,856667;24,512;19,236667;8;
2009-10-31;14;188,4;30,458065;23,779355;19,354839;9;
2009-11-30;18;265,4;30,523333;24,487333;20,396667;7;
2009-12-31;25;343,4;28,451613;23,189677;19,546667;10;
2010-01-31;21;222,7;29,841935;23,917419;19,93871;8;
2010-02-28;19;283,6;31,467857;24,187143;20,1;7;
2010-03-31;12;252,5;31,377419;24,669032;19,880645;5;
2010-04-30;6;59,4;29,836667;23,112667;17,663333;5;
2010-05-31;5;10,5;29,03871;20,878065;15,167742;5;
2010-06-30;1;,2;29,71;20,876;13,733333;5;
2010-07-31;1;25;30,245161;21,656774;14,251613;6;
2010-08-31;0;0;31,709677;22,452903;14,416129;6;
2010-09-30;2;3,3;34,893333;25,899333;18,35;8;
2010-10-31;8;142,2;32,709677;24,982581;19,035484;9;
2010-11-30;17;283,5;30,48;23,870667;19,176667;7;
2010-12-31;19;205,1;30,264516;24,184516;19,941935;9;
2011-01-31;19;257;29,36129;23,838065;19,658065;5;
2011-02-28;18;258,8;29,489286;23,291429;19,282143;5;
2011-03-31;24;419,1;28,522581;23,071613;19,658065;7;
2011-04-30;10;70,4;29,71;23,391333;18,466667;5;
2011-05-31;1;,7;28,251613;21,046452;15,119355;5;
2011-06-30;1;63,3;27,903333;20,128;13,66;17;
2011-07-31;0;0;29,780645;21,5;14,43871;7;
2011-08-31;1;4,5;32,393548;23,714194;16,06129;7;
2011-09-30;2;10,5;33,8;25,000667;17,55;8;
2011-10-31;18;264,1;30,383871;23,500645;18,851613;9;
2011-11-30;12;145;30,48;23,498;18,41;12;
2011-12-31;17;164,9;29,232258;23,523871;19,374194;7;
2012-01-31;25;210,1;27,980645;22,554194;18,919355;8;
2012-02-29;18;387;30,362069;23,469655;18,806897;8;
2012-03-31;17;215,2;30,858065;23,892903;19,019355;7;
2012-04-30;13;82,3;30,337931;23,977333;19,083333;6;
2012-05-31;8;60,4;27,82069;21,033103;15,506897;5;
2012-06-30;7;18,7;27,923333;21,14;15,416667;6;
2012-07-31;2;1,4;29,254839;20,64129;13,6;4;
2012-08-31;0;0;30,532258;22,152903;15,029032;9;
2012-09-30;7;96,5;33,633333;25,182667;18,313333;14;
2012-10-31;8;52,9;34,280645;26,335484;19,593548;7;
2012-11-30;20;254,8;30,346667;24,067333;19,676667;12;
2012-12-31;13;138,6;30,87;24,155789;19,91;7;
2013-01-31;4;29,6;null;null;null;null;
2013-02-28;19;192,1;29,775;23,747143;19,221429;7;
2013-03-31;21;533,4;30,458065;24,002581;19,396774;5;
2013-04-30;10;131,3;28,363333;22,32;17,486667;5;
2013-05-31;null;6,9;29,332258;22,436129;16,109677;7;
2013-06-30;null;44,6;29,08;22,02;16,523333;5;
