Nome: PARACATU
Codigo Estacao: 83479
Latitude: -17.24416666
Longitude: -46.88166666
Altitude: 711.41
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;195,3;30,209677;23,901935;19,716129;8;
2008-02-29;14;250,2;30,113793;24,229655;20,124138;10;
2008-03-31;18;185,5;29,519355;23,616774;19,593548;7;
2008-04-30;9;167;30,143333;23,982;19,226667;5;
2008-05-31;0;0;28,483871;21,379355;15,903226;6;
2008-06-30;0;0;27,866667;20,698667;15,233333;5;
2008-07-31;0;0;27,177419;19,54129;13,232258;7;
2008-08-31;0;0;30,258065;22,441935;15,480645;7;
2008-09-30;6;37,1;32,073333;24,399333;18,02;14;
2008-10-31;2;26;33,880645;26,636774;20,535484;6;
2008-11-30;17;153,5;30,416667;24,252667;19,86;7;
2008-12-31;22;343,2;29,093548;23,587097;20,077419;7;
2009-01-31;17;242,9;30,083871;24,105806;19,877419;5;
2009-02-28;13;172,6;30,396429;24,733571;20,042857;7;
2009-03-31;14;144,3;31,051613;24,672258;20,354839;7;
2009-04-30;14;251,4;28,25;22,826;18,926667;6;
2009-05-31;2;,9;27,712903;21,545806;16,677419;6;
2009-06-30;4;19,7;27,236667;20,329333;15,093333;6;
2009-07-31;0;0;29,183871;21,632903;15,458065;6;
2009-08-31;3;44,7;29,106452;22,003226;16,277419;6;
2009-09-30;10;63,7;31,78;25,014;19,72;6;
2009-10-31;14;149,4;30,767742;24,502581;20,16129;5;
2009-11-30;11;108,5;31,7;25,256667;20,426667;5;
2009-12-31;21;410,6;29,403226;23,652258;19,787097;7;
2010-01-31;13;95,3;31,096774;24,959355;20,296774;5;
2010-02-28;6;99,6;32,067857;25,709286;20,7;5;
2010-03-31;19;226,5;30,958065;24,50129;20,219355;6;
2010-04-30;4;129,4;29,896667;23,197333;18,18;5;
2010-05-31;5;11,9;29,451613;22,362581;16,903226;6;
2010-06-30;1;,1;27,613333;19,830667;13,966667;7;
2010-07-31;0;0;28,416129;20,970968;15,141935;5;
2010-08-31;0;0;29,880645;21,266;14,580645;6;
2010-09-30;2;7,7;32,343333;24,360667;17,873333;6;
2010-10-31;13;159,5;32,896774;25,449677;20,077419;12;
2010-11-30;24;272,9;29,61;23,630667;19,406667;10;
2010-12-31;20;406,8;30,883871;24,839355;20,264516;6;
2011-01-31;15;302,6;30,270968;24,520645;20,206452;6;
2011-02-28;8;60,9;32,614286;25,744286;20,407143;5;
2011-03-31;24;547,2;29,412903;23,583871;19,774194;8;
2011-04-30;6;43,6;29,816667;23,298;18,373333;6;
2011-05-31;0;0;28,73871;21,62;16,122581;5;
2011-06-30;1;1,4;28,076667;20,365333;14,58;5;
2011-07-31;0;0;28,93871;20,747742;14,2;7;
