Nome: ITAMARANDIBA
Codigo Estacao: 83488
Latitude: -17.859776
Longitude: -42.852647
Altitude: 919.37
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;15;114,7;27,345161;21,693548;17,612903;5,1;
2008-02-29;13;190,7;28,506897;22,071034;17,337931;3,1;
2008-03-31;11;90,9;27,241935;21,484516;17,467742;5,1;
2008-04-30;6;35,3;28,63;21,932667;16,913333;5,1;
2008-05-31;4;47,1;25,4;18,187097;12,76129;5,1;
2008-06-30;6;2,8;24,23;17,072667;11,563333;4,1;
2008-07-31;2;,5;23,806452;15,605806;9,380645;5,1;
2008-08-31;2;3,6;26,390323;18,454194;11,645161;5,1;
2008-09-30;4;29,8;27,366667;19,795333;13,476667;6,2;
2008-10-31;4;29,2;29,454545;22,161818;15,958621;5,1;
2008-11-30;22;245,8;24,663636;20,431818;18,036667;7,2;
2008-12-31;21;300,4;26,3;21,232903;17,919355;5;
2009-01-31;21;301,4;28,019355;22,130968;18,535484;5;
2009-02-28;7;73,5;28,714286;22,515;18,314286;4;
2009-03-31;9;82,1;29,577419;22,811613;18,212903;4;
2009-04-30;10;34,9;26,083333;20,655333;16,98;4;
2009-05-31;0;0;24,929032;18,415484;13,577419;4;
2009-06-30;2;5,3;24,706667;17,980667;13,266667;5;
2009-07-31;3;1,3;25,616129;17,90129;12,158065;5;
2009-08-31;6;6,8;25,154839;18,117419;12,945161;5;
2009-09-30;9;33,5;28,693333;21,338667;15,696667;5;
2009-10-31;13;406,7;27,616129;21,889032;17,674194;5;
2009-11-30;8;66,7;29,003333;22,490667;16,946667;3;
2009-12-31;19;230,6;27,580645;21,911613;17,93871;4;
2010-01-31;5;6,7;29,435484;22,970323;18,212903;5;
2010-02-28;5;7,8;30,092857;23,178571;18,142857;4;
2010-03-31;12;142,1;28,832258;22,752258;18,729032;5;
2010-04-30;5;45,3;26,336667;20,394667;16,234483;4;
2010-05-31;7;48,8;25,758065;19,452258;15,032258;4;
2010-06-30;4;2,5;23,113333;15,714667;10,613333;5;
2010-07-31;5;7,1;23,183871;17,049032;12,535484;5;
2010-08-31;0;0;25,119355;16,974194;10,193548;5;
2010-09-30;2;,7;27,17;19,334;13,196667;5;
2010-10-31;10;103,5;28;21,360645;16,548387;6;
2010-11-30;20;341,3;26,356667;21,161333;17,71;5;
2010-12-31;18;150,9;28,635484;22,58129;17,858065;5;
2011-01-31;15;87,3;27,558065;21,697419;17,525806;5;
2011-02-28;4;12,7;29,378571;22,582143;17,503571;5;
2011-03-31;19;134,8;27,458065;21,915484;18,245161;5;
2011-04-30;13;60,3;25,973333;20,597333;17,15;5;
2011-05-31;3;8,9;24,474194;17,810323;13,083871;5;
2011-06-30;2;2,6;24,11;17,08;12,086667;5;
2011-07-31;3;6,4;24,516129;16,349677;10,203226;5;
2011-08-31;3;3,9;27,132258;18,215484;11,383871;6;
2011-09-30;3;2,7;26,54;18,508;11,576667;5;
2011-10-31;14;69,3;25,654839;20,171613;16,103226;5;
2011-11-30;21;259,9;24,61;19,607333;15,97;5;
2011-12-31;21;302,1;26,2;21,212903;17,964516;5;
2012-01-31;11;168,5;27,145161;21,167742;17,13871;5;
2012-02-29;7;36,1;28,082759;21,525517;16,813793;5;
2012-03-31;6;111,4;27,480645;21,430323;16,732258;5;
2012-04-30;4;19;27,936667;21,358667;16,913333;5;
2012-05-31;8;81,8;23,832258;18,426452;14,409677;5;
2012-06-30;1;,7;25,07;18,144;13,283333;5;
2012-07-31;2;,8;24,674194;17,194194;11,670968;5;
2012-08-31;15;20,4;23,151613;16,800645;12,493548;5;
2012-09-30;3;23;27,446667;19,983333;13,923333;5;
2012-10-31;5;9,2;28,929032;21,555484;15,696774;5;
2012-11-30;23;303,8;26,09;21,369333;18,086667;5;
2012-12-31;7;46,2;30,367742;23,279355;17,890323;5;
2013-01-31;14;191,5;28,087097;22,383226;18,574194;4;
2013-02-28;2;6,3;29,007143;22,112143;17,239286;4;
2013-03-31;1;83,3;28,835484;22,854194;18,541935;5;
2013-04-30;null;36,4;25,563333;20,152667;16,7;5;
2013-05-31;null;17,1;25,051613;18,721935;14,225806;4;
2013-06-30;null;30,7;24,446667;18,173333;13,606667;5;
2013-07-31;null;,5;24,9;17,759355;12,293548;5;
2013-08-31;null;4;25,470968;18,16;12,096774;5;
