Nome: CARAVELAS
Codigo Estacao: 83498
Latitude: -17.73944444
Longitude: -39.25861111
Altitude: 6.05
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;14;117,9;29,322581;25,636129;21,703226;5,8;
2008-02-29;9;85;30,925;26,209655;21,833333;6,6;
2008-03-31;16;213,2;30,967742;26,48;22,619355;4,6;
2008-04-30;6;8,6;31,32069;26,318667;21,971429;4,6;
2008-05-31;11;64,8;28,129032;23,614839;19,290323;5;
2008-06-30;18;241,7;26,98;22,702667;18,523333;7,1;
2008-07-31;10;75,2;26,003226;21,350323;16,470968;4,6;
2008-08-31;12;27,3;27,051613;22,225806;17,051613;4,6;
2008-09-30;7;46,8;26,913333;23,016667;18,748276;5,8;
2008-10-31;6;35,7;28,877419;24,786452;20,212903;6,4;
2008-11-30;15;321,4;28,3;24,592667;21,17;6,7;
2008-12-31;19;193,5;28,745161;25,252258;21,470968;7,1;
2009-01-31;13;199;30,03871;26,230323;22,235484;5,8;
2009-02-28;11;13,1;30,982143;26,726429;22,342857;4,6;
2009-03-31;14;148,7;31,306897;26,756552;22,282759;5;
2009-04-30;17;162,6;29,49;26,205333;23,11;5;
2009-05-31;18;51,7;27,853333;24,402581;20,916667;5,5;
2009-06-30;12;56,7;26,789655;23,027333;19,682759;6;
2009-07-31;10;55,7;27,209677;22,862581;19,119355;6,6;
2009-08-31;18;153,7;27,158065;23,214194;19,845161;5,5;
2009-09-30;13;92,7;28,206897;24,550667;21,4;6,3;
2009-10-31;14;242,4;28,277419;25,009677;22,129032;6;
2009-11-30;4;45,9;29,773333;25,942667;22,46;6,3;
2009-12-31;8;11,9;31,668966;26,887742;22,658621;6,6;
2010-01-31;6;19,6;32,2;27,551613;23,489655;6,1;
2010-02-28;12;34,6;32,189286;27,757143;24,157143;4,5;
2010-03-31;15;175,2;31,322581;27,17871;24,148276;5;
2010-04-30;24;257,6;29,053333;25,686667;22,996667;5;
2010-05-31;15;187,3;28,267742;24,467097;21,796774;5;
2010-06-30;16;64,5;26,38;22,626;19,75;6,1;
2010-07-31;22;79,5;26,274194;22,965806;20,219355;4,1;
2010-08-31;12;56,2;25,970968;21,867742;18,274194;7,5;
2010-09-30;10;91,1;26,926667;23,330667;20,25;7,1;
