Nome: PATOS DE MINAS
Codigo Estacao: 83531
Latitude: -18.51972221
Longitude: -46.43916666
Altitude: 947.68
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2018-05-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;289;28,435484;22,246452;18,254839;4,1;
2008-02-29;16;230,6;29,065517;22,542069;18,051724;3,6;
2008-03-31;17;216,6;28,629032;21,971613;17,706452;4,1;
2008-04-30;10;112,7;29,01;21,935333;16,973333;3,6;
2008-05-31;3;23,8;26,648387;19,264516;13,506452;3,6;
2008-06-30;2;27,8;26,696667;19,252667;13,633333;3,6;
2008-07-31;0;0;25,977419;18,202581;11,53871;4,6;
2008-08-31;1;4,6;28,951613;21,14;14,425806;5,1;
2008-09-30;9;55,7;30,4;22,461333;15,946667;3,6;
2008-10-31;7;26;31,545161;24,310323;18,316129;4,6;
2008-11-30;24;192,2;28,79;22,34;17,89;4,1;
2008-12-31;24;516,2;27,348387;21,723226;17,977419;4,6;
2009-01-31;23;203,5;29,041935;22,510323;18,387097;3,6;
2009-02-28;16;188;29,585714;22,958571;18,05;3,1;
2009-03-31;17;193,5;29,722581;22,869032;18,141935;3,6;
2009-04-30;15;106,8;27,26;21,041333;16,56;3,6;
2009-05-31;3;86,7;26,796774;19,72;14,467742;3,6;
2009-06-30;6;55,6;25,606667;18,104;12,76;15,6;
2009-07-31;1;,3;27,616129;19,913548;13,693548;4,1;
2009-08-31;4;28,9;27,470968;20,280645;14,3;4,5;
2009-09-30;5;47,6;30,013333;23,037333;17,46;3,6;
2009-10-31;16;85,2;29,112903;22,650968;18,212903;3,6;
2009-11-30;12;313,5;30,316667;23,767333;18,98;3,6;
2009-12-31;25;367,5;27,854839;22,090323;18,435484;4,6;
2010-01-31;15;145,3;29,667742;23,369032;18,622581;3,6;
2010-02-28;9;146,9;30,767857;23,868571;18,396429;3,6;
2010-03-31;18;216,4;29,183871;22,876129;18,370968;4,6;
2010-04-30;9;87,9;28,213333;21,304;15,906667;3,6;
2010-05-31;5;24,6;27,551613;19,845161;14,041935;3,1;
2010-06-30;2;15,5;25,8;17,742667;11,386667;3,6;
2010-07-31;0;0;26,545161;19,329032;13,53871;4,6;
2010-08-31;0;0;28,674194;20,055484;12,674194;5,1;
2010-09-30;4;59,5;30,706667;22,754667;16,073333;6,7;
2010-10-31;10;134,8;30,793548;23,1;17,680645;4,6;
2010-11-30;20;239,3;27,86;21,774667;17,68;4,1;
2010-12-31;19;483,1;29,641935;23,132903;18,977419;3,6;
2011-01-31;16;398,3;28,654839;22,606452;18,164516;3,6;
2011-02-28;9;82,1;30,707143;23,802857;18,278571;2,6;
2011-03-31;26;463,9;27,880645;22,007742;18,248387;3,6;
2011-04-30;11;72,7;28,11;21,531333;16,58;3,6;
2011-05-31;1;,4;27,303226;19,973548;14,119355;3,1;
2011-06-30;1;24,2;26,093333;18,34;12,693333;3,6;
2011-07-31;0;0;27,267742;19,236774;12,890323;4,1;
2011-08-31;0;0;30,429032;21,921935;14,812903;4,6;
2011-09-30;2;6,3;31,013333;22,810667;15,666667;4,6;
2011-10-31;16;133,9;28,02;21,689333;17,170968;4,6;
2011-11-30;11;217,9;27,573333;21,410667;16,946667;5,1;
2011-12-31;26;416,4;27,058065;21,46;17,93871;3,6;
2012-01-31;19;251,1;26,893548;21,329677;17,593548;5,7;
2012-02-29;9;153;29,065517;22,489655;17,368966;3,6;
2012-03-31;13;196,9;29,003226;22,236129;17,287097;4,1;
2012-04-30;8;73,7;28,95;22,211333;17,166667;3,6;
2012-05-31;6;49;25,596774;18,983226;14,254839;4,1;
2012-06-30;5;51,4;26,626667;19,669333;14,446667;3,1;
2012-07-31;1;,3;26,412903;18,823226;12,532258;4,1;
2012-08-31;0;0;26,641935;19,646452;13,487097;6,2;
2012-09-30;6;14,3;30,71;22,754667;16,263333;5,7;
2012-10-31;9;35,6;31,73871;24,154839;17,745161;5,7;
2012-11-30;21;274,2;28,306667;22,464667;18,49;4,1;
2012-12-31;14;146,5;31,054839;24,125161;18,654839;4,1;
2013-01-31;19;229;27,774194;22,382581;18,712903;4,6;
2013-02-28;8;77,9;30,507143;23,570714;18,028571;10,3;
2013-03-31;3;183,6;28,66129;22,594194;18,635484;3,1;
2013-04-30;null;134,8;27,253333;20,712;16,1;4,1;
2013-05-31;null;33,8;27,206452;20,041935;14,164516;3,6;
2013-06-30;null;6,6;26,323333;19,578;14,426667;4,6;
2013-07-31;null;0;27,009677;19,086452;12,687097;4,1;
2013-08-31;null;1,4;28,435484;20,352258;13,403226;8,5;
2013-09-30;null;40;29,746667;22,204;15,646667;5,7;
2013-10-31;null;130,3;29;22,194839;17,083871;4,1;
2013-11-30;null;169,2;28,676667;22,577333;18,09;4,1;
2013-12-31;null;292,8;28,751613;22,895484;18,73871;3,6;
2014-01-31;null;227,3;30,074194;23,098065;17,603226;4,1;
2014-02-28;null;72,8;30,478571;23,321429;17,714286;3,2;
2014-03-31;null;79;28,922581;22,403226;17,970968;3,6;
2014-04-30;null;187,4;28,466667;21,729333;17,413333;3,6;
2014-05-31;null;2,5;28,048387;19,856774;13,577419;3,1;
2014-06-30;null;1,1;27,213333;19,586667;13,673333;4,6;
2014-07-31;null;55;25,477419;18,596774;12,93871;4,1;
2014-08-31;null;0;28,964516;20,75871;13,648387;4,1;
2014-09-30;null;13,2;31,483333;23,623333;16,693333;5,7;
2014-10-31;null;113,9;31,880645;23,919355;17,793548;5,7;
2014-11-30;null;259,3;29,16;22,850667;18,353333;3,6;
2014-12-31;null;242,7;28,019355;22,429677;18,064516;4,1;
2015-01-31;null;141,9;32,054839;24,100645;17,893548;4,1;
2015-02-28;null;305,5;28,492857;22,135714;17,95;4,6;
2015-03-31;null;234,9;28,003226;21,776774;17,912903;2,1;
2015-04-30;null;22,3;28,353333;21,941333;17,666667;3,1;
2015-05-31;null;120,3;24,606452;20,203226;16,867742;3,6;
2015-06-30;null;31,8;25,073333;19,361333;14,326667;4,6;
2015-07-31;null;,7;26,816129;19,747097;13,893548;4,6;
2015-08-31;null;0;28,977419;20,832258;13,912903;5,7;
2015-09-30;null;83,8;31,71;23,953333;17,59;3,6;
2015-10-31;null;70,5;33,454839;25,925161;19,732258;3,6;
2015-11-30;null;159,2;31,333333;24,435333;19,443333;3,6;
2015-12-31;null;170,9;30,5;23,350968;18,616129;3,1;
2016-01-31;null;414,6;27,706452;22,538065;19,441935;3,6;
2016-02-29;null;86,8;30,934483;23,806897;18,582759;3,6;
2016-03-31;null;91,9;29,609677;23,180645;18,667742;3,1;
2016-04-30;null;10,1;30,766667;22,916;16,58;3,1;
2016-05-31;null;21,2;28,693548;20,596129;14,841935;3,6;
2016-06-30;null;3,3;26,7;18,895714;13,271429;3,6;
2016-07-31;null;0;28,830769;20,256923;13,176923;3,6;
2016-08-31;null;0;null;null;null;null;
2016-09-30;null;43,8;32,230769;24,059231;17,296154;4,6;
2016-10-31;null;89,9;30,992308;23,825385;18,380769;3,6;
2016-11-30;null;171,5;28,430769;22,161538;18,269231;3,6;
2016-12-31;null;240,5;29,262963;22,677037;17,877778;4,1;
2017-01-31;null;118,6;30,692308;23,572308;18,538462;3,1;
2017-02-28;null;291,8;28,808333;22,503333;18,133333;5,1;
2017-03-31;null;100,4;29,818519;22,914074;17,959259;3,1;
2017-04-30;null;4,1;29,044;22,6552;17,864;3,6;
2017-05-31;null;40,4;27,203704;20,44;15,314815;3,1;
2017-06-30;null;0;26,661538;19,338462;13,815385;4,1;
2017-07-31;null;0;24,603704;17,927692;11,892308;5,7;
2017-08-31;null;0;29,566667;21,30963;13,996296;4,6;
2017-09-30;null;28,8;29,534615;22,019231;15,115385;4,1;
2017-10-31;null;63,3;31,607692;24,23;18,142308;3,6;
2017-11-30;null;142,7;27,869231;22,067692;18,138462;3,6;
2017-12-31;null;188,4;null;null;null;null;
2018-01-31;null;194;29,818519;23,139259;18,240741;3,6;
2018-02-28;null;104,5;29,012;22,576667;18,266667;3,1;
2018-03-31;null;179,2;30,107407;23,266667;18,67037;3,6;
2018-04-30;null;43,6;27,532;21,1008;16,388;3,6;
2018-05-31;null;20,5;26,892857;19,511111;13,67037;3,6;

