Nome: CURVELO
Codigo Estacao: 83536
Latitude: -18.747435
Longitude: -44.454654
Altitude: 668.26
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;19;306,4;30,487097;24,264516;19,722581;7;
2008-02-29;11;133,3;31,562069;25,085517;19,97931;5;
2008-03-31;13;138,6;30,719355;24,018065;19,193548;3;
2008-04-30;5;62,8;31,273333;24,192667;18,523333;5;
2008-05-31;0;0;29,003226;20,512903;13,683871;5;
2008-06-30;0;0;29,013333;20,122;12,993333;3;
2008-07-31;0;0;28,151613;18,51871;10,277419;5;
2008-08-31;1;4;30,977419;21,809032;13,374194;7;
2008-09-30;5;54;31,98;23,071333;14,833333;7;
2008-10-31;2;44;33,925806;26,201935;19,177419;7;
2008-11-30;16;267,8;30,42;24,304;19,666667;7;
2008-12-31;19;440,9;29,503226;23,753548;19,674194;5;
2009-01-31;18;204,4;31,403226;24,927097;20,141935;3;
2009-02-28;9;131;32,875;25,452857;20,007143;3;
2009-03-31;13;213,6;32,529032;25,386452;20,077419;3;
2009-04-30;6;51,6;30,026667;23,056;18,14;3;
2009-05-31;1;25,2;29,229032;21,424516;15,154839;7;
2009-06-30;3;19;27,986667;19,665333;13,306667;5;
2009-07-31;0;0;29,741935;20,988387;13,580645;5;
2009-08-31;3;34,4;29,919355;21,496129;14,245161;7;
2009-09-30;4;53,8;32,776667;24,996;18,316667;5;
2009-10-31;13;219,6;31,574194;24,710323;19,664516;10;
2009-11-30;10;91;33,606667;26,076667;20,363333;5;
2009-12-31;18;253;30,106452;24,179355;19,864516;7;
2010-01-31;14;242,8;33,109677;25,619355;19,964516;5;
2010-02-28;6;26,5;34,414286;26,681429;19,921429;7;
2010-03-31;12;262,6;32,025806;24,970769;19,046154;5;
2010-04-30;4;16;30,896667;22,359;16,11;9;
2010-05-31;4;41,8;30,2;null;null;5;
2010-06-30;1;13;28,23;null;null;7;
2010-07-31;0;0;29,283871;null;null;5;
