Nome: BOA ESPERANCA
Codigo Estacao: 83557
Latitude: -18.53722221
Longitude: -40.27222221
Altitude: 128.95
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;10;80,1;31,319355;25,244516;19,674194;null;
2008-02-29;7;158,5;32,513793;26,062759;20,003448;null;
2008-03-31;12;124,5;31,622581;26,001935;20,577419;null;
2008-04-30;6;83,3;31,773333;26,117333;19,94;null;
2008-05-31;2;2,5;28,822581;22,786452;17,609677;null;
2008-06-30;2;3,2;28,106667;22,081333;16,453333;null;
2008-07-31;6;41,8;27,316129;20,392258;15,177419;null;
2008-08-31;8;26,1;28,674194;22,057419;16,53871;null;
2008-09-30;4;22,1;28,9;22,082;16,18;null;
2008-10-31;5;18;32,370968;24,883226;18,274194;null;
2008-11-30;19;344,3;29,693333;24,144;18,713333;null;
2008-12-31;10;81,6;29,380645;24,107097;19,635484;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;3;12,2;32,9;26,0552;20,484;null;
2009-03-31;6;150,6;33,977419;26,733548;21,583871;null;
2009-04-30;8;80;29,98;24,056;19,373333;null;
2009-05-31;3;8,3;28,593548;22,259355;17,274194;null;
2009-06-30;5;29,2;27,05;21,028667;15,733333;null;
2009-07-31;6;22,3;28,532258;21,736129;15,7;null;
2009-08-31;7;40,3;29,006452;22,2;16,532258;null;
2009-09-30;3;9,2;32,59;25,03;19,08;null;
2009-10-31;7;218,9;31,712903;24,976129;18,932258;null;
2009-11-30;6;138,3;31,946667;25,217333;19,52;null;
2009-12-31;10;60,5;33,293548;26,447097;20,958065;null;
2010-01-31;4;18,8;35,583871;27,325806;21,222581;null;
2010-02-28;7;30,7;34,335714;26,811429;20,314286;null;
2010-03-31;14;238,2;32,964516;26,525806;20,641935;null;
2010-04-30;13;173,7;30,266667;24,414667;19,28;null;
2010-05-31;5;52,5;29,435484;23,443226;18,880645;null;
2010-06-30;4;16,3;27,54;21,309333;16,213333;null;
2010-07-31;12;76,1;26,948387;20,987097;16,222581;null;
2010-08-31;1;1,6;27,83871;20,927742;15,7;null;
2010-09-30;5;38,9;30,433333;23,496;17,6;null;
2010-10-31;6;50,2;29,63871;23,887742;18,687097;null;
2010-11-30;16;297,6;29,55;23,911333;18,193333;null;
2010-12-31;11;182,3;31,806452;25,277419;18,609677;null;
2011-01-31;10;101,4;32,5;25,629032;19,958065;null;
2011-02-28;8;102,7;32,907143;25,694286;20,071429;null;
2011-03-31;14;195,2;31,53871;25,311613;19,796774;null;
2011-04-30;21;253,6;29,646667;23,902667;18,546667;null;
2011-05-31;4;29,9;28,119355;22,132258;16,893548;null;
2011-06-30;5;43,9;27,56;21,534667;15,813333;null;
2011-07-31;3;85,2;27,66129;20,905161;15,790323;null;
2011-08-31;3;25;28,254839;21,46129;16,551613;null;
2011-09-30;9;22,3;28,113333;20,856;15,813333;null;
2011-10-31;15;160,1;28,090323;22,727742;18,248387;null;
2011-11-30;17;296,8;28,9;23,149333;18,073333;null;
2011-12-31;10;155,7;30,493548;24,799355;20,274194;null;
2012-01-31;18;140;31,248387;25,25871;20,506452;null;
2012-02-29;9;62;32,693103;25,166207;20,582759;null;
2012-03-31;8;42,9;33,216129;25,69871;20,448387;null;
2012-04-30;6;41,5;32,406667;25,488;20,526667;null;
2012-05-31;12;89,9;28,567742;22,550968;18,080645;null;
2012-06-30;4;18,3;28,113333;22,369333;17,693333;null;
2012-07-31;7;64,9;27,025806;20,910968;16,054839;null;
2012-08-31;21;232,6;26,377419;20,676774;16,358065;null;
2012-09-30;6;43,5;28,126667;22,186667;17,313333;null;
2012-10-31;7;40,4;30,716129;23,699355;18,525806;null;
2012-11-30;19;340,5;29,526667;24,421333;20,08;null;
2012-12-31;2;7,6;34,73871;26,595484;21,403226;null;
2013-01-31;null;213,3;32,919355;26,155484;21,319355;null;
2013-02-28;null;3,5;33,65;26,461429;21,185714;null;
2013-03-31;null;47;34,429032;26,679355;21,687097;null;
2013-04-30;null;80,6;29,75;23,499333;19,2;null;
2013-05-31;null;57,6;29,567742;22,550968;16,525806;null;
2013-06-30;null;20,1;29,076667;22,035333;16,806667;null;
2013-07-31;null;21,5;28,648387;22,368387;16,829032;null;
2013-08-31;null;68;29,016129;22,361935;16,319355;null;
2013-09-30;null;92;29,572414;22,950714;17,644828;null;
2013-10-31;null;147,1;28,46129;22,395484;18,422581;null;
2013-11-30;null;166,8;30,83;24,764667;20,053333;null;
2013-12-31;null;505,6;31,529032;25,637419;21,33871;null;
2014-01-31;null;63,5;32,248387;25,530968;21,022581;null;
2014-02-28;null;179,1;32,171429;25,142857;20,578571;null;
2014-03-31;null;130,8;31,187097;24,774194;20,758065;null;
2014-04-30;null;50,3;31,013333;24,398667;20,16;null;
2014-05-31;null;6,5;29,906452;22,613548;17,190323;null;
