Nome: FRUTAL
Codigo Estacao: 83574
Latitude: -20.034803
Longitude: -48.930435
Altitude: 547.09
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2013-09-08
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;null;null;null;null;null;null;
2008-02-29;10;170,1;30,735;24,816667;20,888889;2;
2008-03-31;15;251,7;31,151613;24,775385;20,661538;1;
2008-04-30;13;124,1;30,572;24,329231;20,384;2;
2008-05-31;4;16,2;28,251613;21,324444;16,274074;1;
2008-06-30;null;0;30,062069;21,9776;16,368;2;
2008-07-31;null;0;30,545161;21,908889;15,259259;3;
2008-08-31;5;17,6;32,416129;24,580769;18,037037;6;
2008-09-30;3;15,7;32,836667;24,726154;17,592308;3;
2008-10-31;11;72,6;33,532258;26,520741;21,185185;3;
2008-11-30;15;77,7;33,19;25,656;20,576;2;
2008-12-31;16;395,3;32,319355;25,560741;20,607692;2;
2009-01-31;null;null;null;null;null;null;
2009-02-28;21;182,9;32,514286;26,2232;21,912;2;
2009-03-31;15;239,1;32,206667;25,628462;21,088;2;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;4;27,1;30,103846;22,445385;16,861538;3;
2009-09-30;8;44,5;31,963333;25,009333;19,751724;4;
2009-10-31;6;69,9;32,748387;25,425806;20,019355;3;
2009-11-30;12;168,7;33,87;27,414;22,613333;3;
2009-12-31;24;284,5;31,22;25,176;21,441379;3;
2010-01-31;19;297,6;31,658065;25,525161;21,812903;3;
2010-02-28;13;252,5;33,630769;26,720769;22,034615;3;
2010-03-31;12;146,8;33,135484;26,541935;22,051613;3;
2010-04-30;4;65,8;31,22;24,347333;19,09;3;
2010-05-31;4;10,9;29,835484;21,777419;15,880645;3;
2010-06-30;3;13,9;29,956667;21,158;14,383333;2;
2010-07-31;1;,3;31,306452;23,195484;16,909677;2;
2010-08-31;0;0;32,570968;23,252258;15,664516;3;
2010-09-30;5;58,4;33,943333;25,903333;19,593333;3;
2010-10-31;10;108,4;32,636667;24,939355;19,126667;2;
2010-11-30;10;115,9;32,56;25,977333;20,8;3;
2010-12-31;18;145,8;33,066667;26,79619;22,012903;2;
2011-01-31;21;205,8;null;null;22,026667;4;
2011-02-28;16;143,5;null;null;21,738462;5;
2011-03-31;24;550;null;null;21,387097;2;
2011-04-30;7;104,3;null;null;20,165517;3;
2011-05-31;1;11;null;null;16,535484;2;
2011-06-30;2;30,3;null;null;14,1;4;
2011-07-31;0;0;null;null;15,806452;3;
2011-08-31;2;16,2;null;null;17,316129;3;
2011-09-30;3;7,3;null;null;18,366667;3;
2011-10-31;15;225,9;null;null;20,3;3;
2011-11-30;9;203,3;null;null;19,206667;3;
2011-12-31;15;332,5;null;null;21,28;4;
2012-01-31;22;361,3;null;null;20,593548;4;
2012-02-29;12;174,6;null;null;21,627586;3;
2012-03-31;6;91,6;32,893333;26,143871;21,033333;4;
2012-04-30;11;158,2;32,013333;25,168;20,113333;6;
2012-05-31;7;60,5;28,135484;21,530323;16,554839;4;
2012-06-30;8;103,5;28,589655;22,12;17,510345;3;
2012-07-31;1;1,8;29,793548;21,432903;15,17;6;
2012-08-31;0;0;30,983871;23,10129;16,490323;4;
2012-09-30;3;62,4;34,753333;25,909333;18,64;4;
2012-10-31;3;54,2;36,23871;28,228387;21,606452;7;
2012-11-30;14;225,9;33,183333;26,372667;21,166667;3;
2012-12-31;14;267,9;33,551613;26,987742;22,329032;8;
2013-01-31;16;211,9;31,264516;25,407742;21,483871;4;
2013-02-28;14;345,1;null;null;null;3;
2013-03-31;2;109;null;null;null;3;
2013-04-30;null;103,6;null;null;null;3;
2013-05-31;null;0;null;null;null;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;null;null;null;null;null;null;

