Nome: ARAXA
Codigo Estacao: 83579
Latitude: -19.60555555
Longitude: -46.94972221
Altitude: 1018.28
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;22;236,8;27,290323;21,868387;18,632258;5,6;
2008-02-29;21;289,8;27,913793;22,066897;18,4;5;
2008-03-31;20;283,8;27,7;21,743871;18,045161;5,3;
2008-04-30;14;107,2;27,373333;21,656;17,84;5,3;
2008-05-31;4;8,6;25,635484;19,386452;14,967742;5;
2008-06-30;4;28,9;null;null;14,853333;5,1;
2008-07-31;0;0;null;null;13,4;5;
2008-08-31;3;11,5;28,767742;21,304516;16,006452;5;
2008-09-30;9;74,5;29,946667;21,713333;16,033333;5,8;
2008-10-31;9;68,9;29,825806;23,327742;18,748387;5,8;
2008-11-30;18;133,9;28,916667;22,106;17,94;5,8;
2008-12-31;25;416,9;27,264516;21,548387;18,180645;5;
2009-01-31;19;264,5;null;null;18,632258;5;
2009-02-28;14;151,5;null;null;19,1;5;
2009-03-31;22;298,2;null;null;19;5;
2009-04-30;10;140,3;null;null;17,086667;5;
2009-05-31;7;61,6;null;null;15,212903;5;
2009-06-30;5;19,1;null;null;13,413333;5;
2009-07-31;1;5;null;null;15,167742;5;
2009-08-31;4;69,5;26,413043;19,418261;15,270968;6,3;
2009-09-30;13;57,7;28,66;22,434667;17,893333;5;
2009-10-31;16;201,1;28,632258;22,23871;18,225806;6,3;
2009-11-30;14;188,7;29,75;23,634;19,56;5;
2009-12-31;22;310,3;27,209677;22,06129;18,741935;5;
2010-01-31;19;178,1;29,009677;23,383871;19,612903;5;
2010-02-28;12;165,2;30,132143;23,753571;19,492857;6,3;
2010-03-31;20;210,2;29,358065;22,831613;18,825806;6,6;
2010-04-30;6;79,2;27,873333;21,536;17,2;5;
2010-05-31;5;42;26,916129;19,72;14,703226;5;
2010-06-30;3;11,1;25,47;18,134667;13,07;5;
2010-07-31;1;,9;26,458065;19,349677;14,683871;5;
2010-08-31;0;0;28,322581;20,170323;14,109677;5;
2010-09-30;6;113,3;29,91;22,424667;16,86;5;
2010-10-31;12;180,9;29,154839;22,526452;18,354839;5;
2010-11-30;20;315;27,496667;21,584667;17,94;5;
2010-12-31;19;201,1;29,406452;23,375484;19,535484;5,8;
2011-01-31;19;267,4;28,6;22,749677;19,219355;5;
2011-02-28;13;169,5;30,071429;23,551429;19,5;5,5;
2011-03-31;22;345,1;26,943333;21,767333;18,741935;6,6;
2011-04-30;10;100,3;27,916667;21,564667;17,466667;6,3;
2011-05-31;0;0;26,529032;19,907097;15,309677;6,6;
2011-06-30;2;18;25,103333;18,115333;13,286667;6,6;
2011-07-31;0;0;26,509677;19,500645;14,516129;6,6;
2011-08-31;1;1,4;29,706452;21,678065;15,770968;7,3;
2011-09-30;1;13,4;30,326667;22,677333;16,286667;8,5;
2011-10-31;16;176;27,07931;21,164828;17,351724;8,3;
2011-11-30;11;121,5;27,75;21,420667;17,08;7;
2011-12-31;21;333;28,380645;21,925161;18,393548;6,6;
2012-01-31;23;494,6;27,629032;21,447097;17,883871;5;
2012-02-29;8;105,8;30,57931;23,562759;18,903448;6;
2012-03-31;15;128,4;29,954839;22,72;18,483871;5;
2012-04-30;12;107;29,642105;22,450526;17,886667;6;
2012-05-31;5;51,7;24,152941;18,527059;14,303226;6,6;
2012-06-30;6;83,6;25,583333;19,516667;15,413333;4,6;
2012-07-31;3;3,9;25,806452;18,932903;14,380645;5;
2012-08-31;0;0;26,109677;19,196129;14,212903;8,3;
2012-09-30;5;35,9;30,356667;22,744;17,05;8,3;
2012-10-31;7;91,3;31,445161;24,189677;18,806452;5,8;
2012-11-30;19;124,1;28,746667;22,668;18,72;6,1;
2012-12-31;16;159,7;30,43871;23,983226;19,43871;8,5;
2013-01-31;18;304,1;27,6;22,350968;19,096774;5,8;
2013-02-28;16;125,6;29,478571;23,261429;19,214286;5;
2013-03-31;4;284,7;27,793548;22,241935;18,835484;5,5;
2013-04-30;null;76,4;26,57;20,527333;16,793333;5,3;
2013-05-31;null;87,2;26,509677;20,052903;15,619355;5,5;
2013-06-30;null;11,4;25,676667;19,812667;15,946667;5;
2013-07-31;null;0;25,73871;18,696129;13,832258;5,6;
2013-08-31;null;14,8;27,454839;19,933548;14,496774;5,6;
2013-09-30;null;29;28,703333;21,49;16,246667;7,5;
2013-10-31;null;178,1;27,764516;21,570968;17,174194;6,3;
2013-11-30;null;204,2;27,636667;22,15;18,346667;6,3;
2013-12-31;null;181,3;28,551613;22,685806;19;4,6;
2014-01-31;null;80,9;30,312903;23,679355;19,070968;6,3;
2014-02-28;null;53,2;30,578571;23,948571;19,264286;6;
2014-03-31;null;233,6;28,525806;22,426452;18,606452;null;
2014-04-30;null;201,7;28,026667;21,550667;17,74;null;
2014-05-31;null;18,1;26,209677;19,687097;14,909677;null;
2014-06-30;null;3,8;25,823333;19,334;14,753333;null;
2014-07-31;null;86,6;24,587097;18,325161;14,116129;null;
2014-08-31;null;0;28,33871;20,936129;15,354839;null;
2014-09-30;null;9,3;30,663333;23,018;17,453333;null;
2014-10-31;null;101,5;31;23,409032;17,954839;null;
2014-11-30;null;337,8;28,433333;22,597333;18,653333;null;
2014-12-31;null;206;27,941935;22,411613;18,858065;null;
2015-01-31;null;54,8;31,732258;24,773548;19,870968;null;
2015-02-28;null;358,7;28,346429;22,380714;18,628571;null;
2015-03-31;null;365,4;27,058065;21,651613;18,574194;null;
2015-04-30;null;113,6;28,08;21,684;18,066667;null;
2015-05-31;null;96,8;24,777419;19,293548;15,793548;null;
2015-06-30;null;65,1;24,596667;18,755333;14,886667;null;
2015-07-31;null;7,4;25,73871;19,710323;15,425806;null;
2015-08-31;null;0;27,506452;20,556774;15,258065;null;
2015-09-30;null;84,1;29,65;23,498;18,766667;null;
2015-10-31;null;23;32,325806;25,671613;20,483871;null;
2015-11-30;null;167,7;28,865517;23,447586;19,62;null;
2015-12-31;null;269,5;28,325806;22,782581;19,141935;null;
2016-01-31;null;409,2;26,867742;22,435484;19,741935;null;
2016-02-29;null;127,1;31,003448;23,810345;19,703448;null;
2016-03-31;null;260,8;29,548387;23,018065;19,374194;null;
2016-04-30;null;3,9;30,04;23,169333;18,613333;null;
2016-05-31;null;1,6;28,087097;20,847097;16,187097;null;
2016-06-30;null;45,2;25,3;18,457333;14,253333;null;
2016-07-31;null;0;27,112903;19,824516;14,370968;null;
2016-08-31;null;18,8;28,132258;20,914194;15,458065;null;
2016-09-30;null;12,1;30,713333;23,236;17,573333;null;
2016-10-31;null;134,6;29,26129;22,962581;18,345161;null;
2016-11-30;null;252,6;26,116667;21,572667;18,153333;null;
2016-12-31;null;403,9;27,516129;22,312258;18,651613;null;
2017-01-31;null;239,9;27,783871;22,502581;18,96129;null;
2017-02-28;null;183;28,153571;22,645714;18,689286;null;
2017-03-31;null;118,8;28,777419;22,934839;18,845161;null;
2017-04-30;null;51,8;27,813333;22,138667;18,5;null;
2017-05-31;null;87,4;25,970968;20,324516;16,464516;null;
2017-06-30;null;13;25,17;18,923333;14,64;null;
2017-07-31;null;0;22,709677;16,726452;12,664516;null;
2017-08-31;null;0;28,06129;20,973548;15,580645;null;
2017-09-30;null;27,6;28,703333;21,516667;16,3;null;
2017-10-31;null;125,8;30,219355;23,701935;18,896774;null;
2017-11-30;null;315,2;26,71;21,848667;18,44;null;
2017-12-31;null;285,8;null;null;19,064516;null;
2018-01-31;null;173,2;null;null;19,36129;null;
2018-02-28;null;257,6;null;null;19,092857;null;
2018-03-31;null;74,6;null;null;19,56129;null;
2018-04-30;null;157,1;null;null;17,613333;null;
2018-05-31;null;20,8;null;null;15,077419;null;
2018-06-30;null;0;null;null;15,993333;null;
2018-07-31;null;0;null;null;14,787097;null;
2018-08-31;null;19;null;null;15,516129;null;
2018-09-30;null;86;null;null;17,106667;null;
2018-10-31;null;200;null;null;19,077419;null;
2018-11-30;null;437,8;null;null;18,38;null;
2018-12-31;null;212,4;null;null;18,987097;null;
2019-01-31;null;161,4;null;null;19,56129;null;
2019-02-28;null;366,1;null;null;19,428571;null;
2019-03-31;null;157,4;null;null;18,909677;null;
2019-04-30;null;93,6;null;null;18,6;null;
2019-05-31;null;40,4;27,748387;21,420645;17,083871;null;
2019-06-30;null;0;26,253333;19,489333;14,86;null;
2019-07-31;null;1,8;null;null;13,56129;null;
2019-08-31;null;15,7;null;null;15,780645;null;
2019-09-30;null;72;null;null;18,966667;null;
2019-10-31;null;100;null;null;18,845161;null;
2019-11-30;null;164;null;null;19,253333;null;
2019-12-31;null;230,8;null;null;19,135484;null;

