Nome: C. DO MATO DENTRO
Codigo Estacao: 83589
Latitude: -19.020355
Longitude: -43.433948
Altitude: 663.02
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;185,7;29,277419;23,019355;18,558065;7;
2008-02-29;12;156;30,517241;23,643448;18,782759;4,5;
2008-03-31;16;193,7;29,903226;23,02;18,848387;4,1;
2008-04-30;6;74;30,268966;22,293077;17,496154;6,3;
2008-05-31;2;3,7;26,806452;18,061935;12,632258;4,3;
2008-06-30;2;2,2;26,263333;17,078667;11,716667;3,6;
2008-07-31;1;,3;25,783871;15,34;7,864516;4,6;
2008-08-31;3;16,9;28,164516;18,340645;10,254839;5,6;
2008-09-30;6;57,5;28,663333;20,335;13,075;6;
2008-10-31;8;136,4;30,758065;22,90129;16,574194;8,1;
2008-11-30;20;289;27,83;22,322069;18,944828;8,3;
2008-12-31;23;478;27,893548;22,685517;19,212903;4,6;
2009-01-31;22;503,4;30,016129;23,566;19,42069;7;
2009-02-28;13;80,3;30,803846;23,941538;19,696154;8,8;
2009-03-31;13;108,9;30,766667;23,84963;19,2;4,6;
2009-04-30;11;152,3;28,573333;21,630667;17,623333;5;
2009-05-31;3;4,7;26,554839;18,895484;13,964516;4,5;
2009-06-30;10;26,6;25,81;18,025333;13,636667;5,1;
2009-07-31;2;,9;26,851613;17,998065;12,329032;5,3;
2009-08-31;5;10,9;26,451613;18,617419;12,648387;6,6;
2009-09-30;7;93;29,55;21,996;16,23;5,8;
2009-10-31;19;162,8;29,058065;22,624516;18,419355;6,3;
2009-11-30;10;129,3;31,26;23,932667;18,236667;6,6;
2009-12-31;21;367,2;29,345161;23,199333;18,94;5;
2010-01-31;7;150,6;31,777419;24,41871;18,925806;5;
2010-02-28;9;60,3;32,175;24,518571;18,757143;5,8;
2010-03-31;20;317,9;31,151613;24,005161;19,874194;5;
2010-04-30;10;61,6;28,603333;21,233333;16,643333;7,5;
2010-05-31;10;55,5;27,335484;19,810323;15,512903;5,3;
2010-06-30;3;12,7;24,606667;15,976;10,79;4,8;
2010-07-31;7;5,4;25,56129;17,593548;11,76129;5;
2010-08-31;0;0;27,274194;16,814839;8,019355;4,6;
2010-09-30;3;1,5;28,94;20,255172;12,648276;5;
2010-10-31;15;92;28,851613;22,204516;17,645161;6;
2010-11-30;24;276,2;28,16;22,615333;18,556667;5,5;
2010-12-31;19;413,7;30,696774;24,034194;19,348387;7,1;
2011-01-31;13;151,3;30,587097;23,965806;19,090323;5,5;
2011-02-28;5;55,8;32,214286;24,545714;18,382143;5;
2011-03-31;21;495;29,487097;23,036774;19,16129;7,1;
2011-04-30;10;77,4;28,276667;21,911333;17,896667;5,5;
2011-05-31;3;9;26,06129;18,491613;13,845161;4,8;
2011-06-30;3;2,3;25,196667;17,102;11,866667;9,1;
2011-07-31;3;,9;25,590323;16,538065;10,406452;5,5;
2011-08-31;0;0;28,803333;18,840667;10,69;6,5;
2011-09-30;2;,9;28,54;19,737333;11,19;6,6;
2011-10-31;19;218,9;26,522581;21,019355;16,674194;7;
2011-11-30;16;423,9;26,65;21,144;16,996667;7,1;
2011-12-31;26;435,2;27,854839;22,672903;19,309677;5;
2012-01-31;16;343,2;28,735484;22,884516;18,73;7,8;
