Nome: CAMPO GRANDE
Codigo Estacao: 83611
Latitude: -20.447252
Longitude: -54.722641
Altitude: 528.43
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2009-09-17
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;9;63,6;null;null;null;null;
2008-02-29;11;82,8;null;null;null;6,1;
2008-03-31;15;215,7;30,193333;null;null;4,6;
2008-04-30;11;93,4;29,23125;null;null;4,3;
2008-05-31;11;82,2;26,429412;null;null;6,8;
2008-06-30;4;5;26,423529;null;null;5,8;
2008-07-31;null;0;null;null;null;null;
2008-08-31;5;52;32,02;null;null;9;
2008-09-30;8;55,6;32,305;null;null;9,3;
2008-10-31;6;69,6;null;null;null;null;
2008-11-30;8;62,2;null;null;null;7,3;
2008-12-31;15;186,4;null;null;null;null;
2009-01-31;16;226,2;29,973684;null;null;8,3;
2009-02-28;13;154;null;null;null;null;
2009-03-31;17;267,8;31,047368;null;null;7,8;
2009-04-30;0;0;31,770588;null;null;6;
2009-05-31;7;75,6;30,2875;null;null;6,8;
2009-06-30;7;85,2;null;null;null;null;
2009-07-31;9;47,9;27,485714;null;null;7,8;
2009-08-31;6;153,8;null;null;null;null;
2009-09-30;1;,8;null;null;null;null;

