Nome: SAO S.DO PARAISO
Codigo Estacao: 83631
Latitude: -20.909923
Longitude: -47.114243
Altitude: 820
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2014-03-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;19;520,3;28,593548;22,50129;17,670968;2;
2008-02-29;17;192,3;28,968966;22,553793;17,631034;2;
2008-03-31;null;null;null;null;null;null;
2008-04-30;15;174,4;28,386667;20,973333;15,35;2;
2008-05-31;7;74,8;25,777419;17,368387;11,219355;2;
2008-06-30;5;43,8;26,346667;17,748;11,38;2;
2008-07-31;0;0;26,345161;16,414194;8,790323;2;
2008-08-31;4;27,5;28,316129;19,477419;12,367742;2;
2008-09-30;4;58,8;29,1;20,452;13,023333;3;
2008-10-31;9;145;29,493548;22,390968;16,719355;1;
2008-11-30;14;218,6;29,316667;22,424667;17,653333;3;
2008-12-31;17;374;28,483871;21,816774;17,154839;2;
2009-01-31;16;223,8;28,783871;22,560645;19,167742;2;
2009-02-28;11;239,6;29,296429;23,673571;19,371429;2;
2009-03-31;null;null;null;null;null;null;
2009-04-30;1;70;27,894118;21,250588;13,482353;2;
2009-05-31;2;39,8;27,648387;19,452903;13,109677;1;
2009-06-30;6;18,4;24,326667;16,378667;10,54;2;
2009-07-31;1;27;27,18;19,420667;12,436667;2;
2009-08-31;5;46;27,454839;19,67871;13,019355;3;
2009-09-30;6;172,2;29,623333;22,375333;16,113333;2;
2009-10-31;16;265;29,570968;22,953548;17,690323;3;
2009-11-30;14;170,6;30,596667;24,178;19,056667;2;
2009-12-31;25;586,3;27,919355;22,767097;19,154839;2;
2010-01-31;19;371,4;29,693548;23,096129;18,73871;3;
2010-02-28;11;257,4;31,078571;24,114286;19,225;2;
2010-03-31;8;105,2;null;null;null;null;
2010-04-30;1;44;null;null;null;null;
2010-05-31;3;16,4;26,993333;19,178621;11,765517;2;
2010-06-30;2;7,4;27,023333;17,702;9,63;3;
2010-07-31;2;5;27,735484;19,593548;12,1;3;
2010-08-31;0;0;29,219355;18,897419;10,341935;3;
2010-09-30;8;70,2;30,276667;21,769655;14,841379;2;
2010-10-31;10;163,2;29,887097;22,045806;15,683871;2;
2010-11-30;13;371,6;28,87;22,168;17,256667;3;
2010-12-31;19;333,1;30,509677;23,812258;18,96129;2;
2011-01-31;18;356,9;29,474194;23,306452;18,887097;1;
2011-02-28;10;209,8;30,93913;null;null;null;
2011-03-31;16;268,2;26,421739;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;2;4;27,296774;18,843226;11,693548;2;
2011-06-30;4;26;25,753333;16,594667;9,863333;3;
2011-07-31;1;,6;27,277419;17,885806;10,503226;3;
2011-08-31;2;14;29,609677;20,226667;11,82;2;
2011-09-30;3;8,8;31,38;22,127586;13,62069;2;
2011-10-31;10;158,6;29,019355;21,991613;16,13871;3;
2011-11-30;12;248,3;29,233333;22,425333;16,24;1;
2011-12-31;19;288,8;28,832258;22,42129;17,919355;3;
2012-01-31;20;338;27,267742;21,847742;17,683871;2;
2012-02-29;null;null;null;null;null;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;null;null;null;null;null;null;
2012-05-31;null;null;null;null;null;null;
2012-06-30;null;null;null;null;null;null;
2012-07-31;null;null;null;null;null;null;
2012-08-31;null;0;26,596429;null;null;null;
2012-09-30;3;83;31,348;null;null;null;
2012-10-31;null;null;null;null;null;null;
2012-11-30;null;null;null;null;null;null;
2012-12-31;null;null;null;null;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;null;null;null;null;null;null;
2013-03-31;null;null;null;null;null;null;
2013-04-30;null;null;null;null;null;null;
2013-05-31;null;null;null;null;null;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;null;null;null;null;null;null;
2013-10-31;null;null;null;null;null;null;
2013-11-30;null;null;null;null;null;null;
2013-12-31;null;null;null;null;null;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;null;null;null;null;null;
2014-03-31;null;null;null;null;null;null;

