Nome: DIVINOPOLIS
Codigo Estacao: 83635
Latitude: -20.173283
Longitude: -44.874742
Altitude: 787.42
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;17;393,2;29,170968;23,098065;18,803226;5;
2008-02-29;13;241;30,210345;23,676429;19,006897;7;
2008-03-31;16;188,7;29,774194;23,043226;18,06129;7;
2008-04-30;8;117,2;29,31;22,428667;17,34;6;
2008-05-31;2;1,8;27,396774;18,983226;12,590323;6;
2008-06-30;1;60,1;27,55;18,686;12,11;6;
2008-07-31;0;0;26,922581;17,045806;8,564516;7;
2008-08-31;3;28,8;29,23871;20,511613;12,380645;7;
2008-09-30;8;74,5;28,757143;20,702143;13,664286;6;
2008-10-31;8;27,1;31,154839;24,063226;17,7;8;
2008-11-30;21;207,8;29,146667;22,79;18,07;6;
2008-12-31;21;571;27,945161;22,616774;18,651613;5;
2009-01-31;21;373,6;29,512903;23,304516;18,958065;8;
2009-02-28;15;195;30,878571;24,132857;19,353571;4;
2009-03-31;17;134,7;30,53871;23,80129;19,209677;6;
2009-04-30;8;111,9;28,723333;21,462667;15,833333;9;
2009-05-31;6;22,9;27,612903;19,416129;13,283871;5;
2009-06-30;6;30,3;26,006667;17,306;10,966667;4;
2009-07-31;1;1,7;28,296774;19,272903;12,116129;5;
2009-08-31;3;35,5;27,893548;19,735484;12,493548;7;
2009-09-30;7;50,6;30,816667;23,462;17,236667;4;
2009-10-31;16;215,8;29,803226;23,019355;18,119355;7;
2009-11-30;12;94,7;31,866667;24,838667;19,67;5;
2009-12-31;22;362,5;29,048387;22,979355;19,090323;4;
2010-01-31;15;152,8;31,390323;24,474615;19,161538;4;
2010-02-28;8;80,9;32,446429;25,264286;19,253571;4;
2010-03-31;17;235,5;30,658065;23,965806;19,063333;4;
2010-04-30;5;11,3;29,29;21,826;15,706667;4;
2010-05-31;5;39,4;27,203226;18,83871;12,5;4;
2010-06-30;0;0;26,023333;16,610667;8,93;5;
2010-07-31;1;,5;27,309677;18,64129;10,932258;4;
2010-08-31;0;0;28,96129;18,946452;9,277419;7;
2010-09-30;5;64,8;30,296667;21,728667;14,12;6;
2010-10-31;11;156,6;30,012903;23,042581;17,335484;6;
2010-11-30;18;304,7;28,446667;22,604;18,37;4;
2010-12-31;20;212,3;30,851613;24,382667;19,71;6;
2011-01-31;14;271,3;30,229032;24,241935;19,432258;5;
2011-02-28;7;116,3;33,185714;25,296429;18,910714;4;
2011-03-31;18;367;29,329032;23,061379;19,044828;4;
2011-04-30;9;144,4;29,636667;22,231333;16,443333;5;
2011-05-31;2;7,6;27,467742;19,096129;12,803226;4;
2011-06-30;3;21,6;26,166667;17,217333;10,213333;7;
2011-07-31;0;0;27,212903;17,876774;10,109677;5;
2011-08-31;1;,6;30,590323;21,044516;12,19;5;
2011-09-30;2;1,1;30,793333;21,536667;12,836667;6;
2011-10-31;15;170,5;28,448387;22,220645;17,296774;6;
2011-11-30;11;140,4;28,366667;21,891034;16,73;5;
2011-12-31;25;451,2;28,406452;22,596774;18,922581;4;
2012-01-31;22;401,5;28,93871;22,960741;18,611111;6;
2012-02-29;6;38;31,224138;24,28;18,006897;6;
2012-03-31;15;148,6;30,403333;23,42;18,116667;4;
2012-04-30;5;66,5;29,68;22,542667;16,836667;5;
2012-05-31;6;17,5;25,86129;18,434839;12,590323;6;
2012-06-30;9;106,8;null;null;13,156667;6;
2012-07-31;1;1,2;26,644;17,58;9,974194;4,11552;
2012-08-31;0;0;26,670968;18,734194;10,835484;6;
2012-09-30;3;12,3;30,436667;21,972667;13,91;7;
2012-10-31;7;14,6;32,187097;24,383871;16,990323;8;
2012-11-30;20;163,5;29,496667;23,368667;18,696667;5;
2012-12-31;16;137,4;32,280645;25,100645;19,974194;6;
2013-01-31;21;362,3;29,577419;23,587586;19,348276;5;
2013-02-28;8;84,1;31,871429;24,811111;18,733333;6;
2013-03-31;4;143;29,954839;23,552258;19,235484;6;
2013-04-30;null;86,9;27,7;20,952;15,746667;6;
2013-05-31;null;85,6;27,106452;19,371613;13,251613;4;
2013-06-30;null;21,5;26,77;18,890667;12,823333;4;
2013-07-31;null;11,6;26,883871;18,188387;11,054839;6;
