Nome: CAPARAO
Codigo Estacao: 83639
Latitude: -20.526119
Longitude: -41.90913
Altitude: 836.25
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;16;236,1;26,741935;21,16;17,251613;3,6;
2008-02-29;15;180,7;28,5;22,111034;18,117241;4,1;
2008-03-31;14;84,8;28,387097;21,709677;17,76129;3,6;
2008-04-30;11;123,1;27,813333;21,258667;17,346667;2,6;
2008-05-31;4;13,4;25,164516;17,056774;11,383871;2,1;
2008-06-30;2;9,4;23,786667;15,946667;10,893333;2,1;
2008-07-31;1;7,4;23,909677;14,34;8,029032;3,1;
2008-08-31;1;8;25,980645;17,377419;11,435484;2,6;
2008-09-30;7;101,8;25,456667;17,672667;12,323333;3,6;
2008-10-31;5;38,4;27,06129;20,658065;16,329032;5,1;
2008-11-30;21;376,9;25,456667;20,558667;17,196667;6,2;
2008-12-31;19;497,7;26,441935;21,262581;18,064516;6,2;
2009-01-31;16;410,2;27,896774;22,26129;18,725806;5,7;
2009-02-28;13;182,7;29,332143;22,620714;18,528571;5,1;
2009-03-31;18;230,6;29,077419;22,299355;17,948387;6,7;
2009-04-30;8;141,8;26,466667;20,267333;16,363333;6,2;
2009-05-31;5;33,2;25,451613;17,922581;12,987097;3,1;
2009-06-30;5;32,2;23,443333;16,534667;12,21;4,6;
2009-07-31;3;34,4;24,903226;17,403226;12,758065;4,6;
2009-08-31;4;47,8;24,4;17,280645;12,551613;5,1;
2009-09-30;8;111,5;27,266667;20,592;16,283333;4,1;
2009-10-31;12;165,7;26,658065;21,070968;17,493333;4,1;
2009-11-30;12;93,7;29,3;22,71;18,49;4,6;
2009-12-31;14;309,3;27,867742;22,42129;18,903226;3,1;
2010-01-31;6;78,2;30,535484;22,847742;18,23871;2,1;
2010-02-28;9;56;30,967857;23,23;18,246429;2,1;
2010-03-31;19;251,1;29,009677;22,549032;18,567742;2,1;
2010-04-30;8;58,3;26,673333;20,149655;15,527586;2,6;
2010-05-31;9;93,7;24,977419;17,988387;13,074194;3,6;
2010-06-30;2;2,2;23,523333;14,69;8,603333;2,6;
2010-07-31;1;11,6;23,793548;16,290323;10,770968;4,1;
2010-08-31;2;14,4;24,903226;15,403226;8,532258;3,6;
2010-09-30;5;25,4;25,89;18,146;12,64;5,1;
2010-10-31;10;99,6;25,806452;19,881935;16,103226;5,1;
2010-11-30;22;349,4;25,653333;20,725333;17,506667;4,1;
2010-12-31;19;479,1;28,490323;22,618;18,577419;3,6;
2011-01-31;11;66,2;28,941935;22,650323;18,490323;5,1;
2011-02-28;11;140,1;29,85;22,457143;17,778571;2,6;
2011-03-31;20;470,5;26,496774;21,421935;17,735484;3,1;
2011-04-30;11;113,9;26,68;20,489333;16,526667;4,6;
2011-05-31;3;2,4;24,283871;16,894839;11,770968;5,3;
2011-06-30;2;15;23,373333;15,921379;10,86;6,2;
2011-07-31;1;,6;23,806452;15,200667;8,896774;5,1;
2011-08-31;0;0;26,374194;17,933548;12,1;4,1;
2011-09-30;1;,4;26,076667;17,498667;11,516667;5,8;
2011-10-31;11;152,8;24,748387;19,584516;15,929032;4,1;
2011-11-30;18;211,7;24,546667;19,246667;15,466667;5,1;
2011-12-31;24;260,4;25,890323;21,074839;18,006452;4,1;
2012-01-31;14;222,3;27,212903;21,517419;18,309677;4,1;
2012-02-29;5;13,7;29,1;21,830345;16,824138;2,6;
2012-03-31;14;99,4;27,777419;21,541935;17,254839;4,1;
2012-04-30;6;64,4;27,066667;20,710667;16,593333;1,5;
2012-05-31;11;98,9;23,632258;17,854839;13,932258;5,3;
2012-06-30;2;4;24,573333;17,928667;13,403333;4,6;
2012-07-31;1;6;24,729032;15,948387;9,419355;3,6;
2012-08-31;6;22,9;24,174194;16,165161;10,316129;4,1;
2012-09-30;4;33;27,113793;19,187586;13,596552;4,1;
2012-10-31;5;45,9;28,632258;21,174194;15,896774;4,1;
2012-11-30;18;226,2;26,053333;20,946667;17,473333;4,6;
2012-12-31;12;63,7;30,73871;23,632258;18,725806;2,6;
2013-01-31;16;270,9;28,03871;22,207742;18,335484;3,6;
2013-02-28;7;79,3;29,271429;22,277143;17,528571;2,6;
2013-03-31;3;182,2;27,36129;21,919355;18,506452;3,1;
2013-04-30;null;52,8;25,36;19,533333;15,46;3,1;
2013-05-31;null;72,8;24,477419;17,546452;12,467742;3,1;
2013-06-30;null;19,3;24,286667;17,756667;12,936667;3,6;
2013-07-31;null;5,8;23,812903;16,453548;11,454839;4,6;
2013-08-31;null;6,9;25,387097;16,917419;11,070968;4,6;
2013-09-30;null;63,2;26,21;19,035333;14,06;4,1;
2013-10-31;null;93,3;24,974194;19,171613;14,83871;7,2;
2013-11-30;null;156,8;26,703333;20,757333;17,136667;3,6;
2013-12-31;null;391,6;27,377419;22,242581;19,177419;3,6;
2014-01-31;null;91,8;30,206452;22,565806;17,3;2,6;
2014-02-28;null;70,3;30,071429;22,595714;17,314286;2,6;
2014-03-31;null;103,6;27,535484;21,817333;18,006452;3,1;
2014-04-30;null;126,8;26,81;20,182667;15,57;3,6;
2014-05-31;null;2,5;25,277419;17,755484;11,893548;4,1;
2014-06-30;null;2,7;24,803333;16,959333;11,206667;2,6;
2014-07-31;null;35,6;23,425806;16,371613;11,290323;5,1;
2014-08-31;null;4,9;25,5;16,905161;10,270968;4,1;
2014-09-30;null;12,3;27,413333;19,086207;13,253333;4,6;
2014-10-31;null;149,9;27,451613;20,065161;14,945161;5,7;
2014-11-30;null;270,9;27,026667;21,216667;17,05;4,6;
2014-12-31;null;107;29,354839;22,476129;17,806452;4,1;
2015-01-31;null;55,6;31,635484;23,649677;18,070968;2,6;
2015-02-28;null;158,2;29,348148;22,874815;18,317857;3,1;
2015-03-31;null;71,1;29,126667;22,485333;17,832258;3,1;
2015-04-30;null;68,5;26,94;20,676667;15,97;3,1;
2015-05-31;null;112,4;23,703226;17,848387;13,783871;3,1;
2015-06-30;null;15,5;23,76;16,777333;11,566667;4,6;
2015-07-31;null;5,2;23,845161;16,774839;11,487097;2,6;
2015-08-31;null;15,9;25,535484;17,201935;10,609677;2,1;
2015-09-30;null;72,4;27,96;20,360667;15,343333;5,7;
2015-10-31;null;77,2;29,651613;21,743226;16,387097;3,1;
2015-11-30;null;117,8;30,166667;23,274667;18,946667;3,6;
2015-12-31;null;168;30,241935;23,154194;18,683871;3,6;
2016-01-31;null;211;28,367742;22,710323;18,751613;3,1;
2016-02-29;null;58,9;31,103448;23,891034;18,551724;2,1;
2016-03-31;null;162;29,651613;22,743226;18,225806;5,1;
2016-04-30;null;35,6;29,06;21,438667;15,56;2,6;
2016-05-31;null;21,6;25,870968;18,858065;13,825806;1,5;
2016-06-30;null;74;22,79;16,314;11,293333;2,1;
2016-07-31;null;2,9;24,825806;16,611333;11,245161;1,5;
2016-08-31;null;12,7;25,96129;17,73;12,176667;3,1;
2016-09-30;null;66,3;26,496667;19,51;15,273333;3,1;
2016-10-31;null;81,9;25,2;20,344516;16,948387;2,6;
2016-11-30;null;268,4;25,776667;20,891333;17,666667;3,1;
2016-12-31;null;317,6;27,974194;22,127742;18,096774;7,2;
2017-01-31;null;149,9;28,390323;22,484516;18,322581;6,2;
2017-02-28;null;105,3;28,367857;22,295;18,314286;3,1;
2017-03-31;null;99,6;27,441935;21,493548;16,909677;2,1;
2017-04-30;null;80,7;25,86;20,250667;16,146667;4,6;
2017-05-31;null;47,3;23,512903;17,665806;13,067742;2,1;
2017-06-30;null;4,8;23,673333;17,190667;12,5;4,6;
2017-07-31;null;6,5;21,474194;14,670323;9;4,1;
2017-08-31;null;0;23,777419;16,352258;10,719355;4,6;
2017-09-30;null;12,2;25,413333;18,074667;12,726667;3,1;
2017-10-31;null;55,4;27,567742;21,227097;16,574194;2,6;
2017-11-30;null;304,7;25,046667;20,673333;17,286667;4,6;
2017-12-31;null;292,6;26,464516;21,830323;18,477419;4,1;
2018-01-31;null;147,2;28,835484;22,928387;18,56129;3,1;
2018-02-28;null;210,1;27,071429;22,191111;18,792857;1,5;
2018-03-31;null;406,3;28,335484;22,774839;19,103226;2,1;
2018-04-30;null;155,6;25,336667;19,987333;16,46;3,1;
2018-05-31;null;35,7;24,209677;17,696129;12,535484;2,6;
2018-06-30;null;0;23,82;17,950667;13,653333;3,6;
2018-07-31;null;1,6;23,980645;16,070968;10,206452;2,1;
2018-08-31;null;73;23,583871;17,396774;12,967742;3,1;
2018-09-30;null;53,9;25,182759;19,07931;14,693333;3,1;
2018-10-31;null;141,1;null;null;17,4;3,6;
2018-11-30;null;164,7;null;null;17,62;3,1;
2018-12-31;null;248,5;null;null;17,906452;4,1;
2019-01-31;null;7,8;null;null;18,219355;3,1;
2019-02-28;null;180,6;null;null;18,871429;3,1;
2019-03-31;null;158,8;null;null;18,464516;4,1;
2019-04-30;null;149,4;null;null;17,753333;1;
2019-05-31;null;23,5;null;null;15,425806;3,1;
2019-06-30;null;3,5;null;null;12,26;2,1;
2019-07-31;null;0;null;null;8,335484;2,1;
2019-08-31;null;14,1;null;null;11,767742;3,1;
2019-09-30;null;21,4;null;null;14,8;2,6;
2019-10-31;null;57,6;null;null;16,477419;2,6;
2019-11-30;null;319;null;null;17,82;5;
