Nome: VITORIA
Codigo Estacao: 83648
Latitude: -20.31583333
Longitude: -40.31722221
Altitude: 18.06
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;16;128,4;29,767742;25,607097;22,448387;null;
2008-02-29;11;173;31,448276;26,686207;23,255172;null;
2008-03-31;13;68,7;31,525806;26,832903;23,419355;null;
2008-04-30;6;73,3;31,48;26,803333;23,393333;null;
2008-05-31;5;47;27,951613;23,576129;20,022581;null;
2008-06-30;8;42,1;27,423333;22,876;19,76;null;
2008-07-31;6;28,3;26,793548;22,2;19,109677;null;
2008-08-31;4;26,8;27,932258;23,424516;20,570968;null;
2008-09-30;11;29,2;26,91;22,854667;20,043333;null;
2008-10-31;11;108,6;29,241935;24,885806;22;null;
2008-11-30;26;662,8;27,713333;24,188;21,716667;null;
2008-12-31;17;136,1;28,935484;25,303871;22,719355;null;
2009-01-31;17;218,1;30,66129;26,527097;23,887097;null;
2009-02-28;8;49;32,378571;27,840714;24,789286;null;
2009-03-31;14;210,9;31,912903;27,413548;24,483871;null;
2009-04-30;16;230,1;29,376667;25,479333;22,62;null;
2009-05-31;10;70,3;28,248387;24,114839;21,054839;null;
2009-06-30;5;46,5;26,13;22,343333;19,496667;null;
2009-07-31;6;90;27,580645;23,092258;19,990323;null;
2009-08-31;14;85,6;26,606452;22,69871;19,96129;null;
2009-09-30;10;17,5;29,18;24,846667;21,993333;null;
2009-10-31;12;406,4;28,651613;24,909677;22,174194;null;
2009-11-30;5;144,3;31,54;26,994;23,9;null;
2009-12-31;1;2;null;null;null;null;
2010-01-31;1;15,6;33,567742;28,810323;25,645161;null;
2010-02-28;7;57,1;33,475;28,743571;25,507143;null;
2010-03-31;15;374,7;31,335484;27,476129;24,629032;null;
2010-04-30;13;138,7;29,93;25,801333;22,863333;null;
2010-05-31;9;113,4;28,441935;24,361935;21,266667;null;
2010-06-30;10;68,6;26,023333;21,774667;18,55;null;
2010-07-31;16;94,9;26,419355;22,483226;19,754839;5;
2010-08-31;6;20,7;26,432258;22,004516;18,596774;8;
2010-09-30;8;27,8;27,48;23,355333;20,403333;9;
2010-10-31;7;47,2;27,580645;23,92129;21,290323;null;
2010-11-30;17;265,4;28,503333;24,726;21,863333;null;
2010-12-31;null;0;null;null;null;null;
2011-01-31;12;26,8;32,096774;27,463226;24,387097;null;
2011-02-28;8;76,7;32,407143;27,85;24,807143;null;
2011-03-31;21;277,4;29,845161;26,034839;23,567742;null;
2011-04-30;21;384;29,766667;25,742;22,96;null;
2011-05-31;3;72,3;27,883871;23,534194;20,522581;null;
2011-06-30;7;38,4;26,453333;22,328;19,546667;null;
2011-07-31;5;30,5;26,903226;22,307742;19,045161;null;
2011-08-31;6;13,4;28,158065;23,12129;19,964516;null;
2011-09-30;7;31,2;26,88;22,496667;19,59;null;
2011-10-31;18;141,6;27,316129;23,496774;21,003226;null;
2011-11-30;19;247,1;26,763333;23,380667;20,853333;null;
2011-12-31;17;251,8;28,73871;25,192903;22,96129;null;
2012-01-31;15;282,9;29,987097;25,936129;23,33871;null;
2012-02-29;9;73,6;31,32069;26,775172;23,837931;null;
2012-03-31;7;58,9;31,622581;26,883871;23,877419;null;
2012-04-30;12;30,1;30,8;26,337333;23,406667;null;
2012-05-31;15;267,1;26,787097;22,932258;20,312903;null;
2012-06-30;8;92,8;27,836667;23,800667;21,133333;5;
2012-07-31;6;42,6;27,493548;22,947742;19,890323;5;
2012-08-31;22;238,4;26,645161;22,372903;19,296774;4;
2012-09-30;8;37,9;27,513333;23,236667;20,203333;9;
2012-10-31;10;56;29,180645;24,767742;21,596774;9;
2012-11-30;22;376,1;28,336667;24,572;21,913333;6;
2012-12-31;6;42,7;32,254839;27,827742;24,751613;7;
2013-01-31;14;197,8;31,36129;26,966452;24,167742;7;
2013-02-28;6;39,2;32,15;27,572143;24,553571;5;
2013-03-31;3;434,5;31,609677;26,851613;23,890323;8;
