Nome: CALDAS(P. DE CALDAS)
Codigo Estacao: 83681
Latitude: -21.918139
Longitude: -46.382977
Altitude: 1077.08
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2015-09-16
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;24;367,1;25,9;20,583871;16,93871;3;
2008-02-29;17;128,5;26,6;21,081379;16,934483;3;
2008-03-31;15;335,6;26,148387;20,016129;15,348387;6;
2008-04-30;17;225,3;24,966667;19,208;14,6;3;
2008-05-31;4;54,4;23,103226;15,409677;9,083871;2;
2008-06-30;5;20,3;22,573333;14,968667;9,083333;3;
2008-07-31;0;0;23,735484;12,787097;4,26129;5;
2008-08-31;10;47,7;25,445161;16,845806;9,283871;3;
2008-09-30;8;74,4;25,713333;17,111333;9,743333;6;
2008-10-31;15;186,3;26,367742;20,183226;14,958065;3;
2008-11-30;16;160,8;25,48;19,910667;15,633333;4;
2008-12-31;15;123,9;25,73913;20,304348;15,891304;2;
2009-01-31;21;277,5;25,735484;20,647097;17;3;
2009-02-28;17;365,7;26,989286;21,302143;17,225;2;
2009-03-31;11;81,6;27,280769;21,492308;17,103846;4;
2009-04-30;6;72,5;25,423333;18,376;12,623333;2;
2009-05-31;8;74;24,006452;16,403871;10,351613;2;
2009-06-30;7;65,3;21,143333;13,285333;6,976667;2;
2009-07-31;3;27,9;23,154839;15,218065;9,035484;2;
2009-08-31;4;94,4;23,464516;15,47871;8,609677;2;
2009-09-30;9;164,7;26,083333;18,846667;13,13;3;
2009-10-31;15;296,4;26,167742;19,930323;15,1;5;
2009-11-30;11;209,4;27,993333;22,050667;17,546667;2;
2009-12-31;25;358,2;26,277419;21,223871;18,012903;3;
2010-01-31;18;219,6;27,083871;21,734839;18,041935;3;
2010-02-28;14;151,4;27,669565;21,835652;17,016667;5;
2010-03-31;12;164,3;27,290323;21,02129;16,541935;3;
2010-04-30;8;57,3;25,633333;18,599333;12,386667;5;
2010-05-31;5;26,3;23,93871;15,566452;8,380645;3;
2010-06-30;3;18,6;23,027586;13,17931;5,251724;3;
2010-07-31;3;13,6;23,870968;14,773548;7,103226;3;
2010-08-31;0;0;26,051613;15,007097;5,109677;5;
2010-09-30;6;70,5;26,656667;18,148;10,856667;4;
2010-10-31;12;120,1;26,135484;18,999355;12,754839;6;
2010-11-30;15;191,4;25,95;20;15,23;4;
2010-12-31;25;401,1;27,483871;21,92;17,712903;2;
2011-01-31;21;312;26,890323;21,645161;18,203226;5;
2011-02-28;10;83,3;28,025;21,800714;16,964286;3;
2011-03-31;15;182,1;25,077419;20,544516;17,519355;3;
2011-04-30;8;129,5;25,888462;19,150769;13,834615;3;
2011-05-31;2;30,2;23,474194;15,161935;8,177419;2;
2011-06-30;2;25,3;22,423333;12,458;4,726667;5;
2011-07-31;null;0;24,312903;14,827742;6,93871;5;
2011-08-31;4;9,9;25,977419;16,711613;8,558065;5;
2011-09-30;3;25,8;27,453333;17,697333;8,706667;5;
2011-10-31;11;173,6;25,577419;19,721935;14,532258;3;
2011-11-30;10;54,1;25,307692;18,974615;13,357692;null;
2011-12-31;16;194,8;26,06129;20,669032;16,487097;null;
2012-01-31;20;293,1;24,970968;20,091613;16,206452;null;
2012-02-29;8;107,3;27,510345;21,40069;16,289655;null;
2012-03-31;15;132,9;26,545161;20,412903;15,690323;null;
2012-04-30;13;71,1;25,55;19,302;14,52;null;
2012-05-31;9;77,2;22,241935;15,292903;9,148387;null;
2012-06-30;9;65,8;22,033333;15,468;10,26;null;
2012-07-31;4;34,5;22,941935;13,844516;6,567742;null;
2012-08-31;0;0;23,46129;15,054194;7,051613;null;
2012-09-30;4;32;27,046667;17,899333;9,603333;null;
2012-10-31;8;50,1;28,480645;20,914194;14,106452;null;
2012-11-30;13;168,7;26,43;20,6;15,87;null;
2012-12-31;22;210,9;27,690323;22,107097;18,13871;null;
2013-01-31;19;379,9;25,922581;20,845161;17,13871;null;
2013-02-28;null;225,2;27,3;21,417857;17,117857;null;
2013-03-31;null;318,7;25,867742;20,625806;16,974194;null;
2013-04-30;null;103,4;24,313333;17,988667;12,676667;null;
2013-05-31;null;93,2;23,551613;16,268387;9,993548;null;
2013-06-30;null;33,9;22,356667;15,508667;10,3;null;
2013-07-31;null;40,6;22,851613;14,264516;6,880645;null;
2013-08-31;null;6,6;24,412903;15,030968;6,648387;null;
2013-09-30;null;76,5;25,453333;17,600667;10,41;null;
2013-10-31;null;124,5;25,012903;18,889677;13,935484;null;
2013-11-30;null;231;25,44;20,009333;15,373333;null;
2013-12-31;null;173,2;26,990323;21,360645;17,222581;null;
2014-01-31;null;42,5;29,4;22,285806;16,248387;null;
2014-02-28;null;69,9;29,242857;22,264286;15,578571;null;
2014-03-31;null;124,7;27,112903;21,14129;16,545161;null;
2014-04-30;null;104,9;25,88;19,127333;13,54;null;
2014-05-31;null;34,2;23,8;15,79871;8,835484;null;
2014-06-30;null;6,3;23,65;14,985333;7,59;null;
2014-07-31;null;33,6;22,170968;14,268387;7,203226;null;
2014-08-31;null;3,6;26,058065;15,87871;6,706452;null;
