Nome: MACHADO
Codigo Estacao: 83683
Latitude: -21.681466
Longitude: -45.940819
Altitude: 892.44
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;19;230;27,912903;21,877419;17,893333;2,1;
2008-02-29;19;138,1;29,127586;22,497241;18,068966;2,1;
2008-03-31;13;238,3;28,519355;21,778065;16,703226;2,6;
2008-04-30;15;142,3;27,316667;20,679333;15,943333;2,1;
2008-05-31;4;38,3;24,996667;17,197037;11,433333;1;
2008-06-30;3;26,7;23,996296;16,514615;10,330769;1;
2008-07-31;null;0;null;null;null;null;
2008-08-31;7;31;27,335484;18,647742;11,087097;1,5;
2008-09-30;6;91,3;27,5;19,275333;12,083333;2,1;
2008-10-31;13;107,8;28,564516;21,741935;16,616129;2,6;
2008-11-30;19;167,2;28,07;21,387333;16,99;3,6;
2008-12-31;19;206,7;28,119355;21,823871;17,590323;1,5;
2009-01-31;19;210;28,2;22,17871;18,116129;2,6;
2009-02-28;19;402,9;29,682143;22,711429;18,4;2,6;
2009-03-31;18;114,3;29,351613;22,749032;18,706452;3,1;
2009-04-30;11;187,3;27,503333;20,014667;14,623333;1,5;
2009-05-31;7;51,8;25,309677;17,841935;12,145161;1,5;
2009-06-30;8;46,2;22,686667;14,950667;9,21;1,5;
2009-07-31;6;25,5;25,160714;17,111429;10,964286;1,5;
2009-08-31;5;68,1;25,296154;17,479231;10,853846;1,5;
2009-09-30;12;120,5;27,969231;20,547692;14,5;1,5;
2009-10-31;16;128,2;28,639286;21,382963;15,725926;1,5;
2009-11-30;10;50,6;30,53;23,867586;18,851724;2,1;
2009-12-31;26;352,6;28,03871;22,327097;18,432258;2,6;
2010-01-31;18;212,4;29,541935;23,194194;18,980645;2,1;
2010-02-28;14;134,9;30,253571;23,365714;18,296429;2,6;
2010-03-31;14;150,6;29,406452;22,611613;17,777419;1,5;
2010-04-30;9;65,6;27,58;20,32;14,786667;2,6;
2010-05-31;7;33,4;25,493548;17,611613;11,645161;3,1;
2010-06-30;4;17,4;24,423333;15,241333;8,716667;2,1;
2010-07-31;3;19,4;25,870968;16,919355;10,093548;2,6;
2010-08-31;0;0;27,467742;17,429032;8,558065;2,1;
2010-09-30;9;44;28,326667;20,214667;13,04;2,6;
2010-10-31;17;110,7;28,358065;20,765161;14,929032;2,1;
2010-11-30;17;136,3;28,046667;21,784;16,82;2,1;
2010-12-31;19;247,9;30,622581;23,448387;18,922581;2,1;
2011-01-31;20;420,6;29,051613;22,891613;19,154839;2,1;
2011-02-28;10;168,7;30,635714;23,720714;18,592857;2,6;
2011-03-31;19;285,3;27,519355;22,01871;18,670968;1,5;
2011-04-30;13;92,9;27,84;20,723333;15,956667;1,5;
2011-05-31;2;30;25,219355;17,406667;11,523333;1;
2011-06-30;2;29,3;23,29;14,498;7,85;2,6;
2011-07-31;0;0;25,445161;16,625161;9,970968;1,5;
2011-08-31;2;3,8;27,922581;18,959355;11,354839;1,5;
2011-09-30;3;2,8;29,316667;20,149333;11,976667;1,5;
2011-10-31;13;203,8;28,064516;21,273548;16,1;2,1;
2011-11-30;10;116,6;27,396667;20,926667;15,933333;1,5;
2011-12-31;19;264,3;28,754839;22,123871;18,048387;2,6;
2012-01-31;21;313,2;27,674194;21,574194;17,635484;10;
2012-02-29;9;90,1;30,141379;23,122759;17,65;1,5;
2012-03-31;11;113;29,367742;22,181935;17,367742;1,5;
2012-04-30;12;45,4;27,796667;21,074;16,593333;1;
2012-05-31;6;62;24,432258;17,030968;11,296774;1;
2012-06-30;8;99,9;24,023333;17,295333;12,173333;1;
2012-07-31;3;15,9;25,087097;15,976129;9,219355;1,5;
2012-08-31;1;2,4;25,741935;17,523226;9,948387;1,5;
2012-09-30;6;70,6;29,06;20,106;12,453333;2,6;
2012-10-31;12;108,9;30,490323;22,814839;16,103226;5,8;
2012-11-30;16;134;28,506667;22,122667;17,463333;2,1;
2012-12-31;20;335,3;30,635484;23,843871;19,177419;2,6;
2013-01-31;23;500;28,777419;22,305161;18,341935;1,5;
2013-02-28;17;214,3;29,882143;23,075714;18,403571;1;
2013-03-31;4;195,8;28,155172;22,062759;18,158621;1,5;
2013-04-30;null;58,2;26,34;19,660667;14,81;1;
2013-05-31;null;57,6;25,274194;17,874194;12,187097;1,5;
2013-06-30;null;23,4;24,456667;17,290667;12,333333;1;
2013-07-31;null;52,6;24,764516;16,28;9,88;1,5;
2013-08-31;null;5,2;26,545161;17,187097;9,419355;2,6;
2013-09-30;null;65;28,426667;19,752;12,676667;3,1;
2013-10-31;null;70,2;28,106452;20,52129;14,425806;1,5;
2013-11-30;null;287,6;28,34;21,805333;16,61;2,1;
2013-12-31;null;157;29,754839;23,206452;18,558065;3,6;
2014-01-31;null;61,1;31,903226;24,462581;18,122581;1,5;
2014-02-28;null;86;31,778571;24,401481;17,85;2,1;
2014-03-31;null;133,3;29,593548;22,85871;17,951613;1,5;
2014-04-30;null;107,1;28,2;20,974667;15,78;3,1;
2014-05-31;null;18,4;25,877419;17,84;11,509677;2,1;
2014-06-30;null;6,5;25,206667;16,97;10,833333;2,6;
2014-07-31;null;37,4;24,119355;16,215484;9,919355;2,1;
2014-08-31;null;5,1;27,912903;18,043226;10,251613;3,1;
2014-09-30;null;42,8;29,455556;21,04;13,911111;3,1;
2014-10-31;null;51,3;30,587097;22,168387;15,154839;2,6;
2014-11-30;null;181,8;29,05;22,364667;17,873333;1,5;
2014-12-31;null;236,9;29,093548;22,822581;18,006452;2,1;
2015-01-31;null;93,8;31,945161;24,445806;18,53871;1,5;
2015-02-28;null;309,6;29,632143;22,668571;17,996429;2,1;
2015-03-31;null;261,8;27,622581;21,583226;17,541935;2,1;
2015-04-30;null;35,7;27,686667;20,933333;16,17;1;
2015-05-31;null;43,4;24,8;18,080645;13,403226;1,5;
2015-06-30;null;16;24,093333;16,875333;11,1;1;
2015-07-31;null;13,9;24,990323;17,46;11,567742;1,5;
2015-08-31;null;16,8;27,632258;18,293548;10,56129;2,1;
2015-09-30;null;123,6;28,45;21,019333;15,01;2,1;
2015-10-31;null;92,9;31,593103;23,446;17,093333;7,7166;
2015-11-30;null;177,9;29,971429;23,167857;18,772414;2,6;
2015-12-31;null;246,3;30,109677;23,180645;19,13871;2,6;
2016-01-31;null;364,4;28,664516;22,83871;19,122581;2,1;
2016-02-29;null;147,7;31,293103;23,865517;19,134483;2,1;
2016-03-31;null;241,6;29,587097;22,862581;18,467742;2,1;
2016-04-30;null;9,8;30,044828;21,888889;16,022222;1;
2016-05-31;null;52,4;24,866667;null;11,96;2,1;
2016-06-30;null;74,3;24,043333;15,988;10,083333;3,1;
2016-07-31;null;0;26,377419;16,756774;9,190323;3,1;
2016-08-31;null;30,2;27,506452;18,190323;10,670968;2,1;
2016-09-30;null;20;30,436667;21,506;14,356667;2,1;
