Nome: JUIZ DE FORA
Codigo Estacao: 83692
Latitude: -21.76999999
Longitude: -43.36444444
Altitude: 936.9
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;20;301,5;26,141935;20,565161;17,216129;5;
2008-02-29;18;323,7;27,192308;20,97;17,510345;5;
2008-03-31;19;327,4;27,216129;20,862581;17,143333;7;
2008-04-30;15;127,6;25,76;20,233333;16,82;7;
2008-05-31;3;4;23,545161;17,483871;13,722581;7;
2008-06-30;6;33,4;21,886667;16,513333;13,323333;5;
2008-07-31;0;0;23,2;16,442667;12,170968;7;
2008-08-31;4;4,8;25,016129;18,190968;14,022581;7;
2008-09-30;9;64,7;23,9;17,57;13,42;7;
2008-10-31;15;200,9;25,706452;19,796774;16,048387;5;
2008-11-30;24;266;24,323333;19,003333;15,873333;5;
2008-12-31;23;480,6;25,183871;19,720645;16,509677;7;
2009-01-31;21;187,1;26,958065;21,240645;17,856667;7;
2009-02-28;15;260,7;28,953571;22,360714;18,367857;6;
2009-03-31;14;238,8;27,96129;21,964516;18,441935;5;
2009-04-30;6;73,3;25,58;19,308667;15,934483;7;
2009-05-31;4;15,8;23,777419;18,050968;14,383871;5;
2009-06-30;6;26;21,983333;15,832667;12,006667;5;
2009-07-31;6;36;22,832258;16,972258;13,4;5;
2009-08-31;2;6;23,045161;17,32;13,43871;7;
2009-09-30;7;54,3;26,606667;20,17;15,896667;6;
2009-10-31;19;296,8;25,470968;19,854194;16,296667;7;
2009-11-30;15;280,8;28,773333;22,71;18,586667;5;
2009-12-31;23;479,3;26,722581;21,014483;17,503571;8;
2010-01-31;14;272,8;29,374194;23,054286;17,925926;5;
2010-02-28;7;76,7;29,221429;23,293571;19,146429;5;
2010-03-31;18;366,9;27,2;21,262857;18,351613;7;
2010-04-30;11;104,1;24,693103;19,584;16,227586;7;
2010-05-31;5;46,4;23,15;17,762581;14,633333;6;
2010-06-30;0;0;21,163333;15,646667;12,048276;7;
2010-07-31;6;19,6;22,274194;17,118065;13,874194;5;
2010-08-31;2;,4;23,5;17,10129;12,564516;6;
2010-09-30;5;37,5;24,863333;18,65;14,366667;7;
2010-10-31;10;114,2;24,758065;18,454194;14,429032;8;
2010-11-30;19;275,1;24,663333;19,618;16,39;10;
2010-12-31;22;472,7;27,832258;21,883226;18,463333;5;
2011-01-31;14;316,1;28,006667;22,509333;18,874194;5;
2011-02-28;4;52,6;30,107143;23,596923;19,172;6;
2011-03-31;20;327,2;25,658065;20,770323;17,954839;7;
2011-04-30;9;151,5;25,646667;20,225333;16,966667;6;
2011-05-31;5;13,5;21,665517;16,718;13,853571;7;
2011-06-30;3;16,6;21,055172;15,743333;12,260714;8;
2011-07-31;2;3,2;22,9;16,549333;12,662069;5;
2011-08-31;4;9,2;25,441935;18,380667;13,925806;7;
2011-09-30;4;2,7;25,1;17,750667;12,803333;10;
2011-10-31;14;122,6;24,776667;19,537333;15,778571;7;
2011-11-30;14;316,7;23,92069;18,26069;14,696154;5;
2011-12-31;22;345,4;25,025806;20,205161;17,045161;7;
2012-01-31;15;397,3;25,725806;20,490323;17,293548;5;
2012-02-29;9;108;28,268966;22,397857;18,1;5;
2012-03-31;11;92,6;27,448387;21,381935;17,656667;5;
2012-04-30;9;71;25,706897;20,252;16,92963;7;
2012-05-31;8;107,5;20,641176;16,327059;13,427778;6;
2012-06-30;6;53,8;null;null;15,041667;5,1444;
2012-07-31;2;4,2;23,073684;17,331111;13,566667;5;
2012-08-31;5;5;22,354839;16,676129;13,209677;5;
2012-09-30;6;72,9;25,596667;18,770667;13,972414;8;
2012-10-31;8;49,4;27,932258;21,084516;16,064516;8;
2012-11-30;21;273,6;24,562069;19,372;16,258621;6;
2012-12-31;15;209,2;29,954839;23,403871;19,073333;5;
2013-01-31;22;291,3;26,296774;21,028387;17,966667;5;
2013-02-28;8;102,4;28,85;23,032143;19,085714;4;
2013-03-31;2;398,5;26,46129;20,781935;17,66129;6;
2013-04-30;null;56,1;23,506667;18,604;15,626667;5;
2013-05-31;null;56,5;22,867742;17,549677;14,206452;7;
2013-06-30;null;27,7;22,556667;17,631429;14,992593;5;
2013-07-31;null;59,9;21,593548;16,088387;12,919355;5;
2013-08-31;null;11,5;23,858065;17,460645;13,232258;5;
2013-09-30;null;94,4;24,206667;18,308667;14,356667;5;
2013-10-31;null;57,9;24,187097;18,774194;15,406452;8;
2013-11-30;null;168,1;25,056667;19,802667;16,113333;5;
