Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20388888
Longitude: -41.90555555
Altitude: 123.59
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;16;185,3;30,845161;25,372903;21,4;4;
2008-02-29;15;230,2;32,048276;26,129655;22,241379;4;
2008-03-31;13;75,3;31,809677;26,007097;22,245161;5;
2008-04-30;14;165,3;30,683333;25,138667;21,43;5;
2008-05-31;4;13,4;28,190323;21,909032;17,425806;5;
2008-06-30;7;3,2;27,083333;21,047333;16,833333;4;
2008-07-31;4;16,1;27,974194;20,158065;14,319355;5;
2008-08-31;4;11,5;30,258065;22,618065;17,354839;5;
2008-09-30;8;56,5;29,093103;22,762857;18,127586;5;
2008-10-31;7;50,2;30,474194;24,604516;20,509677;6;
2008-11-30;21;285,8;29,006667;25,012;21,635;6;
2008-12-31;21;406,4;29,241935;24,449677;21,329032;4,11552;
2009-01-31;19;377,2;31,445161;25,998065;22,416129;4;
2009-02-28;10;176,4;32,957143;26,820714;22,610714;6;
2009-03-31;14;203,5;32,56129;26,653793;22,803226;4;
2009-04-30;14;82,9;29,22;24,024667;20,37;4;
2009-05-31;3;4,2;28,558065;22,402;18,093548;3;
2009-06-30;7;78,2;26,533333;20,280667;15,77;3;
2009-07-31;2;,7;27,758065;21,643871;16,996774;5;
2009-08-31;3;19,9;28,167742;21,767742;17,051613;5;
2009-09-30;8;131,5;31,21;24,541333;19,816667;5;
2009-10-31;15;105,2;30,116129;24,609032;21,045161;6;
2009-11-30;11;73,3;33,92;27,482667;22,766667;4;
2009-12-31;20;228,1;32,167742;26,322667;22,348387;3;
2010-01-31;5;99,3;35,254839;28,36129;23,229032;4;
2010-02-28;4;59,9;36,371429;28,670714;23,432143;4;
2010-03-31;14;129,3;33,029032;26,900645;22,867742;7;
2010-04-30;8;55,2;30,48;24,458667;20,253333;4;
2010-05-31;7;21,6;29,170968;22,549677;17,887097;4;
2010-06-30;0;0;27,48;19,892;13,993333;3;
2010-07-31;6;23,3;28,125806;21,58129;16,658065;4;
2010-08-31;3;11,7;28,945161;20,942581;14,683871;4;
2010-09-30;3;14,6;31,093333;23,465333;17,726667;4;
2010-10-31;12;156,3;29,590323;23,705161;19,941935;4;
2010-11-30;18;362,3;29,163333;24,057333;20,776667;4;
2010-12-31;17;383,7;32,487097;26,744516;22,9;4;
2011-01-31;10;70,3;33,335484;27,323226;23,022581;4;
2011-02-28;6;56,4;35,217857;27,721429;22,753571;3;
