Nome: PONTA PORA
Codigo Estacao: 83702
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;14;306,1;29,709677;24,18129;19,987097;6;
2008-02-29;13;538,2;30,265517;24,035172;19,37931;6;
2008-03-31;5;44,2;30,506452;23,993548;19,012903;7;
2008-04-30;8;130,7;28,136667;21,738667;16,363333;6;
2008-05-31;11;99,1;24,16129;17,491613;13,116129;5,1444;
2008-06-30;5;40,4;22,79;15,868667;10,956667;7;
2008-07-31;5;33,1;27,625806;19,637333;13,83;6;
2008-08-31;11;168,5;27,741935;20,096129;14,483871;8;
2008-09-30;6;81,6;26,95;18,948667;12,333333;7;
2008-10-31;9;99,6;30,16129;23,214815;17,877419;8;
2008-11-30;12;283,1;30,596667;null;null;6;
2008-12-31;8;94,8;32,017857;null;null;4;
2009-01-31;12;211,6;29,756667;null;null;6;
2009-02-28;16;154;30,807143;24,42;19,6;4;
2009-03-31;13;91,2;30,806452;24,592903;19,73871;6;
2009-04-30;0;0;31,021429;23,755;17,932143;5;
2009-05-31;12;166,8;26,483871;19,81871;14,919355;6;
2009-06-30;11;134;22,21;15,644;10,986667;5;
2009-07-31;14;131,6;22,23871;16,170968;11,877419;9;
2009-08-31;9;132,6;25,629032;18,444516;13,312903;6;
2009-09-30;12;63,1;25,966667;19,210667;14,323333;7;
2009-10-31;12;316,7;29,451613;22,564516;17,351613;8;
2009-11-30;12;122,4;31,926667;25,756;21,213333;7;
2009-12-31;22;300,8;30,406452;24,468;19,948387;9;
2010-01-31;19;257,8;30,074194;24,474194;20,403226;6;
2010-02-28;13;223;30,939286;25,14963;21,035714;5;
2010-03-31;9;164,4;31,180645;24,815484;19,690323;7;
2010-04-30;8;79,3;28,443333;21,729333;16,886667;6;
2010-05-31;8;316,6;22,967742;16,564516;12,358065;8;
2010-06-30;5;9,9;25,626667;18,348;13,586667;7;
2010-07-31;9;71,3;23,916667;15,893548;10,574194;7;
2010-08-31;3;3,1;27,296774;18,506667;12,029032;8;
2010-09-30;9;299,5;27,7;20,61;15,313333;9;
2010-10-31;10;108,8;27,736667;20,935333;15,49;8;
2010-11-30;10;179,8;29,31;22,404;16,563333;7;
2010-12-31;13;91,8;31,035484;24,764516;19,887097;6;
2011-01-31;18;204,4;31,245161;24,821935;20,2;7;
2011-02-28;20;146,5;30,007143;24,112857;20,592857;8;
2011-03-31;15;67,5;28,583871;23,406452;19,745161;6;
2011-04-30;13;214;28,566667;22,11;17,576667;7;
2011-05-31;6;26,2;25,209677;18,380645;13,33871;5;
2011-06-30;5;79,4;23,74;16,337333;11,013333;5;
2011-07-31;10;79,2;25,009677;18,037419;12,716129;8;
2011-08-31;7;54,5;26,367742;18,773548;12,964516;8;
2011-09-30;7;50,1;29,72069;21,204138;14,351724;5;
2011-10-31;12;186,4;29,941935;22,91871;17,535484;7;
2011-11-30;7;163,7;30,06;23,158;17,586667;7;
2011-12-31;10;97,9;31,741935;24,982;19,290323;7;
2012-01-31;11;230,6;31,380645;25,112903;20,245161;5;
2012-02-29;15;157,5;31,365517;24,83931;20,237931;5;
2012-03-31;8;109,2;30,845161;23,703871;18,067742;8;
2012-04-30;15;286,1;27,493333;21,594667;17,073333;5;
2012-05-31;6;49,4;25,241935;19,068387;14,629032;6;
2012-06-30;12;346,1;22,81;16,99;13,013333;5;
2012-07-31;9;9,4;23,896774;16,856774;11,848387;7;
2012-08-31;4;26;28,154839;20,311613;14,448387;7;
2012-09-30;6;79,1;30,9;22,704667;16,05;9;
2012-10-31;10;210,6;31,003226;24,1;18,632258;6;
2012-11-30;11;171,2;30,95;24,572414;19,996667;5;
2012-12-31;10;213,8;31,870968;25,689032;21,264516;6;
2013-01-31;8;137,8;31,629032;25,012258;19,596774;6;
2013-02-28;10;122,9;31,428571;24,657857;20,346429;7;
2013-03-31;9;157,5;30,119355;23,91871;19,43871;6;
2013-04-30;12;232,2;26,983333;20,726667;16,423333;6;
2013-05-31;14;138,8;25,464516;19,371613;15,141935;5;
2013-06-30;15;247;23,13;17,942667;14,01;5;
2013-07-31;5;10,6;26,105556;19,402353;11,958065;7;
2013-08-31;4;3,7;null;null;10,535484;7;
2013-09-30;6;39,4;null;null;14,723333;7;
2013-10-31;12;312,9;null;null;17,3;8;
2013-11-30;9;207;null;null;18,823333;8;
2013-12-31;8;60,8;null;null;21,01;8;
2014-01-31;4;173,1;null;null;20,209677;6;
2014-02-28;null;198,5;null;null;null;7;
2014-03-31;null;207,6;null;null;null;6;
2014-04-30;null;77,8;null;null;null;7;
2014-05-31;null;152,7;null;null;null;7;
2014-06-30;null;80,2;null;null;null;7;
2014-07-31;null;149,1;null;null;null;9;
2014-08-31;null;19,4;null;null;null;6;
2014-09-30;null;234,3;null;null;null;6;
2014-10-31;null;101,3;null;null;null;6;
2014-11-30;null;249,6;null;null;null;4;
2014-12-31;null;112;null;null;null;7;
2015-01-31;null;252,5;null;null;null;8;
2015-02-28;null;131,2;null;null;null;4;
2015-03-31;null;82,1;null;null;null;6;
2015-04-30;null;145,6;null;null;null;4;
2015-05-31;null;167,5;null;null;null;4;
2015-06-30;null;52,6;null;null;null;6;
2015-07-31;null;167,8;null;null;null;8;
2015-08-31;null;16,1;null;null;null;5;
2015-09-30;null;204,6;null;null;null;5;
2015-10-31;null;136,5;null;null;null;5;
2015-11-30;null;279,3;null;null;null;6;
2015-12-31;null;386,9;null;null;null;5;
2016-01-31;null;204;null;null;null;5,1444;

