Nome: CORDEIRO
Codigo Estacao: 83718
Latitude: -22.02222221
Longitude: -42.36444444
Altitude: 516.72
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;21;322,6;27,919355;22,526452;18,558065;0;
2008-02-29;14;223,6;29,275862;23,313103;19,241379;0;
2008-03-31;20;247,1;28,925806;22,709032;18,503226;0;
2008-04-30;17;79,2;27,85;21,883333;18,273333;0;
2008-05-31;4;32,6;25,345161;18,396129;13,667742;0;
2008-06-30;6;30,2;23,94;17,783333;14,263333;0;
2008-07-31;1;16,2;25,096774;16,247742;10,948387;0;
2008-08-31;3;5,5;26,725806;19,214194;14,009677;0;
2008-09-30;6;64,7;26,263333;19,274667;14,103333;0;
2008-10-31;13;64,2;27,490323;21,95871;18,193548;0;
2008-11-30;24;183,5;26,486667;21,348;18,08;0;
2008-12-31;22;458;26,409677;21,881935;18,677419;0;
2009-01-31;19;337,8;28,558065;23,392258;19,758065;0;
2009-02-28;9;77,9;30,546429;24,402143;19,842857;0;
2009-03-31;15;170,3;29,625806;23,567742;19,664516;0;
2009-04-30;16;77,2;27,27;21,158;17,113333;0;
2009-05-31;6;11,9;25,516129;19,304516;15,187097;0;
2009-06-30;8;32,3;23,88;17,176667;12,936667;0;
2009-07-31;7;29,7;24,445161;18,376774;14,541935;0;
2009-08-31;5;3,2;24,858065;18,294194;13,76129;0;
2009-09-30;8;70,5;28,386667;21,676667;17,09;0;
2009-10-31;15;122,8;27,619355;22,167097;18,570968;0;
2009-11-30;14;310,2;30,846667;24,460667;19,956667;0;
2009-12-31;24;335,9;28,722581;23,470968;19,845161;0;
2010-01-31;8;103,3;31,409677;24,920645;19,935484;0;
2010-02-28;3;35,8;32,317857;25,511429;19,882143;0;
2010-03-31;17;249,8;30,003226;23,86129;19,806452;0;
2010-04-30;12;92,6;27,81;21,46;17,07;0;
2010-05-31;7;40,7;25,190323;18,949677;15,025806;0;
2010-06-30;4;1,9;23,646667;16,226;11,4;0;
2010-07-31;7;35,9;24,735484;18,154839;14,012903;0;
2010-08-31;4;4;25,619355;17,750323;11,96129;0;
2010-09-30;6;28,9;26,953333;19,976;14,83;0;
2010-10-31;12;122,3;26,877419;21,090323;16,903226;0;
2010-11-30;21;272;26,886667;21,775333;18,196667;0;
2010-12-31;17;340,1;29,954839;24,112903;20,409677;0;
2011-01-31;13;265,2;29,851613;24,23871;19,980645;0;
2011-02-28;7;91,2;31,592593;24,737692;19,511111;0;
2011-03-31;22;268,8;27,712903;22,64129;19,383871;0;
2011-04-30;12;136,8;27,66;21,882;18,243333;0;
2011-05-31;7;43,6;24,196774;18,004516;13,877419;0;
2011-06-30;6;13,1;23,213333;16,847333;12,79;0;
2011-07-31;4;1,6;24,151613;16,962581;12,435484;0;
2011-08-31;4;39,3;26,916129;19,309032;14,545161;0;
2011-09-30;4;1,4;26,563333;18,991333;13,516667;0;
2011-10-31;14;159,1;26,751613;21,214194;17,029032;0;
2011-11-30;15;211,3;25,373333;20,258667;16,36;0;
2011-12-31;21;355,8;26,906452;22,345161;19,096774;0;
2012-01-31;14;482,1;27,651613;22,512903;18,870968;0;
2012-02-29;5;44,1;30,151724;23,791724;18,744828;0;
2012-03-31;12;161,5;29,464516;23,12129;18,735484;0;
2012-04-30;11;69,8;27,323333;21,92;18,21;0;
2012-05-31;9;86,8;24,109677;18,336129;14,293548;0;
2012-06-30;6;17,6;25,02;19,100667;15,57;0;
2012-07-31;1;5,1;25,319355;17,783871;13,103226;0;
2012-08-31;13;46,6;24,564516;17,709677;13,093548;0;
2012-09-30;null;null;null;null;null;null;
2012-10-31;4;31,3;30,26129;22,706452;16,693548;0;
2012-11-30;20;208,1;26,64;21,653333;18,246667;0;
2012-12-31;13;95,8;31,832258;25,02129;20,267742;0;
2013-01-31;15;188,2;29,025806;23,861935;19,770968;0;
2013-02-28;8;90,6;30,960714;24,395714;19,653571;0;
2013-03-31;18;202,1;28,680645;23,073548;19,706452;0;
2013-04-30;7;22,9;26,143333;20,453333;16,736667;0;
2013-05-31;6;30,6;25,190323;18,805806;14,780645;0;
2013-06-30;6;37,9;24,933333;19,090667;15,716667;0;
2013-07-31;6;24,4;23,96129;17,565806;13,564516;0;
2013-08-31;5;32,8;26,274194;18,537419;13,377419;0;
2013-09-30;6;46,4;26,61;20,05;15,12;0;
2013-10-31;null;0;null;null;null;null;
2013-11-30;14;167,8;27,516667;21,881333;17,823333;0;
2013-12-31;23;372,7;28,987097;23,41871;20,029032;0;
2014-01-31;1;50,9;32,080645;24,976129;19,187097;0;
2014-02-28;null;9,3;32,060714;24,675;18,607143;0;
2014-03-31;null;77,1;29,696774;23,387097;18,941935;0;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;16,5;26,167742;18,96129;14,470968;0;
2014-06-30;null;38,7;25,476667;18,458667;14,38;0;
2014-07-31;null;27;23,848387;17,495484;13,609677;0;
2014-08-31;null;39,1;26,012903;18,150323;13,235484;0;
2014-09-30;null;1,1;28,763333;20,828;14,71;0;
2014-10-31;null;53;29,683871;22,067742;15,964516;0;
2014-11-30;null;185,8;28,74;22,592667;17,75;0;
2014-12-31;null;94,1;30,651613;24,232903;19,332258;0;
2015-01-31;null;94,6;33,906452;25,885806;19,606452;0;
2015-02-28;null;59,2;31,157143;24,637857;19,603571;0;
2015-03-31;null;176,8;30,035484;23,871613;19,43871;0;
2015-04-30;null;63,2;27,326667;21,182;17,036667;0;
2015-05-31;null;38,5;24,6;18,833548;15,090323;0;
2015-06-30;null;21,6;24,846667;18,205333;14,246667;0;
2015-07-31;null;26,5;25,119355;18,632903;14,587097;0;
2015-08-31;null;0;null;null;null;null;
2015-09-30;null;50;28,413333;21,868;16,966667;0;
2015-10-31;null;45,4;30,419355;23,274194;18,041935;0;
2015-11-30;null;243,4;29,88;24,104667;20,516667;0;
2015-12-31;null;186,9;30,532258;24,537419;20,174194;0;
2016-01-31;null;295,7;29,577419;24,002581;19,93871;0;
2016-02-29;null;131,7;32,041379;25,192414;19,989655;0;
2016-03-31;null;101,5;29,870968;23,871613;19,990323;0;
2016-04-30;null;49,9;30,13;22,792;17,783333;0;
2016-05-31;null;36,9;25,845161;19,464516;15,219355;0;
2016-06-30;null;54,2;23,083333;17,198;13,62;0;
2016-07-31;null;1,4;24,877419;17,857419;13,53871;0;
2016-08-31;null;19;26,854839;18,727097;13,380645;0;
2016-09-30;null;63,5;27,586667;20,586;15,763333;0;
2016-10-31;null;0;null;null;null;null;
2016-11-30;null;338,9;27,936667;21,916667;17,746667;0;
2016-12-31;null;198;29,709677;23,883226;19,519355;0;
2017-01-31;null;147,8;31,422581;25,08;19,932258;0;
2017-02-28;null;null;null;null;null;null;
2017-03-31;null;95,9;29,755172;22,888276;17,982759;0;
2017-04-30;null;38,7;27,223333;21,3;17,19;0;
2017-05-31;null;73,5;24,209677;18,430323;14,541935;0;
2017-06-30;null;4,2;25,08;18,066;13,836667;0;
2017-07-31;null;13;23,229032;16,582581;11,767742;0;
2017-08-31;null;17,5;24,696774;17,590968;12,683871;0;
2017-09-30;null;1,5;28,09;19,972667;13,653333;0;
2017-10-31;null;92,7;30,26129;22,961935;17,23871;0;
2017-11-30;null;267,2;27,39;21,989333;18,033333;0;
2017-12-31;null;96,7;28,877419;23,651613;19,470968;0;
2018-01-31;null;0;null;null;null;null;
2018-02-28;null;212,8;29,103571;23,658571;19,642857;0;
2018-03-31;null;197,6;29,580645;23,636129;19,929032;0;
2018-04-30;null;145,2;26,946667;20,974;17,036667;0;
2018-05-31;null;18,7;25,177419;18,776774;14,480645;0;
2018-06-30;null;8;24,903333;18,483333;14,526667;0;
2018-07-31;null;18,1;25,583871;17,633548;12,751613;0;
2018-08-31;null;70,9;23,903226;18,09871;14,306452;0;
2018-09-30;null;83,8;26,47;20,2;15,743333;0;
2018-10-31;null;91,1;26,619355;21,625161;18,003226;0;
2018-11-30;null;175,4;27,446667;22,138667;18,646667;0;
2018-12-31;null;169,1;29,687097;23,563226;18,845161;0;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;135,5;30,860714;24,54;20,096429;0;
2019-03-31;null;123;30,132258;23,828387;19,583871;0;
2019-04-30;null;41,1;29,16;22,729333;18,666667;0;
2019-05-31;null;105,5;26,851613;20,67871;16,729032;0;
2019-06-30;null;26,2;25,496667;18,660667;14,24;0;
2019-07-31;null;10,5;24,812903;16,864516;11,329032;0;
2019-08-31;null;12,7;24,86129;18,109032;13,36129;0;
2019-09-30;null;36;28,023333;21,555333;16,58;0;
2019-10-31;null;28,1;29,432258;22,852903;17,393548;0;
2019-11-30;null;125,5;27,86;22,726667;19,17;0;
2019-12-31;null;275,4;28,890323;23,215484;19,041935;0;

