Nome: SAO LOURENCO
Codigo Estacao: 83736
Latitude: -22.126273
Longitude: -45.043327
Altitude: 930.65
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;14;191,3;25,875;20,0225;16,4375;5,3;
2008-02-29;20;348,9;28,6;21,477241;16,565517;3;
2008-03-31;14;255,2;27,645161;20,639355;15,493548;10,3;
2008-04-30;16;187,8;26,853333;19,505333;14,673333;5,8;
2008-05-31;5;39,1;24,212903;15,965161;10,187097;4,8;
2008-06-30;5;21,5;23,253333;15,106667;9,526667;2,3;
2008-07-31;0;0;24,780645;13,603226;5,409677;4;
2008-08-31;8;66,1;26,335484;17,188387;10,193548;4,6;
2008-09-30;5;69,6;26,473333;17,594667;10,333333;5;
2008-10-31;11;103;28,2;20,845161;15,212903;4,6;
2008-11-30;20;200,9;27,076667;20,396;15,313333;4,5;
2008-12-31;21;229,9;27,419355;20,867742;16,219355;5;
2009-01-31;8;92,4;null;null;null;null;
2009-02-28;19;270;29,142857;22,03;17,135714;5;
2009-03-31;18;72,6;28,845161;21,863226;17,387097;5;
2009-04-30;11;124,7;26,76;18,936;13,44;4,8;
2009-05-31;7;97,5;24,735484;16,556129;10,780645;6,6;
2009-06-30;8;49;22,26;13,691333;7,303333;6,1;
2009-07-31;6;42,7;23,916129;15,821935;10,154839;4,1;
2009-08-31;5;76;25,070968;16,307097;9,458065;4,1;
2009-09-30;12;137,4;27,34;19,545333;13,766667;5;
2009-10-31;16;183,3;28,167742;20,753548;15,354839;4,3;
2009-11-30;19;179,1;29,92;22,744667;17,84;5,3;
2009-12-31;24;397,6;27,680645;21,689677;17,980645;5,1;
2010-01-31;19;254,8;29,651613;22,548387;18,006452;3,3;
2010-02-28;11;85,1;29,992857;22,548571;17,314286;5,6;
2010-03-31;16;240,5;28,735484;21,461935;16,470968;4,1;
2010-04-30;7;103,4;27,166667;19,228;13,566667;4,6;
2010-05-31;7;69,4;25;16,420645;10,419355;4,5;
