Nome: LONDRINA
Codigo Estacao: 83766
Latitude: -23.32555554
Longitude: -51.14166666
Altitude: 566.46
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;14;184,3;28,76129;23,536774;19,83871;3;
2008-02-29;12;164,8;30,165517;24,231034;19,941379;3;
2008-03-31;13;216,6;30,419355;23,630968;18,748387;3;
2008-04-30;15;124,1;28,426667;21,788667;17,143333;3;
2008-05-31;4;85,9;25,125806;18,271613;13,180645;3;
2008-06-30;8;43,8;23,373333;16,993333;11,953333;3;
2008-07-31;2;21,6;26,116129;18,073548;11,716129;1;
2008-08-31;12;187;26,909677;19,620645;14,019355;3;
2008-09-30;7;86,7;27,783333;19,865333;13,156667;3;
2008-10-31;10;95,4;30,070968;23,21871;18,158065;5;
2008-11-30;11;196,9;30,496667;23,360667;17,546667;3;
2008-12-31;10;39,1;32,348387;25,056774;18,935484;3;
2009-01-31;19;359,8;29,146667;23,562581;19,46129;3;
2009-02-28;20;270,8;30,892857;24,828571;20,55;3;
2009-03-31;9;96,2;31,766667;24,95871;20,033333;3;
2009-04-30;3;33,3;30,783333;23,038;17,1;3;
2009-05-31;10;82;26,593548;19,487742;14,451613;3;
2009-06-30;9;82,6;22,456667;15,492667;10,146667;3;
2009-07-31;18;249,7;22,887097;17,045806;12,619355;3;
2009-08-31;7;90,6;25,616129;18,594194;12,993548;3;
2009-09-30;13;237,9;27,81;21,61;17,02;3;
2009-10-31;14;364,1;29,029032;22,206452;16,732258;3;
2009-11-30;14;203,8;31,743333;25,378;21,02;3;
2009-12-31;12;240,9;30,174194;24,579355;20,4;3;
2010-01-31;26;366,4;29,635484;24,229032;20,922581;3;
2010-02-28;12;170,3;31,057143;25,242143;21,217857;3;
2010-03-31;9;240,7;31,190323;24,312903;19,380645;6;
2010-04-30;7;165,5;28,74;21,804;16,826667;3;
2010-05-31;8;75,4;24,467742;17,945161;13,36129;3;
2010-06-30;4;19,2;24,733333;17,149333;11,553333;5;
2010-07-31;4;29,5;25,9;18,377419;13,064516;3;
2010-08-31;3;30,6;27,625806;18,550968;11,877419;3;
2010-09-30;8;116,6;29,153333;21,433333;15,324138;3;
2010-10-31;12;161;28,506452;21,398065;15,645161;3;
2010-11-30;12;98,2;30,41;23,267333;17,433333;3;
2010-12-31;20;340,2;29,4;23,695484;19,8;3;
2011-01-31;22;262,5;31,225806;24,851613;20,787097;3;
2011-02-28;15;218,6;31,203571;24,789286;20,835714;3;
2011-03-31;14;107,7;28,919355;23,297419;19,225806;5;
2011-04-30;7;110;28,553333;21,946667;17,34;3;
2011-05-31;2;7,6;25,664516;18,36129;12,877419;3;
2011-06-30;6;79,2;23,366667;15,764;10;3;
2011-07-31;7;92,2;25,209677;17,885806;12,574194;3;
2011-08-31;8;46,9;26,887097;19,05871;13,348387;3;
2011-09-30;4;6,4;29,95;21,346;14,3;3;
2011-10-31;11;359,3;29,219355;22,449032;17,225806;3;
2011-11-30;7;132;30,023333;22,935333;16,9;3;
2011-12-31;9;75,7;31,906667;24,984516;19,22;3;
2012-01-31;20;263,2;29,519355;23,502581;19,025806;3;
2012-02-29;10;57,2;33,086207;25,946897;20,662069;3;
2012-03-31;8;102,4;31,925806;24,247097;18,587097;3;
2012-04-30;10;168,4;29,05;22,244667;17,38;3;
2012-05-31;4;78,4;24,877419;18,495484;13,606452;3;
2012-06-30;14;428,4;23,01;17,308667;13,28;3;
2012-07-31;5;39,6;24,66129;17,18129;11,477419;3;
2012-08-31;1;1,2;28,922581;20,747097;14,367742;3;
2012-09-30;7;72,4;31,046667;22,312;15,326667;5;
2012-10-31;8;81,5;32,264516;24,732903;18,922581;3;
2012-11-30;14;107,4;30,96;24,297333;19,246667;3;
2012-12-31;15;241,8;32,419355;26,092903;21,612903;3;
2013-01-31;11;203,3;30,241935;24,149032;19,206452;3;
2013-02-28;19;246,6;30,475;24,042143;19,935714;3;
2013-03-31;15;166,1;29,480645;23,265161;19,058065;3;
2013-04-30;8;160,5;27,966667;21,496667;16,41;3;
2013-05-31;12;159,3;25,967742;19,652903;14,825806;3;
2013-06-30;16;257,2;23,22;17,9;14,2;3;
2013-07-31;5;51;24,167742;16,630323;11,222581;3;
2013-08-31;null;0;27,364516;18,441935;11,477419;3;
2013-09-30;9;101,2;28,883333;21,158;14,866667;5,3;
2013-10-31;10;202;29,219355;22,225806;16,696774;3;
2013-11-30;12;94;30,78;23,926667;18,773333;3;
2013-12-31;10;128,6;32,064516;25,501935;20,154839;3;
2014-01-31;5;196,2;32,103226;25,643871;20,509677;6;
2014-02-28;null;179,4;33,135714;26,424286;21,057143;3;
2014-03-31;null;150,7;30,43871;23,781935;19,554839;3;
2014-04-30;null;122,8;28,666667;22,352;18,013333;3;
2014-05-31;null;95,6;25,23871;18,932903;14,522581;3;
2014-06-30;null;66,6;24,26;18,041333;13,873333;3;
2014-07-31;null;108,8;24,467742;17,010968;11,729032;3;
2014-08-31;null;31;28,612903;19,785806;13,677419;3;
2014-09-30;null;180,4;28,76;21,566667;16,08;3;
2014-10-31;null;27,4;32,626667;24,205161;17,741935;3;
2014-11-30;null;112,4;31,273333;24,262667;19,073333;3;
2014-12-31;null;312,6;30,851613;24,783226;20,367742;3;
2015-01-31;null;237,6;32,8;25,863226;21,141935;3;
2015-02-28;null;187,4;30,45;24,065714;20,242857;3;
2015-03-31;null;112,4;30,458065;23,670968;19,541935;3;
2015-04-30;null;70,2;29,546667;22,670667;17,8;3;
2015-05-31;null;142,2;25,212903;19,113548;14,716129;3;
2015-06-30;null;8,4;25,4;18,290667;13,153333;3;
2015-07-31;null;346;23,774194;17,778065;13,541935;3;
2015-08-31;null;35;28,993548;20,423226;14,309677;3;
2015-09-30;null;269;29,753333;22,26;16,886667;3;
2015-10-31;null;263,8;30,922581;23,96129;18,496774;4;
2015-11-30;null;421,4;29,08;23,54;19,913333;3;
2015-12-31;null;340,6;29,709677;24,187097;20,406452;3;
2016-01-31;null;433,2;31,329032;25,104516;20,464516;3;
2016-02-29;null;368,7;30,937931;24,951724;21,344828;3;
2016-03-31;null;101,2;31,380645;24,184516;19,187097;3;
2016-04-30;null;80,8;31,84;24,622667;19,126667;3,08664;
2016-05-31;null;288,3;23,270968;18;14,064516;3;
2016-06-30;null;120,8;22,86;15,993333;11,24;3;
2016-07-31;null;33,6;26,232258;17,956129;11,864516;3;
2016-08-31;null;123;26,948387;19,274839;13,612903;3;
2016-09-30;null;53,6;28,173333;20,190667;13,793333;3;
2016-10-31;null;189,5;29,806452;22,722581;16,909677;3;
2016-11-30;null;91;31,133333;24,106667;18,573333;3;
2016-12-31;null;177,2;30,741935;24,695484;20,309677;3;
2017-01-31;null;200;30,729032;24,696774;20,825806;3;
2017-02-28;null;129;32,678571;26,132857;21,45;3;
2017-03-31;null;117,7;30,909677;24,535484;19,825806;3;
2017-04-30;null;166,9;28,04;21,686667;16,966667;3;
2017-05-31;null;254;25,767742;20,378065;16,432258;3;
2017-06-30;null;97,5;24,18;17,702667;13,066667;3;
2017-07-31;null;0;25,322581;17,396129;11,496774;3;
2017-08-31;null;112,2;27,025806;19,842581;14,232258;3;
2017-09-30;null;14,9;32,573333;24,389333;17,42;3,2;
2017-10-31;null;366,8;29,477419;22,674839;17,516129;3;
2017-11-30;null;242,6;29,786667;23,016;17,966667;3;
2017-12-31;null;273;30,4;24,926452;20,651613;3;
2018-01-31;null;375,7;29,632258;24,04129;20,296774;3;
2018-02-28;null;116,6;30,221429;24,005714;19,2;3;
2018-03-31;null;233,7;31,483871;25,210323;21,264516;3;
2018-04-30;null;20,3;30,36;23,601333;18,346667;3;
2018-05-31;null;34,3;27,490323;20,344516;14,774194;5;
2018-06-30;null;29,2;25,526667;19,156;14,673333;3;
2018-07-31;null;1,8;28,277419;19,981935;13,716129;5;
2018-08-31;null;227,3;25,019355;17,927742;12,509677;3;
2018-09-30;null;135,2;28,413333;21,376;15,793333;3;
2018-10-31;null;268,5;29,116129;22,645161;17,967742;5;
2018-11-30;null;124,2;30,406667;24,018667;18,54;3;
2018-12-31;null;52,9;32,36129;26,020645;21;3;
2019-01-31;null;61,8;33,296296;26,924444;22,718519;1;
2019-02-28;null;187,2;31,807143;25,415714;20,992857;3;
2019-03-31;null;172,7;31,251613;24,63871;20,2;3;
