Nome: AVARE
Codigo Estacao: 83773
Latitude: -23.083579
Longitude: -48.911718
Altitude: 831.96
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2014-01-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;19;207;27,606452;21,620645;17,819355;8;
2008-02-29;19;237,2;28,47931;22,357241;18,465517;5,3;
2008-03-31;12;176;28,429032;21,92;17,841935;8;
2008-04-30;14;234,6;26;20,518182;16,895455;6;
2008-05-31;6;96,4;null;null;null;6,3;
2008-06-30;9;77,9;null;null;null;5,3;
2008-07-31;0;0;null;null;null;5,3;
2008-08-31;9;152,2;26,295833;null;null;7,6;
2008-09-30;9;103;25,26;null;null;7;
2008-10-31;10;145,8;27,225806;21,787826;16,956522;6,6;
2008-11-30;10;87,1;28,32;21,058667;15,92;8;
2008-12-31;10;138,8;29,545161;22,144667;16,406667;7,6;
2009-01-31;20;427,6;26,66;21,364667;17,57;7,9;
2009-02-28;15;145,6;28,728571;23,191852;19,351852;6,6;
2009-03-31;1;4,9;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;8;59,6;21,386207;15,623448;12,682759;8;
2009-07-31;17;206,9;21,645161;16,348387;12,612903;5;
2009-08-31;7;89,4;24,306452;17,952903;13,277419;5;
2009-09-30;13;227,6;25,733333;19,702;15,756667;5;
2009-10-31;9;194,2;26,716129;19,994839;15,393548;7,1;
2009-11-30;18;221,5;30,08;null;null;3,6;
2009-12-31;17;273,8;28,122581;22,474839;18,43871;6,6;
2010-01-31;23;414;28,553333;22,711613;19,441935;4;
2010-02-28;11;200;30,442857;24,347143;20,371429;4,5;
2010-03-31;12;141;29,170968;22,883226;18,96129;5,3;
2010-04-30;9;75;26,353333;20,513333;16,686667;4;
2010-05-31;6;33;23,380645;17,543871;13,93871;5,3;
2010-06-30;3;32,2;23,443333;16,852667;12,68;3,6;
2010-07-31;5;66,8;24,603226;18,170968;13,754839;6,1;
2010-08-31;1;,2;25,974194;18,081935;12,841935;6,6;
2010-09-30;8;57,7;27,456667;20,079333;15,193333;6,3;
2010-10-31;11;145;27,496429;19,287586;14,196667;6;
2010-11-30;5;45;28,378571;21,537143;15,871429;5;
2010-12-31;20;363,6;null;null;17,030769;2,6;
2011-01-31;17;309,6;null;null;17,896;2;
2011-02-28;18;292,8;null;null;17,8625;1,8;
2011-03-31;12;129,5;null;null;15,746154;2,8;
2011-04-30;5;117,8;null;null;14,415385;2,1;
2011-05-31;null;17,8;null;null;9,721739;3;
2011-06-30;2;49;null;null;7,859091;1,8;
2011-07-31;2;18,6;null;null;10,552381;2,3;
2011-08-31;4;54,2;null;null;10,127273;1,8;
2011-09-30;1;3,4;null;null;13,116667;3;
2011-10-31;5;174,6;26,742857;20,461905;15,365;3;
2011-11-30;3;22;null;null;null;null;
2011-12-31;6;142,4;29,521739;23,428696;18,626087;2,1;
2012-01-31;13;246,2;27,618182;21,74;17,641667;2,5722;
2012-02-29;8;150,4;29,333333;23,866667;19,471429;1,54332;
2012-03-31;2;36,6;null;null;17,923529;1,54332;
2012-04-30;3;81,2;null;null;16,63;2,05776;
2012-05-31;1;29,2;null;null;13,890909;2,05776;
2012-06-30;9;195,6;null;null;13,777778;4,62996;
2012-07-31;2;5;23,235294;17,368;12,515789;2,05776;
2012-08-31;1;3,8;null;null;null;null;
2012-09-30;3;67,6;26,8;20,2832;14,496;2,05776;
2012-10-31;9;107,3;29,646154;22,575385;16,318519;2,5722;
2012-11-30;5;36,8;28,716667;21,74;15,6;3,08664;
2012-12-31;12;148,6;31,1;24,184762;18,538462;3,08664;
2013-01-31;10;244,4;28,191667;21,545;16,235714;2,05776;
2013-02-28;15;195;31;22,988182;17,626087;2,05776;
2013-03-31;10;205,8;28,454545;21,54;15,64;2,05776;
2013-04-30;5;116,6;27,83;19,802;12,344;2,05776;
2013-05-31;null;89,4;24,847059;17,567059;11,561905;1,54332;
2013-06-30;null;115,6;24,983333;17,107778;11,12381;1,54332;
2013-07-31;null;34,4;24,533333;16,918667;10,145;1,54332;
2013-08-31;null;8,2;26,173333;18,714667;12,163636;3,60108;
2013-09-30;null;53,6;25,73;19,056842;12,182609;1,54332;
2013-10-31;null;66,6;28,622222;20,582222;14,328;2,5722;
2013-11-30;null;6,6;null;null;null;null;
2013-12-31;null;18,4;null;null;16,231579;2,05776;
2014-01-31;null;46,2;null;null;16,12381;4,732848;

