Nome: CURITIBA
Codigo Estacao: 83842
Latitude: -25.4486111
Longitude: -49.28083332
Altitude: 923.5
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;26;190,2;24,670968;19,719355;16,725806;6,6;
2008-02-29;17;134,6;26,651724;20,78069;17,089655;6,6;
2008-03-31;16;187,6;25,509677;19,990968;16,451613;6,3;
2008-04-30;15;174,2;24,043333;17,941333;14,086667;5;
2008-05-31;8;68,4;21,283871;15,017419;10,564516;6,1;
2008-06-30;15;145,8;19,726667;13,704667;9,683333;6,6;
2008-07-31;5;35,4;23,045161;15,065161;9,851613;6,1;
2008-08-31;14;165,3;21,406452;15,605161;11,758065;6,3;
2008-09-30;14;44,5;20,453333;14,555333;10,63;5,5;
2008-10-31;16;278,3;23;17,592903;14,425806;5,8;
2008-11-30;20;81,6;23,34;18,014667;14,98;6,6;
2008-12-31;12;65,3;26,26129;19,443871;15,025806;6,6;
2009-01-31;21;223,7;25,425806;20,058065;16,56129;8,3;
2009-02-28;14;124,9;27,2;21,541429;18,064286;7,6;
2009-03-31;10;107,4;27,43871;21,23871;17,345161;5,8;
2009-04-30;10;52,6;24,553333;18,41;14,803333;3,3;
2009-05-31;13;81,2;21,941935;16,123871;12,190323;6,3;
2009-06-30;13;71,2;18,793333;12,466;7,956667;6,1;
2009-07-31;19;247,3;17,696774;12,994839;9,741935;5;
2009-08-31;16;89,4;21,796774;15,109032;10,380645;8;
2009-09-30;17;334,3;21,726667;16,446667;13,076667;6,6;
2009-10-31;18;161,4;23,222581;17,122581;13,432258;5;
2009-11-30;10;203,5;28,463333;22,299333;18,34;6;
2009-12-31;22;177,1;26,906452;21,206452;17,712903;6,6;
2010-01-31;26;436,9;26,812903;21,652903;18,687097;6,1;
2010-02-28;17;178,7;28,192857;22,837857;19,414286;6,6;
2010-03-31;23;208,8;25,932258;20,649032;17,312903;8,3;
