Nome: CHAPECO
Codigo Estacao: 83883
Latitude: -27.135665
Longitude: -52.662931
Altitude: 654
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2017-01-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;9;95;29,509677;23,296774;18,4;5;
2008-02-29;10;49,2;29,834483;23,358621;18,248276;4;
2008-03-31;9;93,4;28,267742;22,069677;17,519355;7;
2008-04-30;13;287,1;24,28;18,446;14,353333;5;
2008-05-31;8;70,7;21,506452;15,435484;11,470968;5;
2008-06-30;13;211,4;18,036667;12,659333;8,853333;4;
2008-07-31;6;29;24,109677;17,763871;13,416129;5;
2008-08-31;9;121,6;23,3;17,854737;13,821053;6;
2008-09-30;9;166,5;20,823333;15,069333;10,686667;9;
2008-10-31;15;319;24,293548;19,105806;15,435484;7;
2008-11-30;9;126,7;27,326667;21,283333;16,79;7;
2008-12-31;7;43,7;29,667742;23,055484;17,83871;5;
2009-01-31;14;170,3;27,43871;22,049677;18,029032;5;
2009-02-28;15;159,9;28,742857;23,381429;19,789286;5;
2009-03-31;8;17,3;28,216667;22,758333;18,6125;3;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;197;22,722581;17,03871;13,177419;5;
2009-06-30;null;80,5;17,88;12,44;8,943333;7;
2009-07-31;null;144,8;17,148387;12,454;8,609677;6;
2009-08-31;null;240,4;22,506452;16,706452;12,477419;7;
2009-09-30;null;440;21,236667;16,352;12,856667;6;
2009-10-31;null;171,9;25,470968;19,761935;15,283871;6;
2009-11-30;null;231,7;29,33;23,528667;19,236667;6;
2009-12-31;null;81;28,96129;23,530323;19,193548;4;
2010-01-31;null;163,6;28,519355;23,622581;20,029032;5;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;6;66,4;21,725806;15,722581;11,516129;5;
2010-09-30;11;119,9;23,063333;17,586;13,47;5;
2010-10-31;11;159,1;23,783871;18,101935;13,467742;5;
2010-11-30;9;115,5;27,06;20,758;15,39;4;
2010-12-31;15;392,4;26,964516;22,038065;17,877419;4;
2011-01-31;20;168,3;29,077419;23,490323;19,803226;4;
2011-02-28;21;247,8;27,207143;22,573571;19,789286;3;
2011-03-31;11;227,1;27;21,662581;17,56129;4;
2011-04-30;8;120,5;25,163333;19,537333;15,56;4;
2011-05-31;7;59;20,570968;15,464516;12,129032;4;
2011-06-30;14;292,4;18,323333;13,081333;9,58;5;
2011-07-31;12;211,4;20,106452;14,762581;11,258065;5;
2011-08-31;14;266,9;20,619355;15,415484;11,870968;5;
2011-09-30;9;187,2;23,113333;17,105333;12,283333;4;
2011-10-31;10;315,1;25,590323;19,829032;15,441935;4;
2011-11-30;8;91,1;26,54;20,906667;15,913333;4;
2011-12-31;10;56,7;28,419355;22,407097;17,564516;4;
2012-01-31;13;86,2;29,535484;23,748387;18,858065;4;
2012-02-29;14;98,5;31,155172;24,821379;20,606897;3;
2012-03-31;6;85,1;28,612903;21,898065;16,954839;3;
2012-04-30;13;197,4;24,273333;19,030667;15,526667;3;
2012-05-31;6;47;21,993548;16,514839;12,506452;3;
2012-06-30;7;101,6;19,806667;14,408;10,87;5;
2012-07-31;11;184,8;18,590323;13,74129;10,541935;5;
2012-08-31;4;2,3;24,783871;18,932258;14,954839;6;
2012-09-30;6;68,5;25,463333;18,751333;13,403333;6;
2012-10-31;17;231,1;25,345161;19,949677;15,56129;6;
2012-11-30;12;73,6;28,5;22,64;17,14;4;
2012-12-31;19;289,9;28,816129;23,743871;19,683871;5;
2013-01-31;10;133,6;27,877419;22,378065;17,051613;5;
2013-02-28;16;138,3;27,485714;22,351429;18,796429;4;
2013-03-31;1;307,4;24,445161;19,767097;16,296774;4;
2013-04-30;null;181,7;25,063333;18,824;14,153333;4;
2013-05-31;null;87,9;21,319355;15,974839;12,290323;4;
2013-06-30;null;234,8;18,646667;14,487333;11,45;4;
2013-07-31;null;78,7;19,564516;13,842581;9,609677;4;
2013-08-31;null;218,3;19,783871;13,905161;9,541935;5;
2013-09-30;null;212;22,336667;16,864;12,873333;6;
2013-10-31;null;285,9;24,832258;19,233548;14,525806;4;
2013-11-30;null;152,1;28,07;21,971333;16,833333;5;
2013-12-31;null;129,5;29,232258;23,586452;18,806452;3;
2014-01-31;null;149,6;28,709677;23,971613;20,106452;4;
2014-02-28;null;147,2;30,110714;24,120714;19,707143;6;
2014-03-31;null;266,3;26,309677;21,06;17,116129;4;
2014-04-30;null;241,8;24,716667;19,382667;15,59;5;
2014-05-31;null;272,9;21,183871;15,925806;12,425806;4;
2014-06-30;null;538,8;18,893333;14,835333;11,983333;4;
2014-07-31;null;119,5;19,874194;14,52;10,5;4;
2014-08-31;null;87,3;22,909677;16,665806;11,867742;5;
2014-09-30;null;376,7;24,083333;18,717333;14,74;4;
2014-10-31;null;110,4;28,496774;21,960645;16,509677;6;
2014-11-30;null;163,3;27,656667;22,123333;17,41;4;
2014-12-31;null;208,7;27,867742;22,714839;18,403226;4;
2015-01-31;null;307,5;29,177419;23,248387;19,080645;4;
2015-02-28;null;182,1;28,582143;22,892143;18,728571;4;
