Nome: FLORIANOPOLIS
Codigo Estacao: 83897
Latitude: -27.6025
Longitude: -48.62027777
Altitude: 4.64
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;26;354,9;27,987097;24,447097;21,058065;9,3;
2008-02-29;22;436,8;29,006897;24,776552;20,768966;8,6;
2008-03-31;17;243;28,567742;24,283871;20,670968;8;
2008-04-30;12;207,8;26,21;21,516;17,603333;10,3;
2008-05-31;6;71,9;24,503226;18,887742;13,806452;8,3;
2008-06-30;12;68,6;21;16,149333;12,44;8,3;
2008-07-31;4;8,9;22,909677;18,149677;14,4;7,8;
2008-08-31;15;60,7;22,245161;18,149677;15,077419;9,1;
2008-09-30;16;230,4;21,783333;17,712;14,103333;8,8;
2008-10-31;23;286,5;23,164516;20,130323;17,577419;11;
2008-11-30;28;614,9;24,506667;21,404667;18,72;8,6;
2008-12-31;15;304,5;27,096774;23,34;19,758065;10;
2009-01-31;19;216,7;28,393548;24,152903;20,364516;13,5;
2009-02-28;15;141,8;28,85;25,258571;21,971429;8,6;
2009-03-31;15;219,6;29,393548;25,011613;21,012903;9,1;
2009-04-30;10;314,2;27,016667;22,529333;18,663333;11,6;
2009-05-31;11;81,8;24,583871;19,99871;15,970968;9,5;
2009-06-30;9;33,9;21,266667;16,21;11,69;6,3;
2009-07-31;16;114,9;19,464516;15,488387;12,003226;7,6;
2009-08-31;11;127,8;22,077419;17,462581;13,429032;9,6;
2009-09-30;16;219,1;21,903333;18,830667;15,9;10,6;
2009-10-31;15;100,7;23,841935;19,843226;15,983871;11,6;
2009-11-30;16;121,3;28,44;24,624667;21,12;9,6;
2009-12-31;19;112,5;28,725806;25,041935;21,670968;10,6;
2010-01-31;22;223;29,570968;25,624516;22,293548;9,6;
2010-02-28;14;174,1;30,692857;26,409286;22,871429;8;
2010-03-31;19;267,2;28,667742;24,530968;20,793548;10,8;
2010-04-30;13;123,5;25,753333;21,780667;18,316667;9,5;
2010-05-31;17;443;23,232258;19,531613;16,206452;8;
2010-06-30;11;85,4;21,776667;17,188;13,47;6,6;
2010-07-31;11;96,2;21,141935;17,125806;13,922581;7,1;
2010-08-31;6;67;20,374194;16,338065;12,748387;9;
2010-09-30;17;156,4;22,01;18,858;15,933333;6,5;
2010-10-31;11;134;23,503226;19,576129;15,922581;10;
2010-11-30;13;156,3;25,876667;21,961333;18,046667;10,3;
2010-12-31;24;114,7;27,351613;23,545806;20,229032;8,8;
2011-01-31;19;296,4;30,1;25,990323;22,441935;11,3;
2011-02-28;20;284,8;29,507143;25,432857;22,278571;9,8;
2011-03-31;23;284,9;27,158065;23,343871;20,3;9,6;
2011-04-30;10;52,3;27,216667;22,264;18,23;6,6;
2011-05-31;9;111,8;23,693548;19,207742;15,722581;9;
2011-06-30;11;81;21,113333;16,416;12,553333;6,3;
2011-07-31;14;125,1;19,764516;15,941935;12,916129;8,1;
2011-08-31;17;371,9;20,470968;16,696129;13,783871;8,3;
2011-09-30;10;256,6;21,333333;17,378;13,473333;9,1;
2011-10-31;16;79,7;24,441935;20,854839;17,693548;9;
2011-11-30;13;87,5;25,233333;21,514667;17,88;8;
2011-12-31;18;228,1;27,983871;23,12129;18,964516;9,3;
2012-01-31;17;353,5;28,503226;24,502581;20,777419;8;
2012-02-29;15;73,7;30,068966;26,088276;22,565517;7,5;
2012-03-31;12;110,4;29,33871;24,290968;19,712903;11,1;
2012-04-30;14;80,7;26,296667;22,112667;18,476667;7;
2012-05-31;11;118;24,8;19,875484;15,922581;5,3;
2012-06-30;11;140,8;21,936667;17,418;13,866667;7,5;
2012-07-31;15;162;21,080645;16,027742;12,348387;7,1;
2012-08-31;10;60,7;23,016129;18,923226;15,96129;10;
2012-09-30;11;64,2;23,586667;19,488;15,586667;8,8;
2012-10-31;12;107,4;24,970968;21,517419;18,548387;8,3;
2012-11-30;17;103,4;27,08;23,046;19,466667;8;
2012-12-31;18;86,8;29,748387;25,636774;22,145161;10;
2013-01-31;14;92,6;28,764516;24,372258;20,041935;9,6;
