Nome: SAO LUIZ GONZAGA
Codigo Estacao: 83907
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.49
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;8;140,1;32,141935;25,44129;20,051613;6,3;
2008-02-29;11;136,9;32,268966;25,154483;19,506897;4,5;
2008-03-31;9;53,3;30,412903;23,550323;18,545161;6;
2008-04-30;13;195,2;26,743333;19,817333;14,966667;5,5;
2008-05-31;10;89,4;22,454839;16,126452;11,664516;5,5;
2008-06-30;15;189;18,706667;13,388667;9,473333;6,6;
2008-07-31;10;50,9;23,574194;17,943226;14,170968;6;
2008-08-31;10;132,5;22,690323;16,11871;11,277419;6,1;
2008-09-30;9;80,9;22,75;16,074;10,713333;6,6;
2008-10-31;17;483,5;26,041935;20,303226;15,467742;6,1;
2008-11-30;6;47,9;31,116667;23,848;17,483333;5,6;
2008-12-31;7;40,3;33,006452;25,499355;18,948387;5,6;
2009-01-31;12;126,3;31,512903;24,629032;18,951613;5;
2009-02-28;12;131,7;31,921429;25,36;20,289286;6,3;
2009-03-31;8;44;31,654839;24,296129;18,883871;4,6;
2009-04-30;2;7,5;30,493333;21,788667;15,47;4,8;
2009-05-31;9;156,1;24,619355;18,459355;14,229032;5;
2009-06-30;7;102;18,876667;12,694;8,17;6,6;
2009-07-31;10;122,1;17,567742;11,847742;7,464516;5,8;
2009-08-31;10;193,7;23,53871;17,38129;12,8;8,5;
2009-09-30;16;224,9;22,716667;16,908;12,686667;7,5;
2009-10-31;9;176,3;27,948387;20,882581;14,9;8;
2009-11-30;19;672,2;30,463333;24,804;20,156667;6,5;
2009-12-31;14;214,5;31,93871;25,125806;19,803226;5,6;
2010-01-31;13;399,1;32,225806;25,626452;20,551613;6,1;
2010-02-28;12;244,5;32,764286;26,292143;21,960714;7;
2010-03-31;5;93,3;31,406452;24,483226;19,529032;5;
2010-04-30;6;150,6;26,99;20,346;15,816667;5,5;
2010-05-31;14;138,6;21,280645;15,838065;11,6;5,3;
2010-06-30;9;73,3;21,493333;15,674667;11,513333;5,8;
2010-07-31;13;217,6;20,570968;14,156129;9,816129;5;
2010-08-31;7;13,6;22,035484;15,37871;10,783871;6,8;
2010-09-30;14;279,2;23,84;17,69;12,943333;6,3;
2010-10-31;7;118;26,270968;19,283871;13,954839;7;
2010-11-30;4;48,6;29,943333;22,554667;16,123333;5,8;
2010-12-31;12;231,4;31,890323;24,830323;19,129032;5,1;
2011-01-31;12;108,2;33,393548;26,582581;21,477419;5,3;
2011-02-28;13;193;30,492857;24,775;20,871429;5;
2011-03-31;8;141,4;30,712903;23,539355;18,425806;6,6;
2011-04-30;5;178,2;27,893333;21,030667;16,233333;4,6;
2011-05-31;9;82,5;22,477419;16,789032;13,006452;6,1;
2011-06-30;10;145,7;18,986667;13,972;10,55;5,3;
2011-07-31;12;162,9;19,293548;14,142581;10,522581;6,3;
2011-08-31;14;150;21,535484;15,562581;11,383871;6,3;
2011-09-30;7;90,1;25,216667;18,33;12,753333;6,6;
2011-10-31;10;237,1;27,354839;20,391613;15,019355;7;
2011-11-30;7;82,7;30,473333;23,713333;17,483333;6,1;
2011-12-31;7;38,3;32,045161;24,68;18,16129;5,8;
2012-01-31;6;49,4;34,848387;26,890323;20,022581;8,3;
2012-02-29;10;48,7;34,972414;27,555862;22,255172;7,1;
2012-03-31;5;62,9;32,096774;24,369677;18,251613;5;
2012-04-30;9;94,2;27,323333;20,170667;15,22;8,3;
2012-05-31;4;16,2;25,809677;19,034839;13,954839;4,3;
2012-06-30;8;59,8;21,25;15,502;11,556667;7;
2012-07-31;9;81,1;19,809677;13,490968;8,974194;8;
2012-08-31;9;82,2;25,574194;19,576129;15,429032;5,8;
2012-09-30;7;113,4;25,72;19,224;14,38;6,6;
2012-10-31;16;454,4;26,625806;21,029032;16,854839;7,6;
2012-11-30;3;67,2;32,22;24,745333;18,133333;6,1;
2012-12-31;17;348,1;31,4;25,483226;20,248387;6,8;
2013-01-31;6;198,3;31,593548;24,695484;18,53871;6;
2013-02-28;10;160,3;31,246429;24,617143;19,446429;4,3;
2013-03-31;10;268,4;27,23871;21,22129;16,609677;5,3;
2013-04-30;7;273;27,71;20,656;15,446667;5,1;
2013-05-31;12;141,4;22,6;16,774839;12,658065;5,3;
2013-06-30;10;55,5;20,466667;15,279333;11,64;4,6;
2013-07-31;9;157,2;20,7;14,747097;10,303226;6,3;
2013-08-31;12;111,6;19,754839;13,56129;8,725806;5,1;
2013-09-30;8;104,2;23,593333;17,586667;12,986667;5,8;
2013-10-31;11;179;27,729032;20,855484;15,1;6,1;
2013-11-30;8;139,9;30,97;23,91;18,07;6,8;
2013-12-31;8;179,1;33,503226;26,406452;20,629032;4,8;
2014-01-31;4;203,9;33,129032;26,752903;21,706452;6,3;
2014-02-28;null;118,3;33,321429;26,574286;21,65;6,6;
2014-03-31;null;170,9;29,51;22,80129;17,5;5,3;
2014-04-30;null;104,4;27,33;20,968;16,396667;5,6;
2014-05-31;null;329,8;22,729032;16,923871;12,754839;5;
2014-06-30;null;241,2;19,83;15,13;11,913333;5;
2014-07-31;null;167,7;21,967742;15,867742;11,558065;5;
2014-08-31;null;56,2;24,622581;17,550968;12,077419;7;
2014-09-30;null;284,8;24,433333;19,332;15,32;7,6;
2014-10-31;null;253,5;29,13871;22,735484;17,583871;8,1;
2014-11-30;null;64,6;31,243333;24,344;18,363333;6,1;
2014-12-31;null;368,8;30,929032;24,881935;19,748387;5,5;
2015-01-31;null;316,5;31,545161;25,349677;20,877419;7,5;
2015-02-28;null;80;31,75;25,257143;20,332143;5,8;
2015-03-31;null;140,5;31,445161;24,190323;19,035484;5,1;
2015-04-30;null;210,9;28,336667;21,379333;16,473333;5;
2015-05-31;null;194,4;23,606452;17,983226;14,358065;5,1;
2015-06-30;null;265,1;21,69;16,416;12,78;5,3;
2015-07-31;null;139,7;20,203226;15,511613;12,225806;5,3;
2015-08-31;null;64,4;26,506452;20,494194;16,383871;5,1;
2015-09-30;null;111;25,976667;18,797333;13,806667;6,6;
2015-10-31;null;203,1;26,554839;20,612903;15,983871;6,3;
2015-11-30;null;355;28,046667;22,056;17,16;6,1;
2015-12-31;null;778,1;29,551613;24,474194;20,212903;6,6;
2016-01-31;null;103,1;33,558065;27,143871;21,970968;5,8;
2016-02-29;null;191;32,510345;26,273793;21,937931;4,6;
2016-03-31;null;197,9;28,032258;22,310968;18,058065;6;
2016-04-30;null;291,2;28,296667;22,468;19,44;7,7166;
2016-05-31;null;101,4;20,487097;15,174194;11,793548;4;
2016-06-30;null;6,4;18,906667;12,466667;8,196667;6,1;
2016-07-31;null;74,1;21,487097;15,176774;10,922581;5,3;
2016-08-31;null;107,3;23,645161;17,270323;12,767742;5,8;
