Nome: PASSO FUNDO
Codigo Estacao: 83914
Latitude: -28.2286111
Longitude: -52.41194444
Altitude: 684.05
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;8;82,8;28,003226;21,66;16,877419;8,3;
2008-02-29;11;150,2;27,837931;21,298621;16,427586;8;
2008-03-31;13;130;27,212903;20,589032;16,367742;6,6;
2008-04-30;14;297,3;23,876667;17,160667;12,506667;9,3;
2008-05-31;7;102,3;20,729032;14,25871;10,051613;10;
2008-06-30;17;232,2;16,74;11,436667;7,843333;8,3;
2008-07-31;10;59,8;21,63871;15,270968;11,125806;8,6;
2008-08-31;10;163,1;20,23871;14,639355;10,729032;7,5;
2008-09-30;12;97,5;19,55;13,265333;8,813333;8,6;
2008-10-31;18;351,7;22,709677;17,523871;13,73871;9,6;
2008-11-30;7;237,4;27,243333;20,293333;15,133333;9;
2008-12-31;8;72,6;29,03871;21,668387;16,158065;6,6;
2009-01-31;14;94,5;27,254839;20,831613;15,967742;8,3;
2009-02-28;13;155,4;28,542857;22,222857;17,860714;7;
2009-03-31;14;76,4;28,180645;21,347742;16,767742;6,6;
2009-04-30;3;4,8;27,126667;19,389333;14,3;6,8;
2009-05-31;12;185;22,474194;15,763871;11,545161;8,3;
2009-06-30;11;75,2;17,253333;10,991333;7,186667;13,3;
2009-07-31;12;222,3;15,751613;10,448387;6,690323;9;
2009-08-31;15;268,8;20,964516;14,897419;10,512903;8,3;
2009-09-30;18;489,7;19,313333;14,681333;11,353333;10;
2009-10-31;11;133,9;24,422581;17,892903;13,029032;9,1;
2009-11-30;20;349;28,576667;22,353333;18,18;11,6;
2009-12-31;14;142;28,645161;22,33871;17,767742;8,3;
2010-01-31;18;126,5;28,206452;22,271613;18,309677;8,3;
2010-02-28;9;103,6;29,428571;23,082143;18,903571;8,3;
2010-03-31;10;68;27,564516;21,04129;16,432258;8,3;
2010-04-30;7;216,4;23,943333;17,736667;13,42;6,6;
2010-05-31;14;130,9;19,035484;14,054839;10,83871;7,8;
2010-06-30;8;141,7;19,146667;13,362;9,606667;8,3;
2010-07-31;13;187,1;18,758065;12,572258;8,345161;9;
2010-08-31;6;49,2;19,509677;13,345161;9,035484;8,3;
2010-09-30;14;240;21,39;15,642;11,596667;10;
2010-10-31;13;143,7;23,022581;16,516129;11,419355;9,3;
2010-11-30;10;60;26,893333;19,475333;13,46;7,3;
2010-12-31;14;194,4;27,935484;21,520645;16,296774;7;
2011-01-31;20;150,4;29,53871;23,026452;18,541935;8,3;
2011-02-28;18;219,4;27;21,896429;18,553571;7;
2011-03-31;10;219,6;26,454839;20,341935;15,887097;8;
2011-04-30;12;108,8;25,186667;18,442667;13,906667;9,1;
2011-05-31;9;137,1;19,774194;14,095484;10,6;8,3;
2011-06-30;14;226,7;16,683333;11,406;8,016667;10;
2011-07-31;13;340;17,593548;12,366452;9,187097;8,3;
2011-08-31;18;254,4;18,954839;13,385161;9,551613;11,3;
2011-09-30;8;47,3;22,11;15,391333;10,143333;7,5;
2011-10-31;12;194,7;25,122581;18,334839;13,383871;8,3;
2011-11-30;7;77,1;27,173333;20,158667;14,53;7,6;
2011-12-31;14;91,2;28,103226;21,243226;15,445161;7,6;
2012-01-31;12;105,3;29,025806;22,103226;16,945161;6,6;
2012-02-29;11;86;31,044828;23,609655;18,603448;8;
2012-03-31;6;114,5;28,496774;20,71871;15,212903;7,3;
2012-04-30;9;58,2;24,733333;18,031333;13,44;7,5;
2012-05-31;6;28,5;22,864516;15,683226;10,864516;8,6;
2012-06-30;9;186,6;18,726667;12,957333;9,116667;7,3;
2012-07-31;12;209,3;17,264516;11,494839;7,693548;10;
2012-08-31;8;28,1;22,493548;16,336129;12,148387;9;
2012-09-30;9;142,3;23,163333;16,445333;11,616667;10;
2012-10-31;15;253,2;24,925806;19,042581;14,454839;10;
2012-11-30;8;34;28,93;21,678667;15,733333;7,6;
2012-12-31;15;176,3;28,896774;23,014194;18,26129;11,6;
2013-01-31;8;101,8;27,712903;21,347097;15,864516;6,6;
2013-02-28;12;170,5;27,585714;21,368571;17,057143;7;
2013-03-31;1;165,9;24,116129;18,350323;14,432258;7;
2013-04-30;null;95,7;25,096667;17,900667;12,816667;6,6;
2013-05-31;null;85,2;20,516129;14,554839;10,53871;11,6;
2013-06-30;null;127,6;18,12;13,184;9,78;8,6;
2013-07-31;null;81,4;18,206452;11,972903;7,609677;10;
2013-08-31;null;363,6;18,2;11,980645;7,806452;10;
2013-09-30;null;184;21,026667;15,238;10,85;7;
2013-10-31;null;186,4;23,777419;17,706667;13,106452;8,3;
2013-11-30;null;103,9;27,776667;20,784;15,41;11,6;
2013-12-31;null;66,4;30,248387;23,229677;17,770968;8,3;
2014-01-31;null;193,7;29,396774;23,168387;18,541935;8,3;
2014-02-28;null;140,8;29,632143;22,610714;18,021429;7,6;
2014-03-31;null;236,4;26,396774;20,179355;15,8;8,6;
2014-04-30;null;137,4;24,133333;18,327333;14,376667;8,3;
2014-05-31;null;222,1;20,06129;14,547097;11,012903;8,3;
2014-06-30;null;284,4;17,29;13,238;10,39;10;
