Nome: LAGOA VERMELHA
Codigo Estacao: 83916
Latitude: -28.22249999
Longitude: -51.51277777
Altitude: 833.73
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;10;82,1;25,980645;20,395484;16,080645;null;
2008-02-29;8;54,3;26,610345;20,29931;15,486207;null;
2008-03-31;12;101,3;25,577419;19,502581;15,406452;null;
2008-04-30;15;159,9;22,323333;16,353333;12,276667;null;
2008-05-31;6;90,1;19,629032;13,558065;9,522581;null;
2008-06-30;13;132,8;15,92;10,907333;7,366667;null;
2008-07-31;10;45,6;20,9;14,684516;10,812903;null;
2008-08-31;10;104,5;19,76129;14,124516;10,345161;null;
2008-09-30;12;111,7;18,786667;12,564667;8,103448;null;
2008-10-31;19;302,2;21,303226;16,394839;13,025806;null;
2008-11-30;14;169,8;24,413333;18,453333;14,346667;null;
2008-12-31;12;85;26,941935;20,317419;15,16129;null;
2009-01-31;9;90,3;25,858065;19,927742;15,574194;null;
2009-02-28;14;107,4;27,1;21,278571;17,378571;null;
2009-03-31;9;22;26,990323;20,66;16,533333;null;
2009-04-30;4;9;25,6;18,252;13,48;null;
2009-05-31;9;131,7;21,16129;15,087742;10,974194;null;
2009-06-30;9;92,2;16,44;10,46;6,873333;null;
2009-07-31;10;172,9;15,683871;10,259355;6,729032;null;
2009-08-31;14;207,6;20,641935;14,385161;9,903226;null;
2009-09-30;18;428,8;18,753333;13,930667;10,66;null;
2009-10-31;12;131,6;23,174194;17,049032;12,574194;null;
2009-11-30;18;225,2;27,56;21,576;17,526667;null;
2009-12-31;14;117;27,341935;21,331613;17,167742;null;
2010-01-31;17;289,1;26,535484;21,317419;17,722581;null;
2010-02-28;15;284,3;28,160714;22,052857;17,878571;null;
2010-03-31;16;114;25,493548;19,64;15,551613;null;
2010-04-30;9;225,7;22,206667;16,736667;12,823333;null;
2010-05-31;15;146,4;17,796774;13,19871;9,970968;null;
2010-06-30;7;151,7;17,82;12,448;8,56;null;
2010-07-31;11;155,3;18,458065;12,244516;7,896774;null;
2010-08-31;7;66,3;null;null;8,225806;null;
2010-09-30;11;231,6;21,026316;15,133684;10,813333;null;
2010-10-31;11;122,7;21,674194;15,37871;10,309677;null;
2010-11-30;12;114,8;25,016667;18,295333;13,03;null;
2010-12-31;14;133,3;26,470968;20,359355;15,374194;null;
2011-01-31;18;175;28,396774;21,831613;17,641935;null;
2011-02-28;20;171,3;26,303571;20,938571;17,553571;null;
