Nome: IBIRUBA
Codigo Estacao: 83932
Latitude: -28.653476
Longitude: -53.111882
Altitude: 455.28
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2012-02-12
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;4;192,2;29,593548;22,932258;17,845161;7;
2008-02-29;9;112;29,248276;22,582069;17,562069;5;
2008-03-31;9;53,6;28,248387;21,701935;17,283871;5;
2008-04-30;10;146,8;25,223333;18,271333;13,063333;5;
2008-05-31;6;104,6;21,677419;15,019355;10,267742;7;
2008-06-30;14;184,8;17,53;11,967333;7,943333;9;
2008-07-31;11;74,7;22,490323;15,99871;11,780645;7;
2008-08-31;9;167,5;21,370968;14,898065;10,177419;7;
2008-09-30;10;109,1;20,62;14,438667;9,713333;6;
2008-10-31;17;353,4;23,677419;18,28;13,825806;5;
2008-11-30;4;92,8;28,97;21,68;15,69;5;
2008-12-31;7;132,3;28,693333;null;16,670968;5;
2009-01-31;14;113,3;null;null;17,36129;5;
2009-02-28;13;157,2;29,746429;23,205;18,832143;3;
2009-03-31;6;86,5;29,2;22,102581;17,193548;3;
2009-04-30;2;14,6;28,463333;20,028667;14,136667;3;
2009-05-31;8;151,2;23,883333;16,938;12,093333;4;
2009-06-30;9;57,4;17,79;11,348667;7,07;14;
2009-07-31;9;165;16,432258;10,848966;6,248387;7;
2009-08-31;12;298,2;22,535484;15,455484;10,212903;5;
2009-09-30;15;438,1;21,346429;15,700714;11,567857;10;
2009-10-31;10;146,9;26,303226;18,947742;13,496774;7;
2009-11-30;21;449,6;29,37;23,246429;19,03;14;
2009-12-31;13;119,6;29,796774;23,346452;18,964516;7;
2010-01-31;17;324,5;29,193548;23,196774;19,083871;5;
2010-02-28;11;194,3;30,342857;24,481429;20,178571;5;
2010-03-31;6;48,7;29,148387;22,38129;17,693548;5;
2010-04-30;7;188,3;25,11;18,856;14,236667;5;
2010-05-31;13;127,2;19,980645;15,064516;11,664516;5;
2010-06-30;10;107,1;19,913333;13,986667;10,093333;5;
2010-07-31;11;190,8;19,725806;13,269677;8,290323;5;
2010-08-31;3;41;19,767742;13,305161;8,080645;5;
2010-09-30;12;271,1;22,06;16,256;11,506667;5;
2010-10-31;7;103,4;24,409677;17,763226;12,154839;5;
2010-11-30;7;98,8;28,26;20,516;13,613333;5;
2010-12-31;7;131,1;29,935484;22,641935;16,193548;5;
2011-01-31;12;73,8;31,825806;24,709032;18,916129;5;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;null;null;null;null;null;null;
2011-11-30;null;null;null;null;null;null;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;

