Nome: SANTA MARIA
Codigo Estacao: 83936
Latitude: -29.724796
Longitude: -53.720465
Altitude: 103.1
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;8;95,7;30,354839;24,309677;19,141935;5;
2008-02-29;9;127,3;30,572414;23,83931;18,734483;5;
2008-03-31;9;106,9;29,43871;22,909032;18,112903;4,6;
2008-04-30;13;131,9;25,906667;18,33;13,196667;4,6;
2008-05-31;9;131,7;22,687097;15,823226;11,26129;6,6;
2008-06-30;13;157,7;17,46;11,935333;8,176667;4,6;
2008-07-31;11;176,8;21,025806;15,843871;12,748387;5;
2008-08-31;12;99,8;21,006452;14,537419;9,770968;5;
2008-09-30;8;120,8;20,946667;15,112667;10,236667;6,6;
2008-10-31;16;255,3;24,587097;19,205161;14,929032;6,3;
2008-11-30;7;43,9;29,24;22,66;17,186667;5;
2008-12-31;7;31,7;30,845161;24,105161;18,093548;7;
2009-01-31;12;162,1;29,774194;23,537419;18,13871;5,5;
2009-02-28;12;165,4;30,25;24,32;19,564286;4,6;
2009-03-31;12;131,7;29,212903;22,65871;18,351613;null;
2009-04-30;4;25,6;27,246667;19,220667;13,93;null;
2009-05-31;8;96,5;23,76129;16,609032;12,103226;5,8;
2009-06-30;7;76,8;18,48;11,858;7,316667;8,3;
2009-07-31;6;91,4;17,16129;10,677419;6,180645;10;
2009-08-31;11;164,5;23,245161;16,482581;11,4;9;
2009-09-30;16;345,3;20,846667;16,092667;12,536667;5,8;
2009-10-31;6;108,7;25,451613;18,963871;13,483871;10,8;
2009-11-30;19;480,9;28,3;23,313333;19,006667;13,6;
2009-12-31;13;305,7;29,767742;24,08;19,716129;16;
2010-01-31;13;405,9;30,083871;24,801935;20,596774;8,1;
2010-02-28;10;124,7;31,714286;25,992143;21,975;8,3;
2010-03-31;4;25,1;30,064516;23,682581;19,212903;6,6;
2010-04-30;9;116,8;26,086667;19,177333;14,153333;7,1;
2010-05-31;13;117,7;20,954839;15,827742;12,654839;4,3;
2010-06-30;9;128,9;19,84;14,327333;10,31;9,1;
2010-07-31;15;238,3;19,503226;13,380645;9,045161;8,3;
2010-08-31;12;109,4;19,6;13,736129;9,364516;10;
2010-09-30;11;244,9;22,026667;16,698667;13,08;10;
2010-10-31;8;49,3;24,419355;18,127742;12,651613;5;
2010-11-30;6;71,3;27,786667;20,800667;14,876667;5;
2010-12-31;8;157,9;30,387097;23,941935;18,322581;5,3;
2011-01-31;9;127,1;32,451613;26,057419;21,616129;5;
2011-02-28;14;165,8;30,021429;24,610714;20,767857;5;
2011-03-31;6;54,9;28,851613;22,417419;17,970968;5;
2011-04-30;9;164,9;26,58;19,416667;14,71;6;
2011-05-31;12;54,9;21,509677;15,492258;11,519355;8,3;
2011-06-30;9;99;19,213793;13,158667;9,093103;8,3;
2011-07-31;17;163,1;17,890323;12,381935;8,632258;11,3;
2011-08-31;19;138,5;19,890323;14,265806;10,496774;13,3;
2011-09-30;7;61,2;23,486667;16,598667;11,06;9,6;
2011-10-31;8;184,8;25,174194;19,12129;14,374194;8,3;
2011-11-30;3;41,6;28,98;22,336;16,426667;5,3;
2011-12-31;7;13,4;30,290323;23,369032;17,367742;6,6;
2012-01-31;6;68,8;32,987097;25,501935;19,4;5,3;
2012-02-29;8;135,4;33,089655;26,162069;21,203448;5,8;
2012-03-31;6;151,1;30,322581;22,533548;17,022581;5,3;
2012-04-30;9;108,7;25,466667;18,318667;13,666667;4,6;
2012-05-31;3;138,2;24,864516;17,078065;11,893548;5;
2012-06-30;7;35,1;19,806667;13,877333;9,826667;8;
2012-07-31;7;70,4;18,180645;11,896774;7,587097;7,6;
2012-08-31;9;74,5;25,412903;19,032258;14,948387;12,5;
2012-09-30;10;177,5;23,54;17,498667;13,073333;6,3;
2012-10-31;18;255,2;25,703226;20,536774;16,735484;7,8;
2012-11-30;6;72,8;30,386667;23,285333;17,48;5,8;
2012-12-31;14;293;31,141935;25,037419;19,903226;11,8;
2013-01-31;5;145,3;30,270968;23,73871;18,164516;5,8;
2013-02-28;10;97,7;29,871429;23,738571;19,085714;7,1;
2013-03-31;2;188,6;26,619355;20,649032;16,412903;5,5;
2013-04-30;null;147,4;26,393333;19,129333;14,426667;4,1;
2013-05-31;null;71,6;21,367742;15,107097;10,987097;6,6;
2013-06-30;null;81,6;18,9;13,196;9,493333;4,6;
2013-07-31;null;113,5;20,006452;13,188387;8,741935;6,6;
2013-08-31;null;163,8;19,251613;12,803871;8,070968;10,6;
2013-09-30;null;69,2;23,068966;17,108;12,689655;8;
2013-10-31;null;108,7;26,193548;19,516129;14,219355;6,5;
2013-11-30;null;294,5;28,733333;22,656;17,52;5;
2013-12-31;null;92,8;32,122581;25,465806;19,696774;7,6;
2014-01-31;null;132,3;32,619355;26,143871;21,232258;6,6;
2014-02-28;null;109;32,128571;25,407143;20,642857;6;
2014-03-31;null;226,9;28,4;21,905806;17,2;5,8;
2014-04-30;null;105,1;25,8;19,870667;15,7;6,3;
2014-05-31;null;171,5;21,051613;15,491613;12,045161;4,3;
2014-06-30;null;278,8;18,153333;13,838667;10,8;6,6;
2014-07-31;null;255,1;20,941935;15,011613;10,890323;9,1;
2014-08-31;null;92,2;22,806452;15,969032;11,064516;7,5;
2014-09-30;null;237,5;23,553333;18,457333;14,453333;8,3;
2014-10-31;null;256,8;27,333333;21,419355;16,974194;8,3;
2014-11-30;null;59,7;29,7;23,072;17,3;6,3;
2014-12-31;null;324,3;29,683871;24,070968;19,303226;5,6;
2015-01-31;null;175,1;30,716129;25,061935;20,690323;6,1;
2015-02-28;null;84,3;30,05;24,38;20,278571;5;
2015-03-31;null;132,4;29,812903;23,124516;18,735484;4,1;
2015-04-30;null;129,8;27;19,64;14,826667;4,5;
2015-05-31;null;136,4;22,432258;16,790968;13,16129;9,6;
2015-06-30;null;128,2;20,94;14,816;10,726667;5;
2015-07-31;null;214,7;19,496774;14,88;11,535484;7,5;
2015-08-31;null;85,2;25,567742;19,91871;15,645161;10,6;
2015-09-30;null;168,6;23,026667;16,756;12,373333;6,6;
2015-10-31;null;428,4;23,541935;18,614194;14,858065;7,5;
2015-11-30;null;164,3;25,573333;20,748;16,72;8,8;
2015-12-31;null;336;28,677419;23,636129;19,541935;7,6;
2016-01-31;null;101,9;31,503226;25,545806;20,787097;5,8;
2016-02-29;null;96,5;31,386207;25,30069;21,275862;4,5;
2016-03-31;null;200,7;27,083871;21,463226;17,780645;8,1;
2016-04-30;null;137,7;26,64;21,542667;17,889655;6;
2016-05-31;null;68,4;18,651613;13,854194;10,8;11,1;
2016-06-30;null;5,3;16,973333;10,642667;6,493333;3,8;
2016-07-31;null;95,3;19,748387;13,504516;9,380645;10;
2016-08-31;null;123,2;22,806452;15,570323;10,522581;8,1;
2016-09-30;null;53;22,393333;15,456;10,3;5,6;
2016-10-31;null;376,6;24,948387;19,214194;14,696774;6,6;
2016-11-30;null;160,8;27,966667;21,322667;15,213333;6,1;
2016-12-31;null;134,4;30,941935;24,789677;19,477419;7,6;
2017-01-31;null;207,2;30,929032;25,029677;20,43871;4,3;
2017-02-28;null;220,1;30,764286;24,798571;20,957143;6,3;
2017-03-31;null;222,8;28,8;22,412903;18,122581;8;
2017-04-30;null;106,3;25,086667;19,058667;15,06;7,1;
2017-05-31;null;272,5;21,864516;17,054194;13,916129;6;
2017-06-30;null;124,2;21,193333;15,712;12,286667;8,6;
2017-07-31;null;14,7;23,909677;15,934194;10,76129;7,1;
2017-08-31;null;246,5;23,277419;16,667097;12,077419;9,3;
2017-09-30;null;131,5;25,8;20,092;16,326667;10;
2017-10-31;null;243,2;24,974194;19,532903;15,393548;5,8;
2017-11-30;null;70;28,066667;20,965333;14,82;8,5;
2017-12-31;null;83,9;30,941935;24,754839;19,206452;6,6;
2018-01-31;null;122,2;30,329032;24,771613;19,883871;6,6;
2018-02-28;null;108,9;29,871429;23,334286;18,385714;4,6;
2018-03-31;null;167,6;28,909677;22,317419;17,341935;5,1;
2018-04-30;null;167,6;28,766667;22,434667;18,513333;5,5;
2018-05-31;null;59,9;22,167742;16,954839;13,587097;5;
2018-06-30;null;150,6;17,673333;12,001333;7,866667;8;
2018-07-31;null;147;18,064516;13,298065;9,922581;5;
2018-08-31;null;128,1;18,767742;12,859355;8,625806;5;
2018-09-30;null;240;23,753333;18,734;15,09;6,6;
2018-10-31;null;101,5;25,393548;19,855484;15,348387;7;
2018-11-30;null;245,1;28,82;22,866667;17,74;5,3;
2018-12-31;null;176,2;30,032258;24,12;18,703226;5,3;
2019-01-31;null;266,1;30,83871;25,704516;21,890323;9;
2019-02-28;null;83,4;29,957143;23,929286;19,146429;4,1;
2019-03-31;null;136,3;28,129032;21,929032;17,206452;5;
2019-04-30;null;210,4;26,366667;20,826667;17,253333;5;
2019-05-31;null;260,2;22,529032;18,122581;15,374194;6,1;
2019-06-30;null;34,3;24,353333;18,189333;14,153333;10;
2019-07-31;null;174;18,56129;12,818065;8,825806;14,3;
2019-08-31;null;91,3;21,425806;14,575484;9,587097;11,1;
2019-09-30;null;89,8;22,54;16,161333;10,98;10;
2019-10-31;null;460,3;26,148387;20,343226;15,845161;8;
2019-11-30;null;161,4;28,32;22,630667;17,993333;6,6;
2019-12-31;null;73;31,916129;24,83871;17,832258;8,3;

