Nome: CAMBARA DO SUL
Codigo Estacao: 83946
Latitude: -29.049139
Longitude: -50.149631
Altitude: 1015.97
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;13;106,4;22,706452;17,38129;13,354839;5;
2008-02-29;18;154,3;23,7;17,575862;12,958621;7;
2008-03-31;22;180,4;23,029032;17,229032;13,16129;7;
2008-04-30;19;159,5;20,523333;14,427333;9,683333;7;
2008-05-31;13;239,1;18,106452;11,756129;6,870968;7;
2008-06-30;17;117,1;15,18;9,300667;4,37;7;
2008-07-31;15;60,1;19,319355;12,672903;7,8;7;
2008-08-31;14;136,7;18,832258;11,954839;6,364516;7;
2008-09-30;16;195,5;16,866667;10,371333;5,53;5;
2008-10-31;20;241,1;19,13871;13,850323;9,354839;5;
2008-11-30;17;131,8;20,78;15,380667;11,276667;5;
2008-12-31;18;153,5;22,883871;16,659355;11,832258;5;
2009-01-31;17;173,6;22,509677;17,198065;12,977419;5;
2009-02-28;17;133,6;24,192857;18,513571;14,05;5;
2009-03-31;15;98,8;23,770968;17,908387;13,674194;5;
2009-04-30;8;53,1;21,543333;15,385333;10,73;5;
2009-05-31;20;136,5;19,016129;12,762581;7,616129;5;
2009-06-30;17;91,6;15,33;8,843333;4,27;5;
2009-07-31;16;126,2;14,258065;8,192903;3,358065;7;
2009-08-31;16;233,5;18,564516;12,183226;6,567742;7;
2009-09-30;18;523;16,986667;11,875333;8,04;5;
2009-10-31;14;128,5;20,167742;13,877419;8,893548;5;
2009-11-30;18;293,4;24,263333;18,715333;14,53;9;
2009-12-31;15;120,1;23,883871;18,083871;13,280645;7;
2010-01-31;23;225,8;23,935484;18,65871;14,26129;5;
2010-02-28;18;163,4;25,892857;20,01;15,489286;3;
2010-03-31;19;163,5;22,612903;17,42;13,403226;5;
2010-04-30;21;162,4;20,056667;14,824667;10,243333;3;
2010-05-31;24;253,4;16,083871;11,816774;8,735484;5;
2010-06-30;14;137,7;16,276667;10,609333;6,323333;5;
2010-07-31;12;160,2;17,087097;10,56;5,358065;9;
2010-08-31;11;76;16,877419;10,642581;5,409677;7;
2010-09-30;14;178,7;18,286667;12,393333;8,32;9;
2010-10-31;17;79,2;18,690323;12,432258;7,280645;5;
2010-11-30;13;213,6;21,743333;15,197333;10,256667;5;
2010-12-31;15;76,3;23,6;17,527742;11,835484;3;
2011-01-31;25;239;25,922581;19,336129;15,006452;3;
2011-02-28;23;289,5;23,992857;18,916429;15,353571;3;
2011-03-31;17;198,1;21,741935;16,412258;12,722581;3;
2011-04-30;17;139,4;21,503333;15,305333;10,506667;3;
2011-05-31;15;74,4;16,774194;11,475484;7,590323;5;
2011-06-30;16;196,2;15,146667;8,911333;4,773333;5;
2011-07-31;19;305,2;16,183871;9,969032;5,690323;5;
2011-08-31;20;407,4;15,829032;10,087742;5,393548;9;
2011-09-30;11;126,8;18,773333;11,686;6,286667;3;
2011-10-31;12;166,4;20,806452;14,665806;10,1;5;
2011-11-30;8;43,5;21,856667;15,375333;10,29;3;
2011-12-31;14;116,1;22,445161;16,446452;11,654839;5;
2012-01-31;15;236,2;24,254839;18,123226;13,603226;3;
2012-02-29;12;166,3;27,474074;20,36963;15,575862;2;
2012-03-31;8;35,7;24,596774;17,508387;12,309677;5;
2012-04-30;11;73;21,283333;14,805333;10,303333;5;
2012-05-31;15;30,3;19,419355;12,99871;8,070968;5;
2012-06-30;10;98,5;17,746667;11,104;6,423333;5;
2012-07-31;14;255,1;15,267742;9,410968;5,025806;5;
2012-08-31;7;70,5;21,180645;14,258065;9,232258;3;
2012-09-30;13;232,6;20,146667;13,363333;8,153333;12;
2012-10-31;13;213,3;22,522581;16,415484;11,806452;5;
2012-11-30;6;26,4;23,633333;16,709333;11,33;5;
2012-12-31;13;199,6;25,751613;19,44;14,319355;null;
2013-01-31;null;106,7;23,803226;17,648387;12,896774;null;
2013-02-28;23;277,4;24,075;18,517143;14,582143;null;
2013-03-31;20;221,5;20,945161;15,851613;11,967742;null;
2013-04-30;7;67,6;21,503333;15,009333;9,97;null;
2013-05-31;16;71,9;18,377419;12,465161;7,509677;null;
2013-06-30;20;141,2;16,326667;11,168;7,223333;null;
2013-07-31;8;120,6;17,012903;10,062581;4,732258;null;
2013-08-31;15;470,8;16,409677;10,11871;5,245161;null;
2013-09-30;15;196,7;19,503333;13,142;8;null;
2013-10-31;14;137;19,83871;13,985806;9,109677;null;
2013-11-30;null;128;22,796667;16,338667;11,18;null;
2013-12-31;null;193,4;25,03871;18,63871;13,796774;null;
2014-01-31;null;153,4;27,070968;20,536774;15,416129;null;
2014-02-28;null;374,1;26,596429;20,280714;15,760714;null;
2014-03-31;null;145;23;17,434194;13,232258;null;
2014-04-30;null;144,5;20,786667;15,228;11,09;null;
2014-05-31;null;123,9;18,129032;12,50129;8,364516;null;
2014-06-30;null;330,3;16,396667;11,426;7,383333;null;
2014-07-31;null;107,8;17,070968;10,948387;6,2;9;
2014-08-31;null;139,5;20,232258;12,384516;6,432258;7;
2014-09-30;null;188,9;19,426667;14,239333;10,14;7;
2014-10-31;null;173,3;22,43871;16,175484;11,070968;7;
2014-11-30;null;153,9;23,483333;17,272;12,23;5;
2014-12-31;null;156,4;24,616129;18,65871;13,932258;5;
2015-01-31;null;242,6;25,912903;19,839355;15,490323;5;
2015-02-28;null;157,8;25,092857;18,975714;14,671429;3;
2015-03-31;null;214;23,267742;17,77871;13,780645;3;
2015-04-30;null;121,2;20,86;15,242;11,06;3;
2015-05-31;null;181,8;18,245161;13,149677;9,219355;5;
2015-06-30;null;179,3;17,496667;11,266;6,053333;5;
2015-07-31;null;355,2;17,177419;11,716129;7,63871;9;
2015-08-31;null;98,8;22,122581;15,580645;10,625806;3;
2015-09-30;null;416,1;19,446667;13,356;8,92;9;
2015-10-31;null;350,4;20,070968;14,68;10,3;9;
2015-11-30;null;126,6;21,073333;15,731333;11,58;7;
2015-12-31;null;206,5;24,690323;19,080645;14,677419;5;
2016-01-31;null;136;25,580645;19,465806;14,758065;3;
2016-02-29;null;107,3;25,917241;19,975172;15,555172;5;
2016-03-31;null;208,6;22,848387;17,322581;13,170968;5;
2016-04-30;null;210,9;24,503704;19,474783;14,276;3;
2016-05-31;null;78;15,712903;10,766452;6,7;5;
2016-06-30;null;15,8;14,583333;7,416667;1,766667;5;
2016-07-31;null;243,6;17,377419;10,50129;5,23871;12;
2016-08-31;null;161,4;17,993548;11,912903;7,264516;3;
2016-09-30;null;73,6;19,143333;11,921333;6,35;12;
2016-10-31;null;292;19,922581;14,12129;9,4;9;
2016-11-30;null;66,4;22,86;15,932;9,853333;5;
2016-12-31;null;195,2;24,883871;18,652258;13,696774;3;
2017-01-31;null;173,2;25,677419;19,846452;15,5;3;
2017-02-28;null;118,9;26,471429;20,549286;15,925;5;
2017-03-31;null;126;23,332258;17,545161;13,709677;5;
2017-04-30;null;105,1;20,076667;14,998667;10,88;7;
2017-05-31;null;232,7;18,190323;13,724516;10,458065;5;
2017-06-30;null;176,8;18,113333;11,768;7,203333;9;
2017-07-31;null;12,6;19,541935;12,169032;6,787097;5;
2017-08-31;null;111,3;19,706452;12,849677;7,790323;5;
2017-09-30;null;144,6;23,503333;16,78;11,79;5;
2017-10-31;null;224,1;20,964516;15,272903;10,412903;5;
2017-11-30;null;166,9;21,776667;15,34;10,06;5;
2017-12-31;null;99,8;24,909677;18,260645;13,406452;7;
2018-01-31;null;162,3;23,848387;18,542581;14,590323;3;
2018-02-28;null;125,3;24,110714;17,665;13,096429;3;
2018-03-31;null;172,3;24,283871;18,090968;13,641935;3;
2018-04-30;null;85,4;23,433333;17,356;12,8;3;
2018-05-31;null;93,4;19,283871;13,250968;8,993548;5;
2018-06-30;null;213,7;16,8;10,697333;6,336667;9;
2018-07-31;null;214,4;17,635484;11,873548;7,635484;9;
2018-08-31;null;102,1;17,083871;10,464516;5,248387;12;
2018-09-30;null;184,7;19,513333;14,499333;10,64;3;
2018-10-31;null;302;20,177419;14,510968;10,3;5;
2018-11-30;null;119;23,65;16,864667;11,463333;5;
2018-12-31;null;161,1;25,745161;18,410968;13,387097;3;
2019-01-31;null;308,4;27,374194;21,069677;16,8;3;
2019-02-28;null;205,4;24,25;18,152143;13,867857;5;
2019-03-31;null;131,5;22,516129;17,230968;13,403226;3;
2019-04-30;null;167,6;21,976667;16,502667;12,556667;9;
2019-05-31;null;260,4;19,16129;14,564516;11,354839;3;
2019-06-30;null;20,4;20,16;13,964;9,436667;5;
2019-07-31;null;107,6;16,758065;10,783226;6,458065;5;
2019-08-31;null;57,6;18,812903;11,414194;6,048387;5;
2019-09-30;null;88,7;20,17;13,480667;8,433333;3;
2019-10-31;null;279,9;22,43871;16,272903;11,63871;5;
2019-11-30;null;137,8;22,746667;16,668667;11,813333;3;
2019-12-31;null;null;null;null;null;null;

