Nome: TRIUNFO
Codigo Estacao: 83954
Latitude: -29.869757
Longitude: -51.379201
Altitude: 23.6
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2013-06-29
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;7;110,6;30,482759;24,081379;19,224138;8;
2008-02-29;10;87,5;29,682759;23,515172;19,048276;4,5;
2008-03-31;8;79,6;29,856667;23,545333;18,64;6,3;
2008-04-30;12;147,2;25,735714;19,484286;14,585714;6,6;
2008-05-31;8;172,6;22,006452;16,565333;11,980645;5,8;
2008-06-30;17;131,3;17,444828;13,035172;9,686207;13,3;
2008-07-31;11;160,1;21,029032;16,120645;12,541935;7,5;
2008-08-31;12;153,3;20,851613;15,042581;10,532258;8,6;
2008-09-30;10;167,2;21,136667;15,724;11,27;9,8;
2008-10-31;17;219,1;24,151613;19,120645;15,174194;5,5;
2008-11-30;6;20,5;27,906667;21,682667;16,34;8,3;
2008-12-31;12;165,9;29,296774;22,788387;17,906452;4,6;
2009-01-31;12;172,4;29,345161;23,185806;18,219355;8,4;
2009-02-28;14;121,9;30,646429;24,187143;18,921429;8,3;
2009-03-31;11;63,5;29,235484;23,237419;18,96129;6,8;
2009-04-30;4;14,7;27,486667;20,374;15,29;5;
2009-05-31;9;83,4;23,977419;17,636129;13,083871;6,6;
2009-06-30;10;41,8;18,7;13,015333;8,383333;8,3;
2009-07-31;9;71,8;17,429032;11,556129;6,516129;6,1;
2009-08-31;12;242,5;23,148387;16,656129;11,3;6;
2009-09-30;17;335,5;21,36;16,736;13,006667;6,8;
2009-10-31;7;147,2;25,2;18,623226;13,451613;6,6;
2009-11-30;18;322;27,856667;22,868667;18,07;8,5;
2009-12-31;14;129,8;29,07;23,39;17,966667;7,6;
2010-01-31;13;142,5;30,606452;24,988387;20,303226;5,5;
2010-02-28;13;141,4;32,603571;25,967857;21,167857;5,5;
2010-03-31;13;115,9;28,993548;23,346452;19,174194;5,5;
2010-04-30;14;93,8;25,586667;19,558667;14,783333;5,5;
2010-05-31;17;88,7;21,277419;16,847742;13,122581;6,1;
2010-06-30;13;180;20,896667;14,861333;10,533333;4,6;
2010-07-31;13;191,8;20,012903;14,163226;9,429032;6,3;
2010-08-31;12;78,7;20,03871;14,407097;9,83871;8,6;
2010-09-30;13;228,2;22,276667;17,206;12,963333;7,3;
2010-10-31;8;51,1;23,883333;18,086667;13,183333;9,8;
2010-11-30;9;92,8;27,886667;20,798667;15,343333;7,8;
2010-12-31;10;78,9;29,616129;23,067097;17,787097;7,5;
2011-01-31;14;67,8;32,074194;25,771613;21,432258;8;
2011-02-28;16;189;29,542857;24,41;20,410714;6,6;
2011-03-31;11;214,7;28,651613;22,274194;17,125806;4,6;
2011-04-30;13;200,1;25,853333;19,911333;15,58;4,6;
2011-05-31;11;24,4;21,529032;16,106452;11,632258;6;
2011-06-30;11;110,5;19,11;13,663333;9,34;13,3;
2011-07-31;17;243,1;18,348387;12,983871;8,754839;5,3;
2011-08-31;21;225;19,670968;14,361935;10,051613;8,5;
2011-09-30;8;61,5;23,55;16,626667;10,89;5,8;
2011-10-31;11;158,3;25,53871;19,541935;15,029032;7,8;
2011-11-30;4;17;28,553333;21,304667;15,706667;6,9;
2011-12-31;8;70,3;29,422581;22,391613;17,216129;6,6;
2012-01-31;6;131,5;31,132258;24,129677;18,725806;5;
2012-02-29;11;206,6;33,165517;25,985;21,482759;5;
2012-03-31;8;102,1;29,412903;22,724516;17,716129;5,8;
2012-04-30;7;76,4;25,383333;19,277333;14,956667;5;
2012-05-31;2;45,8;25,1;18,015484;12,83871;5,6;
2012-06-30;7;27,4;20,47;14,519333;9,443333;6,8;
2012-07-31;12;163,7;18,951613;13,023871;8,809677;5;
2012-08-31;13;88;25,948387;18,768387;14,093548;null;
2012-09-30;11;253,7;24,416667;17,933333;13,206667;8,1;
2012-10-31;13;178,9;26,319355;20,713548;16,303226;7,9;
2012-11-30;7;58,2;29,665517;22,564138;16,734483;7,7;
2012-12-31;1;208,7;32,062069;25,302759;19,9;7;
2013-01-31;null;135;29,890323;23,422581;18,225806;5;
2013-02-28;null;111,1;30,946429;24,359286;19,628571;4,9;
2013-03-31;null;100,2;26,706452;21,125806;16,612903;4,4;
2013-04-30;null;87;26,727586;19,766897;14,348276;7,1;
2013-05-31;null;67,1;24,030435;16,61619;11,765517;18;
2013-06-30;null;107,6;20,041379;14,193793;9,596667;9,3;

