Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.02027777
Longitude: -51.22472221
Altitude: 46.97
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;9;105;30,403226;24,458065;20,051613;5;
2008-02-29;10;72,1;29,755172;23,966207;20,024138;5;
2008-03-31;11;75,1;29,703226;23,829032;19,73871;5;
2008-04-30;17;125,2;25,603333;19,646;15,613333;3,6;
2008-05-31;11;220,7;22,345161;16,645161;12,822581;5,3;
2008-06-30;18;124,8;18,09;13,014;9,82;7,5;
2008-07-31;14;138,4;21,216129;16,216129;13,058065;4,6;
2008-08-31;14;121,9;21,090323;15,473548;11,435484;6,1;
2008-09-30;10;156,5;21,33;15,962667;12,063333;7,5;
2008-10-31;16;219,5;24,141935;19,252258;15,764516;5,1;
2008-11-30;12;21,8;27,833333;21,861333;17,686667;6,6;
2008-12-31;12;120,6;29,135484;23,121935;18,445161;6;
2009-01-31;14;169,6;29,045161;23,553548;19,429032;6;
2009-02-28;14;111,4;30,232143;24,718571;20,689286;5,8;
2009-03-31;12;72,6;29,245161;23,670323;20,019355;5,5;
2009-04-30;4;31;27,55;20,844;16,23;6,3;
2009-05-31;14;106,1;23,887097;17,748387;13,712903;7,6;
2009-06-30;13;57,1;18,863333;13,277333;9,646667;6,5;
2009-07-31;11;57,2;17,503226;11,959355;8,03871;5,8;
2009-08-31;13;264,5;23,135484;16,693548;11,832258;6,3;
2009-09-30;17;293,7;21,99;17,048667;13,806667;5,1;
2009-10-31;12;125;25,125806;18,917419;14,467742;4,3;
2009-11-30;19;287,6;27,966667;23,22;19,756667;6,6;
2009-12-31;14;143,8;28,954839;23,76129;19,935484;8;
2010-01-31;15;173,7;30,277419;25,144516;21,245161;4,5;
2010-02-28;11;110,9;32,410714;26,442143;22,225;6,1;
2010-03-31;17;103,1;28,967742;23,689677;19,748387;6,6;
2010-04-30;13;71,6;25,983333;20,157333;15,68;4,1;
2010-05-31;23;119,9;21,448387;17,282581;14,316129;7,4;
2010-06-30;12;204,6;20,46;15,063333;11,143333;6,2;
2010-07-31;12;170,2;20,748387;14,445161;10,016129;6,4;
2010-08-31;11;95,5;19,996774;14,627097;10,945161;6,1;
2010-09-30;13;180,8;22,003333;17,524667;14,28;12,9;
2010-10-31;8;57,8;23,932258;18,407097;14,022581;7,3;
2010-11-30;9;72,1;27,516667;21,008667;16,126667;10;
2010-12-31;10;92,9;29,741935;23,572258;18,977419;7,6;
2011-01-31;15;135,7;32,022581;26,165806;22,564516;7,5;
2011-02-28;16;119,5;30,189286;25,071429;21,725;6,9;
2011-03-31;10;83,1;28,841935;22,983871;19,174194;9,3;
2011-04-30;14;172,7;26,693333;20,448;16,526667;6,9;
2011-05-31;14;50,1;22,229032;16,603871;13,216129;7;
2011-06-30;12;109,6;18,823333;13,682;10,41;9,6;
2011-07-31;18;225,7;18,36129;13,18129;9,980645;8;
2011-08-31;19;182,3;19,948387;14,746452;11,412903;12,3;
2011-09-30;9;53;23,51;16,71;11,966667;8,3;
2011-10-31;11;123,7;25,780645;19,845161;15,803226;9,4;
2011-11-30;4;13,7;28,843333;21,906;17,046667;9,6;
2011-12-31;11;52,1;29,629032;22,880645;18,396774;9,8;
2012-01-31;9;166;31,251613;24,762581;20,164516;8,4;
2012-02-29;11;139,5;33,572414;26,597241;22,3;7,1;
2012-03-31;9;122,7;30,33871;23,549032;18,780645;8,5;
2012-04-30;10;77,1;26,113333;19,863333;16,016667;8;
2012-05-31;8;35,7;25,46129;18,587097;14,425806;7,1;
2012-06-30;12;31,9;21,25;14,76;10,546667;8,2;
2012-07-31;10;144,9;19,712903;13,310968;9,196774;12;
2012-08-31;12;93,6;26,254839;19,1;14,56129;6;
2012-09-30;12;273,7;24,04;18,199333;14,163333;9,6;
2012-10-31;11;121,1;27,074194;21,249032;17,351613;6,3;
2012-11-30;6;26;30,29;23,300667;18,103333;9,1;
2012-12-31;11;196;32,774194;25,670323;20,135484;7;
2013-01-31;8;106,1;31,419355;24,201935;19,06129;7,8;
2013-02-28;12;112,8;30,307143;24,578571;20,810714;9,6;
2013-03-31;13;78;26,845161;21,727742;18,235484;7,2;
2013-04-30;12;108,9;26,463333;20,280667;16,066667;8,2;
2013-05-31;12;65,3;22,235484;16,44;12,748387;6,3;
2013-06-30;21;100,7;19,46;14,557333;11,49;8,1;
2013-07-31;9;115,9;19,854839;13,625806;9,416129;6,5;
2013-08-31;19;247,4;19,454839;13,703226;9,76129;7,1;
2013-09-30;13;135,3;23,226667;17,52;13,64;7,4;
2013-10-31;11;131,8;24,941935;19,22129;15,006452;8,4;
2013-11-30;10;184,6;28,59;22,302667;17,47;8,1;
2013-12-31;9;76,6;31,335484;24,914194;20,270968;7,7;
2014-01-31;4;76,8;33,087097;26,620645;21,925806;7,4;
2014-02-28;null;147,7;32,346429;26,170714;21,846429;9,8;
2014-03-31;null;126,4;28,277419;23,077419;19,412903;7,2;
2014-04-30;null;83,5;26,476667;21,084667;17,406667;7,7;
2014-05-31;null;71;21,680645;16,76129;13,674194;8,1;
2014-06-30;null;228,6;19,873333;15,248667;12,11;13;
2014-07-31;null;253,5;21,167742;15,331613;11,293548;6;
2014-08-31;null;129,1;22,803226;15,929677;11,506452;6,8;
2014-09-30;null;154,2;23,996667;18,626667;14,876667;5,1;
2014-10-31;null;185,3;26,729032;21,093548;16,974194;4,7;
2014-11-30;null;101,9;28,876667;22,920667;18,423333;4;
2014-12-31;null;172,2;29,587097;24,370968;20,364516;4,6;
2015-01-31;null;160,4;30,890323;25,549677;21,658065;4,4;
2015-02-28;null;95;30,232143;24,875714;21,171429;4,3;
2015-03-31;null;52,9;29,522581;23,98;20,125806;5;
2015-04-30;null;72,5;26,796667;21,016;17,083333;4,6;
2015-05-31;null;136;23,612903;18,183871;14,751613;6,3;
2015-06-30;null;170;21,176667;15,414667;11,586667;4;
2015-07-31;null;309,2;20,2;15,614839;12,680645;5,3;
2015-08-31;null;108,9;26,167742;20,165806;16,216129;5,3;
2015-09-30;null;184;22,083333;17,242;13,826667;4,8;
2015-10-31;null;307,3;23,609677;18,817419;15,4;5,1;
