Nome: SANTA VITORIA DO PALMAR
Codigo Estacao: 83997
Latitude: -33.53166666
Longitude: -53.35027777
Altitude: 24.01
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;9;27;27,222581;22,410968;18,519355;10;
2008-02-29;12;49,4;27,434483;22,411724;18,924138;8;
2008-03-31;11;98;26,416129;21,272258;17,564516;8;
2008-04-30;9;44,4;23,956667;17,300667;12,86;12;
2008-05-31;11;219,7;19,764516;14,527097;11,019355;12;
2008-06-30;12;88,8;15,586667;11,286;8,286667;10;
2008-07-31;8;43,2;18,487097;13,839355;10,958065;17;
2008-08-31;9;85,9;17,493548;12,083871;8,058065;12;
2008-09-30;5;38;17,926667;13,698;10,626667;12;
2008-10-31;5;13,3;21,835484;16,423871;12,193548;12;
2008-11-30;4;11,3;25,873333;20,274;16,14;12;
2008-12-31;11;95,6;25,967742;20,986452;16,883871;9;
2009-01-31;9;96,8;27,496774;22,343226;18,367742;12;
2009-02-28;8;81,7;27,775;22,354286;18,307143;12;
2009-03-31;13;154,1;26,683871;21,821935;18,212903;12;
2009-04-30;4;18,8;24,503333;18,201333;13,61;9;
2009-05-31;11;134,5;21,229032;15,457419;11,451613;14;
2009-06-30;10;59,2;15,876667;10,989333;7,843333;12;
2009-07-31;5;29,2;14,46129;9,442581;6,132258;17;
2009-08-31;7;109,8;19,374194;13,781935;9,683871;9;
2009-09-30;9;65,1;17,553333;13,542;10,66;12;
2009-10-31;6;144,5;20,177419;15,216;10,890323;12;
2009-11-30;15;160,2;23,78;19,232667;15,716667;14;
2009-12-31;11;99,2;24,432258;20,510968;17,383871;10;
2010-01-31;10;81,9;28,06129;23,017419;18,783871;12;
2010-02-28;14;273,2;27,596429;23,227857;19,835714;10;
2010-03-31;7;134,2;26,806452;21,665161;17,777419;9;
2010-04-30;11;128,6;23,77;18,117333;14,083333;17;
2010-05-31;9;47,3;20,290323;16,02129;13,06129;10;
2010-06-30;8;65,2;16,99;12,282;8,976667;10;
2010-07-31;12;154,9;16,019355;11,238065;7,709677;12;
2010-08-31;6;42,6;16,512903;11,565806;7,951613;14;
2010-09-30;11;137,4;18,836667;14,174667;10,993333;17;
2010-10-31;3;19,2;20,816129;15,47871;11,180645;14;
2010-11-30;7;65,3;23,026667;17,154667;12,7;9;
2010-12-31;6;26,3;27,867742;21,585161;16,693548;9;
2011-01-31;11;75,7;29,058065;23,604516;19,596774;9;
2011-02-28;8;118,3;26,867857;22,172857;18,571429;9;
2011-03-31;7;73,5;25,6;20,583226;16,822581;12;
2011-04-30;10;160,6;23,603333;18,134;14,05;9;
2011-05-31;12;178,6;19,203226;14,225161;10,812903;9;
2011-06-30;8;117,7;16,216667;11,585333;8,533333;12;
2011-07-31;16;128,5;14,46129;10,100645;7,080645;12;
2011-08-31;12;159,4;15,23871;11,284516;8,190323;10;
2011-09-30;4;62,4;18,716667;13,612;9,733333;12;
2011-10-31;11;123;20,651613;15,897419;12,683871;12;
2011-11-30;3;16,5;24,656667;19,138667;14,656667;14;
2011-12-31;11;48,1;24,729032;19,992258;16,148387;9;
2012-01-31;5;13,1;28,354839;22,576129;18,070968;10;
2012-02-29;12;139,8;28,193103;23,425517;19,917241;9;
2012-03-31;10;63,8;26,412903;20,88129;16,767742;10;
2012-04-30;9;39;22,72;17,013333;13,186667;9;
2012-05-31;11;16;22,322581;16,647097;13,264516;10;
2012-06-30;11;120;16,656667;11,223333;7,463333;12;
2012-07-31;7;41,3;14,703226;8,879355;4,896774;9;
2012-08-31;12;96,4;19,119355;14,557419;11,332258;10;
2012-09-30;1;31,2;19,85;14,664;10,91;20;
2012-10-31;10;111,8;21,9;17,516774;14,567742;17;
2012-11-30;10;41,4;25,403333;20,241333;16,393333;7;
2012-12-31;8;187,6;28,16129;22,689032;18,2;7;
2013-01-31;7;27,5;27,754839;22,187097;17,619355;10;
2013-02-28;10;222;26,685714;22,052857;18,553571;9;
2013-03-31;5;52,3;24,33871;18,999355;14,693548;9;
2013-04-30;11;111,7;23,023333;17,804667;14,226667;9;
2013-05-31;15;113,9;18,516129;13,993548;10,909677;8;
2013-06-30;9;33,2;16,893333;11,495333;7,803333;9;
2013-07-31;12;90,5;15,606452;10,86;7,680645;10;
2013-08-31;10;114,9;15,809677;10,701935;7,229032;10;
2013-09-30;14;223,8;19,46;14,447333;11,096667;12;
2013-10-31;10;29,3;21,503226;16,45871;12,525806;9;
2013-11-30;11;88,6;23,786667;19,136667;15,936667;10;
2013-12-31;5;59,7;29,316129;22,918065;18,06129;10;
2014-01-31;2;187,3;28,835484;23,749677;20;12;
2014-02-28;null;143,6;27,217857;23,030714;20,453571;7;
2014-03-31;null;101,5;25,003226;20,049032;16,6;10;
2014-04-30;null;87,4;22,716667;17,942667;14,766667;10;
2014-05-31;null;98;19,025806;14,353548;11,358065;9;
2014-06-30;null;126,3;16,886667;12,473333;9,306667;10;
2014-07-31;null;131,5;17,106452;12,830323;10,090323;12;
2014-08-31;null;23,6;18,254839;13,126452;9,706452;12;
2014-09-30;null;192,6;19,486667;15,216;11,9;8;
2014-10-31;null;139;22,870968;18,394839;15,03871;8;
2014-11-30;null;65,5;24,296667;19,705333;15,82;10;
2014-12-31;null;112,7;26,745161;21,718065;17,941935;null;
2015-01-31;null;199,9;28,109677;23,067742;19,129032;null;
2015-02-28;null;43,6;27,553571;22,804286;19,085714;null;
2015-03-31;null;13,6;27,325806;21,757419;17,587097;null;
2015-04-30;null;10,6;25,753333;19,005333;14,453333;null;
