"Extracted:,""United Nations High Commissioner for Refugees"""
"Date extracted:,""22/11/2020 07:13"""
"Last updated:,""22/11/2020 07:13"""
Last Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data.

"Data table contains the following:,""Population figures"""
"Content type,""End year stock population totals"""
Data quick link,https://www.unhcr.org/refugee-statistics/download/?url=s1bN
Data definitions,https://www.unhcr.org/refugee-statistics-2/methodology/
Usage licence,https://creativecommons.org/licenses/by/4.0/
"Population types included,""REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"""
Years:
Origin:
Country of asylum::
"Year,""Country of origin"",""Country of origin (ISO)"",""Country of asylum"",""Country of asylum (ISO)"",""Refugees under UNHCR’s mandate"",Asylum-seekers,""IDPs of concern to UNHCR"",""Venezuelans displaced abroad"",""Stateless persons"",""Others of concern"""
1971,Brazil,BRA,Chile,CHL,2000,0,0,,0,0
1972,Brazil,BRA,Chile,CHL,2000,0,0,,0,0
1980,Brazil,BRA,Italy,ITA,5,0,0,,0,0
1981,Brazil,BRA,Italy,ITA,5,0,0,,0,0
1982,Brazil,BRA,Italy,ITA,5,0,0,,0,0
1983,Brazil,BRA,Italy,ITA,5,0,0,,0,0
1984,Brazil,BRA,Italy,ITA,5,0,0,,0,0
1985,Brazil,BRA,Italy,ITA,5,0,0,,0,0
1986,Brazil,BRA,Italy,ITA,5,0,0,,0,0
1989,Brazil,BRA,Denmark,DNK,6,0,0,,0,0
1990,Brazil,BRA,Denmark,DNK,5,0,0,,0,0
1990,Brazil,BRA,Sweden,SWE,10,0,0,,0,0
1991,Brazil,BRA,Sweden,SWE,11,0,0,,0,0
1992,Brazil,BRA,Sweden,SWE,11,0,0,,0,0
1993,Brazil,BRA,Sweden,SWE,9,0,0,,0,0
1994,Brazil,BRA,Canada,CAN,27,0,0,,0,0
1994,Brazil,BRA,Sweden,SWE,9,0,0,,0,0
"1994,Brazil,BRA,""United States of America"",USA,5,0,0,,0,0"
1995,Brazil,BRA,Canada,CAN,24,0,0,,0,0
1995,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
"1995,Brazil,BRA,""United States of America"",USA,21,0,0,,0,0"
1996,Brazil,BRA,Australia,AUS,11,0,0,,0,0
1996,Brazil,BRA,Canada,CAN,20,0,0,,0,0
1996,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
"1996,Brazil,BRA,""United States of America"",USA,46,0,0,,0,0"
1997,Brazil,BRA,Australia,AUS,16,0,0,,0,0
1997,Brazil,BRA,Canada,CAN,20,0,0,,0,0
1997,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
"1997,Brazil,BRA,""United States of America"",USA,60,0,0,,0,0"
1998,Brazil,BRA,Australia,AUS,19,0,0,,0,0
1998,Brazil,BRA,Canada,CAN,18,0,0,,0,0
1998,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
"1998,Brazil,BRA,""United States of America"",USA,90,0,0,,0,0"
1999,Brazil,BRA,Australia,AUS,17,0,0,,0,0
1999,Brazil,BRA,Canada,CAN,19,0,0,,0,0
1999,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
"1999,Brazil,BRA,""United States of America"",USA,151,0,0,,0,0"
2000,Brazil,BRA,Australia,AUS,15,16,0,,0,0
2000,Brazil,BRA,Canada,CAN,32,55,0,,0,0
2000,Brazil,BRA,Netherlands,NLD,0,5,0,,0,0
"2000,Brazil,BRA,""United States of America"",USA,173,573,0,,0,0"
2001,Brazil,BRA,Australia,AUS,13,28,0,,0,0
2001,Brazil,BRA,Canada,CAN,38,198,0,,0,0
2001,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
"2001,Brazil,BRA,""United States of America"",USA,195,568,0,,0,0"
2002,Brazil,BRA,Australia,AUS,11,36,0,,0,0
2002,Brazil,BRA,Canada,CAN,40,570,0,,0,0
2002,Brazil,BRA,Germany,DEU,150,0,0,,0,0
2002,Brazil,BRA,Sweden,SWE,0,10,0,,0,0
2002,Brazil,BRA,Switzerland,CHE,6,5,0,,0,0
"2002,Brazil,BRA,""United States of America"",USA,231,527,0,,0,0"
2003,Brazil,BRA,Australia,AUS,9,18,0,,0,0
2003,Brazil,BRA,Canada,CAN,36,671,0,,0,0
2003,Brazil,BRA,Germany,DEU,164,0,0,,0,0
2003,Brazil,BRA,Ireland,IRL,0,11,0,,0,0
2003,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
"2003,Brazil,BRA,""New Zealand"",NZL,0,5,0,,0,0"
2003,Brazil,BRA,Sweden,SWE,0,5,0,,0,0
2003,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
"2003,Brazil,BRA,""United States of America"",USA,158,556,0,,0,0"
2004,Brazil,BRA,Australia,AUS,8,0,0,,0,0
2004,Brazil,BRA,Canada,CAN,30,124,0,,0,0
2004,Brazil,BRA,Germany,DEU,154,0,0,,0,0
2004,Brazil,BRA,Ireland,IRL,0,5,0,,0,0
2004,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
"2004,Brazil,BRA,""New Zealand"",NZL,0,5,0,,0,0"
2004,Brazil,BRA,Switzerland,CHE,6,0,0,,0,0
"2004,Brazil,BRA,""United States of America"",USA,198,877,0,,0,0"
2005,Brazil,BRA,Australia,AUS,7,5,0,,0,0
2005,Brazil,BRA,Canada,CAN,79,89,0,,0,0
2005,Brazil,BRA,Germany,DEU,12,0,0,,0,0
2005,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
"2005,Brazil,BRA,""New Zealand"",NZL,0,5,0,,0,0"
2005,Brazil,BRA,Sweden,SWE,0,5,0,,0,0
2005,Brazil,BRA,Switzerland,CHE,6,0,0,,0,0
"2005,Brazil,BRA,""United States of America"",USA,261,486,0,,0,0"
2006,Brazil,BRA,Australia,AUS,6,0,0,,0,0
2006,Brazil,BRA,Canada,CAN,110,54,0,,0,0
2006,Brazil,BRA,France,FRA,7,0,0,,0,0
2006,Brazil,BRA,Germany,DEU,135,5,0,,0,0
2006,Brazil,BRA,Ireland,IRL,0,5,0,,0,0
2006,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
2006,Brazil,BRA,Sweden,SWE,0,5,0,,0,0
2006,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
"2006,Brazil,BRA,""United States of America"",USA,435,360,0,,0,0"
2007,Brazil,BRA,Australia,AUS,15,0,0,,0,0
2007,Brazil,BRA,Canada,CAN,165,96,0,,0,0
2007,Brazil,BRA,France,FRA,9,0,0,,0,0
2007,Brazil,BRA,Germany,DEU,913,0,0,,0,0
2007,Brazil,BRA,Ireland,IRL,5,5,0,,0,0
2007,Brazil,BRA,Italy,ITA,5,0,0,,0,0
2007,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
2007,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
"2007,Brazil,BRA,""United States of America"",USA,501,197,0,,0,0"
2008,Brazil,BRA,Australia,AUS,10,0,0,,0,0
2008,Brazil,BRA,Canada,CAN,176,154,0,,0,0
2008,Brazil,BRA,France,FRA,9,0,0,,0,0
2008,Brazil,BRA,Germany,DEU,658,0,0,,0,0
2008,Brazil,BRA,Ireland,IRL,5,15,0,,0,0
2008,Brazil,BRA,Italy,ITA,5,0,0,,0,0
2008,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
2008,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
"2008,Brazil,BRA,""United States of America"",USA,528,189,0,,0,0"
2009,Brazil,BRA,Australia,AUS,9,0,0,,0,0
2009,Brazil,BRA,Canada,CAN,168,178,0,,0,0
2009,Brazil,BRA,Ecuador,ECU,0,5,0,,0,0
2009,Brazil,BRA,France,FRA,9,0,0,,0,0
"2009,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,5,0,0,,0,0"
2009,Brazil,BRA,Germany,DEU,163,0,0,,0,0
2009,Brazil,BRA,Ireland,IRL,5,0,0,,0,0
2009,Brazil,BRA,Italy,ITA,10,0,0,,0,0
2009,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
"2009,Brazil,BRA,""New Zealand"",NZL,0,5,0,,0,0"
2009,Brazil,BRA,Sweden,SWE,0,5,0,,0,0
2009,Brazil,BRA,Switzerland,CHE,6,0,0,,0,0
"2009,Brazil,BRA,""United States of America"",USA,593,166,0,,0,0"
2010,Brazil,BRA,Australia,AUS,8,5,0,,0,0
2010,Brazil,BRA,Canada,CAN,168,179,0,,0,0
2010,Brazil,BRA,Ecuador,ECU,0,11,0,,0,0
2010,Brazil,BRA,France,FRA,8,0,0,,0,0
"2010,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,8,0,0,,0,0"
2010,Brazil,BRA,Germany,DEU,143,0,0,,0,0
2010,Brazil,BRA,Ireland,IRL,5,10,0,,0,0
2010,Brazil,BRA,Italy,ITA,11,0,0,,0,0
2010,Brazil,BRA,Netherlands,NLD,5,0,0,,0,0
"2010,Brazil,BRA,""New Zealand"",NZL,0,5,0,,0,0"
2010,Brazil,BRA,Switzerland,CHE,7,0,0,,0,0
"2010,Brazil,BRA,""United States of America"",USA,628,31,0,,0,0"
2011,Brazil,BRA,Australia,AUS,7,10,0,,0,0
2011,Brazil,BRA,Canada,CAN,169,95,0,,0,0
2011,Brazil,BRA,Ecuador,ECU,0,5,0,,0,0
2011,Brazil,BRA,France,FRA,8,0,0,,0,0
"2011,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,9,21,0,,0,0"
2011,Brazil,BRA,Germany,DEU,159,5,0,,0,0
2011,Brazil,BRA,Ireland,IRL,5,12,0,,0,0
2011,Brazil,BRA,Italy,ITA,11,0,0,,0,0
2011,Brazil,BRA,Japan,JPN,0,5,0,,0,0
2011,Brazil,BRA,Norway,NOR,0,10,0,,0,0
2011,Brazil,BRA,Sweden,SWE,5,0,0,,0,0
2011,Brazil,BRA,Switzerland,CHE,5,0,0,,0,0
"2011,Brazil,BRA,""United States of America"",USA,662,36,0,,0,0"
2012,Brazil,BRA,Australia,AUS,6,10,0,,0,0
2012,Brazil,BRA,Canada,CAN,175,73,0,,0,0
2012,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
2012,Brazil,BRA,France,FRA,8,0,0,,0,0
"2012,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,9,16,0,,0,0"
2012,Brazil,BRA,Germany,DEU,163,5,0,,0,0
2012,Brazil,BRA,Ireland,IRL,5,13,0,,0,0
2012,Brazil,BRA,Italy,ITA,12,12,0,,0,0
2012,Brazil,BRA,Sweden,SWE,5,0,0,,0,0
2012,Brazil,BRA,Switzerland,CHE,6,0,0,,0,0
2012,Brazil,BRA,Uruguay,URY,0,5,0,,0,0
"2012,Brazil,BRA,""United States of America"",USA,679,110,0,,0,0"
2013,Brazil,BRA,Australia,AUS,5,5,0,,0,0
2013,Brazil,BRA,Canada,CAN,177,25,0,,0,0
2013,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
2013,Brazil,BRA,Finland,FIN,0,5,0,,0,0
2013,Brazil,BRA,France,FRA,8,5,0,,0,0
"2013,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,12,21,0,,0,0"
2013,Brazil,BRA,Germany,DEU,66,10,0,,0,0
2013,Brazil,BRA,Ireland,IRL,5,15,0,,0,0
2013,Brazil,BRA,Italy,ITA,18,5,0,,0,0
