"Area,""Area Id"",""Variable Name"",""Variable Id"",""Year"",""Value"",""Symbol"",""Md"""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,1962,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,1967,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,1972,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,1977,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,1982,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,1987,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,1992,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,1997,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,2002,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,2007,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,2012,851577.0,""E"","""","""""	
"Brazil,21,""Total area of the country (excl. coastal waters)"",4100,2016,851577.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,1962,24000.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,1967,30000.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,1972,38000.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,1977,44000.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,1982,47000.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,1987,49500.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,1992,51803.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,1997,57788.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,2002,61504.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,2007,68388.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,2012,72607.0,""E"","""","""""	
"Brazil,21,""Arable land area"",4101,2016,80976.0,""E"","""","""""	
"Brazil,21,""Permanent crops area"",4102,1962,6213.0,""E"","""","""""	
"Brazil,21,""Permanent crops area"",4102,1967,6189.0,""E"","""","""""	
