"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1990"",4.333,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1991"",4.476,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1992"",4.444,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1993"",3.889,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1994"",6.4,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1995"",4.542,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1996"",6.245,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1997"",6.932,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1998"",6.032,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""1999"",6.215,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2000"",6.154,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2001"",6.15,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2002"",7.15,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2003"",6.707,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2004"",7.029,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2005"",7.228,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2006"",10.567,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2007"",10.267,"
"IRN,""CROPYIELD"",""MAIZE"",""TONNE_HA"",""A"",""2008"",7.805,"
