South America Temperature Anomalies, February-January
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1940,-0.05
1941,0.10
1942,0.15
1943,-0.16
1944,-0.20
1945,0.17
1946,0.04
1947,-0.01
1948,-0.11
1949,-0.02
1950,-0.19
1951,-0.21
1952,0.05
1953,-0.01
1954,0.16
1955,-0.15
1956,-0.40
1957,-0.43
1958,0.11
1959,0.26
1960,0.12
1961,0.02
1962,0.19
1963,-0.01
1964,0.23
1965,-0.15
1966,0.20
1967,0.09
1968,0.12
1969,0.00
1970,0.47
1971,0.22
1972,-0.12
1973,0.29
1974,0.17
1975,-0.13
1976,-0.01
1977,-0.03
1978,0.40
1979,0.27
1980,0.26
1981,0.41
1982,0.29
1983,0.47
1984,0.51
1985,0.16
1986,0.30
1987,0.43
1988,0.71
1989,0.30
1990,0.29
1991,0.42
1992,0.51
1993,0.35
1994,0.50
1995,0.68
1996,0.65
1997,0.50
1998,0.88
1999,0.93
2000,0.46
2001,0.35
2002,0.70
2003,0.89
2004,0.79
2005,0.72
2006,0.80
2007,0.84
2008,0.58
2009,0.70
2010,0.96
2011,0.88
2012,0.73
2013,0.96
2014,0.85
2015,1.07
2016,1.44
2017,1.10
2018,1.15
2019,0.99
2020,1.25
