"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WATERABST","TOT","MLN_M3","A","1977",10900,
"AUS","WATERABST","TOT","MLN_M3","A","1985",14600,
"AUS","WATERABST","TOT","MLN_M3","A","1994",15055,
"AUS","WATERABST","TOT","MLN_M3","A","1995",24071,
"AUS","WATERABST","TOT","MLN_M3","A","1997",24071,
"AUS","WATERABST","TOT","MLN_M3","A","2001",22196,
"AUS","WATERABST","TOT","MLN_M3","A","2005",13280,
"AUS","WATERABST","TOT","MLN_M3","A","2009",14619,
"AUS","WATERABST","TOT","MLN_M3","A","2010",13849,
"AUS","WATERABST","TOT","MLN_M3","A","2011",13709,
"AUS","WATERABST","TOT","MLN_M3","A","2012",16354,
"AUS","WATERABST","TOT","MLN_M3","A","2013",20137,
"AUS","WATERABST","TOT","MLN_M3","A","2014",19369,
"AUS","WATERABST","TOT","MLN_M3","A","2015",18173,
"AUS","WATERABST","TOT","MLN_M3","A","2016",16773,
"AUS","WATERABST","TOT","MLN_M3","A","2017",17286,
"AUT","WATERABST","TOT","MLN_M3","A","1975",2620,
"AUT","WATERABST","TOT","MLN_M3","A","1980",3341.93994,
"AUT","WATERABST","TOT","MLN_M3","A","1985",3579.80005,
"AUT","WATERABST","TOT","MLN_M3","A","1990",3806.69141,
"AUT","WATERABST","TOT","MLN_M3","A","1995",3449.42627,
"BEL","WATERABST","TOT","MLN_M3","A","1970",9481,
"BEL","WATERABST","TOT","MLN_M3","A","1994",7010,
"BEL","WATERABST","TOT","MLN_M3","A","1995",8247.7998,
"BEL","WATERABST","TOT","MLN_M3","A","1996",7477.1001,
"BEL","WATERABST","TOT","MLN_M3","A","1997",7574.6001,
"BEL","WATERABST","TOT","MLN_M3","A","1998",7417.8999,
"BEL","WATERABST","TOT","MLN_M3","A","1999",7146.8999,
"BEL","WATERABST","TOT","MLN_M3","A","2000",7536.2002,
"BEL","WATERABST","TOT","MLN_M3","A","2001",6994.8999,
"BEL","WATERABST","TOT","MLN_M3","A","2002",6738.3999,
"BEL","WATERABST","TOT","MLN_M3","A","2003",6666,
"BEL","WATERABST","TOT","MLN_M3","A","2004",6447.1001,
"BEL","WATERABST","TOT","MLN_M3","A","2005",6388.7002,
"BEL","WATERABST","TOT","MLN_M3","A","2006",6444.7998,
"BEL","WATERABST","TOT","MLN_M3","A","2007",6217.2002,
"BEL","WATERABST","TOT","MLN_M3","A","2008",6129.2002,
"BEL","WATERABST","TOT","MLN_M3","A","2009",6005.2998,
"BEL","WATERABST","TOT","MLN_M3","A","2010",5953.12012,
"BEL","WATERABST","TOT","MLN_M3","A","2011",5082.3501,
"BEL","WATERABST","TOT","MLN_M3","A","2012",5300.54004,
"BEL","WATERABST","TOT","MLN_M3","A","2013",4829.0498,
"BEL","WATERABST","TOT","MLN_M3","A","2014",4556.5,
"BEL","WATERABST","TOT","MLN_M3","A","2015",3994.12012,
"CAN","WATERABST","TOT","MLN_M3","A","1972",24057,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1981",37508,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1986",42342,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1989",43888,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1991",45090,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1995",47250,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1996",42214,"E"
"CAN","WATERABST","TOT","MLN_M3","A","2011",31127.9,
"CAN","WATERABST","TOT","MLN_M3","A","2013",32322.9,
"CAN","WATERABST","TOT","MLN_M3","A","2015",30812,
"CZE","WATERABST","TOT","MLN_M3","A","1970",2904,
"CZE","WATERABST","TOT","MLN_M3","A","1980",3621.80005,
"CZE","WATERABST","TOT","MLN_M3","A","1985",3679.3999,
"CZE","WATERABST","TOT","MLN_M3","A","1990",3623.1001,
"CZE","WATERABST","TOT","MLN_M3","A","1992",3176.70679,
"CZE","WATERABST","TOT","MLN_M3","A","1993",3011.76001,
"CZE","WATERABST","TOT","MLN_M3","A","1994",2810.97998,
"CZE","WATERABST","TOT","MLN_M3","A","1995",2743.19995,
"CZE","WATERABST","TOT","MLN_M3","A","1996",2569.69995,
"CZE","WATERABST","TOT","MLN_M3","A","1997",2492.5,"E"
"CZE","WATERABST","TOT","MLN_M3","A","1998",2276.80005,
"CZE","WATERABST","TOT","MLN_M3","A","1999",1975.80005,
"CZE","WATERABST","TOT","MLN_M3","A","2000",1918,"E"
"CZE","WATERABST","TOT","MLN_M3","A","2001",1838.69995,
"CZE","WATERABST","TOT","MLN_M3","A","2002",1908.19995,
"CZE","WATERABST","TOT","MLN_M3","A","2003",2116.1001,
"CZE","WATERABST","TOT","MLN_M3","A","2004",2028,"E"
"CZE","WATERABST","TOT","MLN_M3","A","2005",1948.80005,
"CZE","WATERABST","TOT","MLN_M3","A","2006",1936.19995,
"CZE","WATERABST","TOT","MLN_M3","A","2007",1969.30005,
"CZE","WATERABST","TOT","MLN_M3","A","2008",1988.30005,
"CZE","WATERABST","TOT","MLN_M3","A","2009",1947.19995,
"CZE","WATERABST","TOT","MLN_M3","A","2010",1950.69995,
"CZE","WATERABST","TOT","MLN_M3","A","2011",1886.59998,
"CZE","WATERABST","TOT","MLN_M3","A","2012",1840.80005,
"CZE","WATERABST","TOT","MLN_M3","A","2013",1650.40002,
"CZE","WATERABST","TOT","MLN_M3","A","2014",1649.69995,
"CZE","WATERABST","TOT","MLN_M3","A","2015",1603.09998,
"CZE","WATERABST","TOT","MLN_M3","A","2016",1635.59998,
"CZE","WATERABST","TOT","MLN_M3","A","2017",1630.40002,
"CZE","WATERABST","TOT","MLN_M3","A","2018",1591.09998,
"DNK","WATERABST","TOT","MLN_M3","A","1970",720,
"DNK","WATERABST","TOT","MLN_M3","A","1975",1205,
"DNK","WATERABST","TOT","MLN_M3","A","1977",1205,
"DNK","WATERABST","TOT","MLN_M3","A","1980",1205,
"DNK","WATERABST","TOT","MLN_M3","A","1985",629.59998,
"DNK","WATERABST","TOT","MLN_M3","A","1989",1170,
"DNK","WATERABST","TOT","MLN_M3","A","1990",1261,
"DNK","WATERABST","TOT","MLN_M3","A","1991",907,
"DNK","WATERABST","TOT","MLN_M3","A","1995",887,
"DNK","WATERABST","TOT","MLN_M3","A","1996",961,"E"
"DNK","WATERABST","TOT","MLN_M3","A","1997",932.5,"E"
"DNK","WATERABST","TOT","MLN_M3","A","1998",753.79999,
"DNK","WATERABST","TOT","MLN_M3","A","1999",700.79999,
"DNK","WATERABST","TOT","MLN_M3","A","2000",726.09998,
"DNK","WATERABST","TOT","MLN_M3","A","2001",707.5,"E"
"DNK","WATERABST","TOT","MLN_M3","A","2002",667.90002,
"DNK","WATERABST","TOT","MLN_M3","A","2003",651.09998,
"DNK","WATERABST","TOT","MLN_M3","A","2004",677.20001,
"DNK","WATERABST","TOT","MLN_M3","A","2005",643.79999,
"DNK","WATERABST","TOT","MLN_M3","A","2006",675.79999,
"DNK","WATERABST","TOT","MLN_M3","A","2007",570.59998,
"DNK","WATERABST","TOT","MLN_M3","A","2008",696.09998,
"DNK","WATERABST","TOT","MLN_M3","A","2009",659.79999,
"DNK","WATERABST","TOT","MLN_M3","A","2010",942.65002,
"DNK","WATERABST","TOT","MLN_M3","A","2011",960.59003,
"DNK","WATERABST","TOT","MLN_M3","A","2012",871.96002,
"DNK","WATERABST","TOT","MLN_M3","A","2013",1014.91998,
"DNK","WATERABST","TOT","MLN_M3","A","2014",1012.15503,
"DNK","WATERABST","TOT","MLN_M3","A","2015",937.55499,
"DNK","WATERABST","TOT","MLN_M3","A","2016",886.995,
"DNK","WATERABST","TOT","MLN_M3","A","2017",890.89502,
"DNK","WATERABST","TOT","MLN_M3","A","2018",1074.66003,
"FIN","WATERABST","TOT","MLN_M3","A","1970",3300,
"FIN","WATERABST","TOT","MLN_M3","A","1975",3550,
"FIN","WATERABST","TOT","MLN_M3","A","1980",3700,
"FIN","WATERABST","TOT","MLN_M3","A","1985",4000,
