"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1990",0,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1991",0,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1992",0,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1993",874.827,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1994",1084,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1995",1162,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1996",1144,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1997",1093,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1998",1143,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","1999",1150,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2000",1235,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2001",1596,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2002",1448,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2003",1618,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2004",1614,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2005",2177,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2006",2219,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2007",2463,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2008",2314,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2009",3076,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2010",2856,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2011",2916,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2012",3435,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2013",3925,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2014",4232,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2015",4650,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2016",4538,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2017",4643,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2018",4838,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2019",4800,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2020",4876.936,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2021",4903.222,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2022",4945.627,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2023",4999.266,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2024",5031.934,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2025",5061.204,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2026",5084.545,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2027",5102.92,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2028",5122.087,
"ETH","CROPYIELD","WHEAT","THND_TONNE","A","2029",5138.341,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1990",224,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1991",246,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1992",193,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1993",379,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1994",280,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1995",312,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1996",266,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1997",256,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1998",323,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","1999",225.804,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2000",308.57,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2001",254.378,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2002",256.555,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2003",344.083,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2004",401.431,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2005",390.4,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2006",351.622,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2007",395.456,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2008",449.103,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2009",274.91,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2010",328.114,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2011",280.848,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2012",271.865,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2013",210.436,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2014",385.43,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2015",491.442,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2016",485.044,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2017",478.646,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2018",472.249,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2019",465.851,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2020",477.744,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2021",482.721,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2022",487.083,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2023",491.694,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2024",496.61,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2025",501.469,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2026",506.399,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2027",511.356,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2028",516.317,
"NOR","CROPYIELD","WHEAT","THND_TONNE","A","2029",521.355,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1990",0,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1991",0,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1992",0,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1993",0,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1994",0,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1995",0,
"THA","CROPYIELD","WHEAT","THND_TONNE","A","1996",0.7,
